"miu","be","sig","a","q","LogL","AIC","BIC"
0.465286961,0.925104965,0.197697,1.410255343,2.279618226,-9181.594372,18373.18874,18406.85591
0.431262928,0.899172778,0.244247386,1.482623639,2.36514018,-9189.217743,18388.43549,18422.10265
0.406503574,0.913935811,0.207722361,1.497032069,2.244551274,-9189.426042,18388.85208,18422.51925
0.317324412,0.929337991,0.199525569,1.423739506,2.41728293,-9189.454539,18388.90908,18422.57624
0.506839952,0.91517976,0.240314736,1.473888112,2.033486079,-9189.63325,18389.2665,18422.93366
0.452611245,0.917811185,0.211538176,1.389457489,1.989362236,-9194.21562,18398.43124,18432.09841
0.50773463,0.926056413,0.198772112,1.521904074,2.117322496,-9194.232771,18398.46554,18432.13271
0.440921568,0.933272244,0.169788457,1.378749209,2.086136521,-9194.793673,18399.58735,18433.25451
0.678895018,0.958549585,0.139903966,1.443063148,1.998330114,-9195.261492,18400.52298,18434.19015
0.663750068,0.938387729,0.183058458,1.408755692,2.035952012,-9195.293019,18400.58604,18434.2532
0.699221214,0.95202107,0.181571483,1.427720623,2.286850803,-9195.788631,18401.57726,18435.24443
0.554323489,0.961961591,0.149626421,1.366646382,2.224563703,-9196.736543,18403.47309,18437.14025
0.646173789,0.966551061,0.147199028,1.36581707,2.201573661,-9198.871652,18407.7433,18441.41047
0.410337667,0.900415714,0.209266284,1.514715196,2.100049031,-9199.085701,18408.1714,18441.83857
0.523813246,0.882854673,0.285354914,1.528678693,2.016345971,-9200.352991,18410.70598,18444.37315
0.369489584,0.880719437,0.24851334,1.372640329,2.42940927,-9200.395434,18410.79087,18444.45803
0.682074044,0.941065271,0.183452845,1.391827345,2.00227866,-9200.661559,18411.32312,18444.99028
0.452086802,0.898155774,0.265091261,1.418575261,2.093522191,-9200.854436,18411.70887,18445.37604
0.526519732,0.86297495,0.283947357,1.497936812,2.041842725,-9200.948191,18411.89638,18445.56355
0.57076797,0.937993058,0.186430173,1.339471783,2.219448354,-9201.343527,18412.68705,18446.35422
0.659808247,0.91456564,0.237348003,1.39723731,2.167898502,-9201.604721,18413.20944,18446.87661
0.632130657,0.902711387,0.265009429,1.522319979,1.913177999,-9202.096622,18414.19324,18447.86041
0.674408913,0.950764189,0.196129077,1.463706315,2.062177672,-9202.231318,18414.46264,18448.1298
0.327751671,0.940566357,0.22097429,1.44131571,2.010868453,-9203.131183,18416.26237,18449.92953
