Parameter,miu,be,sig,lam,del,w,LogL,AIC,BIC
Estimate,0.601127856,0.960231821,0.147131204,-0.078727273,1.111619527,0.253025655,-9148.654643,18309.30929,18349.70988
Estimate,0.601907141,0.949999359,0.140785756,0.029576098,1.110818026,0.201295487,-9114.079109,18240.15822,18280.55882
Estimate,0.577920942,0.959786684,0.039679424,0.282212584,1.109532693,0.149764645,-9121.013157,18254.02631,18294.42691
Estimate,0.6231067,0.986386679,0.063857988,0.009254169,1.073423752,0.056168042,-9108.990034,18229.98007,18270.38067
Estimate,0.614717031,0.94998312,0.139997306,0.036427262,1.109989226,0.222008174,-9113.812992,18239.62598,18280.02658
Estimate,-0.062945564,1.009300568,0.19243568,-0.060258562,1.146234268,0.17250231,-9156.227565,18324.45513,18364.85573
Estimate,0.609400767,0.95999613,0.139999386,0.046258531,1.117883903,0.249999181,-9140.245721,18292.49144,18332.89204
Estimate,0.702410422,0.978698342,0.059999913,0.093114857,1.086462925,0.23633939,-9138.296135,18288.59227,18328.99287
Estimate,0.424056984,1.024246692,-0.011890168,0.36017227,1.165651862,0.055178743,-9141.381272,18294.76254,18335.16314
Estimate,0.653515034,0.962213508,0.036391846,0.043280963,1.108519956,0.199104032,-9157.896307,18327.79261,18368.19321
Estimate,0.597699,0.955078727,0.098632578,-0.024816509,0.951641307,0.233695483,-9136.675619,18285.35124,18325.75184
Estimate,0.572463588,0.948922404,0.085734304,0.10116586,1.124451573,0.161138842,-9108.569484,18229.13897,18269.53957
Estimate,0.55243014,1.029923754,0.141039175,-0.018473354,1.008592477,0.19476296,-9138.894676,18289.78935,18330.18995
Estimate,0.599874401,0.950210499,0.040106301,0.030384806,1.110348345,0.1999989,-9165.703565,18343.40713,18383.80773
Estimate,0.618951363,0.949790963,0.139960152,0.05960474,1.120144833,0.199886181,-9108.38801,18228.77602,18269.17662
Estimate,0.5945484,0.949997818,0.141126313,0.028795558,1.112769713,0.205390679,-9107.213311,18226.42662,18266.82722
Estimate,0.611093694,1.005328889,0.127938621,0.008669357,1.064167761,0.411193866,-9173.671613,18359.34323,18399.74382
Estimate,0.420780503,0.901286625,0.14111936,0.05909237,1.121662775,0.18575217,-9127.00797,18266.01594,18306.41654
Estimate,0.599207911,0.960262439,0.081914922,-0.196690548,1.109933492,0.215392727,-9158.260208,18328.52042,18368.92101
Estimate,0.612128146,0.949993553,0.039999314,0.046508005,1.109995885,0.208752698,-9173.92031,18359.84062,18400.24122
Estimate,0.616502921,0.960409626,0.129909653,0.005501851,1.110409648,0.200726827,-9109.236583,18230.47317,18270.87376
Estimate,0.982435109,0.976603131,0.196959142,0.048522886,1.025823745,0.386583388,-9100.142781,18212.28556,18252.68616
Estimate,0.603378978,0.959767992,0.040127798,-0.173280416,1.109801005,0.199945597,-9178.411802,18368.8236,18409.2242
Estimate,0.440061066,1.025050601,0.090962782,0.305489244,1.14565913,0.04297206,-9133.348306,18278.69661,18319.09721
Estimate,0.623640117,0.955149631,0.079303967,-0.086612936,1.125049449,0.207491767,-9156.440608,18324.88122,18365.28181
Estimate,0.618936952,1.003112837,0.187664321,-0.144609612,1.067957057,0.325424573,-9132.667672,18277.33534,18317.73594
Estimate,0.536133683,0.959978412,0.187390933,0.019395835,1.109986293,0.249995431,-9151.138736,18314.27747,18354.67807
Estimate,0.602924814,0.949999107,0.142094604,0.031604288,1.10999943,0.201341271,-9107.504653,18227.00931,18267.4099
Estimate,0.656399288,0.973483189,0.123375498,0.110213633,1.094594904,0.22606991,-9119.676401,18251.3528,18291.7534
Estimate,0.541482745,0.999784491,0.136367045,-0.373573984,1.104601672,0.200076591,-9127.394621,18266.78924,18307.18984
Estimate,0.542168872,0.962874319,0.145753441,0.057218914,1.049698421,0.191757557,-9111.731457,18235.46291,18275.86351
Estimate,0.620578658,1.043777447,0.111428274,-0.003285536,1.071560711,0.270155995,-9149.344119,18310.68824,18351.08884
Estimate,0.566494441,0.94127831,0.088968389,-0.100268496,1.122736629,0.2310901,-9159.360093,18330.72019,18371.12078
Estimate,0.568010399,0.983541821,0.128054929,0.215843962,1.197275882,0.116531286,-9107.09384,18226.18768,18266.58828
Estimate,0.601550008,1.029435563,0.142522334,-0.257818402,1.058163485,0.237007198,-9154.022354,18320.04471,18360.44531
Estimate,0.583614169,0.949864003,0.139825261,-0.068557006,1.109498843,0.149730867,-9128.36609,18268.73218,18309.13278
Estimate,0.598569261,0.95002071,0.142148019,0.028860557,1.110063325,0.199941904,-9114.451202,18240.9024,18281.303
Estimate,0.572300729,1.014265023,0.128604937,-0.048179989,1.083852096,0.259577471,-9105.379858,18222.75972,18263.16031
Estimate,0.603493087,0.960263946,0.141865863,-0.067131094,1.109099018,0.255416514,-9139.497255,18290.99451,18331.39511
Estimate,0.417472629,0.968727168,0.104898835,-0.208562681,1.026419538,0.365624494,-9177.069288,18366.13858,18406.53917
Estimate,0.694015678,0.949983557,0.139997376,-0.056117308,1.109989505,0.150665581,-9126.205022,18264.41004,18304.81064
Estimate,0.675764515,0.959981436,0.039998036,-0.138465342,1.109988213,0.199996562,-9169.542634,18351.08527,18391.48587
Estimate,0.599008786,0.950394369,0.145732233,0.025259678,1.109921036,0.202945713,-9104.102815,18220.20563,18260.60623
Estimate,0.36017296,0.959931873,0.13748958,0.038469795,1.1099568,0.19998839,-9129.469978,18270.93996,18311.34055
Estimate,0.528265266,1.024801389,0.161800525,0.066836127,1.055067596,0.151391337,-9120.311174,18252.62235,18293.02295
Estimate,0.576889316,0.959833845,0.144122844,0.010726534,1.110333593,0.25032023,-9144.314585,18300.62917,18341.02977
Estimate,0.642272259,1.000070245,0.010165372,-0.014655047,1.040301709,0.197495317,-9131.631977,18275.26395,18315.66455
Estimate,0.599291337,0.950214467,0.040569407,-0.171011592,1.109711562,0.200208622,-9180.822687,18373.64537,18414.04597
Estimate,0.666401544,0.954036782,0.131336314,-0.093903569,1.111889198,0.179878332,-9124.280367,18260.56073,18300.96133
Estimate,0.616018941,0.962916543,0.078913702,0.018618642,1.111919667,0.149196877,-9113.640963,18239.28193,18279.68252
Estimate,0.572995394,0.940677381,0.166899199,-0.238187259,1.122334889,0.180415463,-9154.100169,18320.20034,18360.60094
Estimate,0.601070832,0.960163507,0.040018471,-0.170712911,1.109566393,0.200286311,-9181.027946,18374.05589,18414.45649
Estimate,0.614998668,0.942848618,0.180158552,0.073462713,1.098613777,0.180679189,-9102.496578,18216.99316,18257.39375
