"miu1","miu2","be1","be2","sig1","sig2","lam1","lam2","del1","del2","w1","w2","LogL","AIC","BIC"
0.304636943,1.024367996,0.895633735,0.95573103,0.241756169,0.164196345,0.226274634,1.251147892,1.778202292,0.41430168,0.328497821,0.109469249,-8973.094606,17970.18921,18050.99041
0.362495763,1.036444492,0.903257463,0.973354126,0.232281448,0.188239339,0.300761891,1.135385037,1.791864916,0.436524866,0.312084332,0.111437557,-8976.183595,17976.36719,18057.16838
0.286068673,0.905532639,0.891437557,0.966168924,0.194365331,0.176450993,0.311871247,1.178702792,1.785032167,0.427768548,0.308336719,0.064707082,-8980.694249,17985.3885,18066.18969
0.214138687,0.963878693,0.892982591,0.966635111,0.204084826,0.196504103,0.314606218,1.191994901,1.795810099,0.435387746,0.309805289,0.093577469,-8980.773319,17985.54664,18066.34783
0.324763095,1.036738048,0.889444335,0.970993681,0.255650862,0.132822381,0.224014145,0.951659266,1.805484084,0.463081612,0.304881971,0.127381163,-8981.338882,17986.67776,18067.47896
0.333331509,0.903365159,0.867877715,0.974869614,0.264321599,0.113472677,0.290945871,1.197318672,1.829935514,0.431135322,0.27159657,0.082510804,-8982.585393,17989.17079,18069.97198
0.296216975,0.960429001,0.79469787,0.966939169,0.201208005,0.160460573,0.180001841,1.292440636,1.762357933,0.363137997,0.293405554,0.105847382,-8983.184911,17990.36982,18071.17102
0.176712977,1.004508303,0.897015184,0.979981744,0.254340971,0.153383227,0.326736571,1.197309501,1.793548311,0.445609111,0.315828524,0.097048872,-8983.932846,17991.86569,18072.66689
0.391978466,0.909151686,0.901196107,0.942413488,0.235845166,0.238087902,0.32400368,0.943731967,1.806894981,0.404266429,0.293929441,0.173140879,-8984.859814,17993.71963,18074.52082
0.395185921,0.987808364,0.868987181,0.975506444,0.208188573,0.149534526,0.279940017,1.22209969,1.807230452,0.467087026,0.276530811,0.059747896,-8985.249182,17994.49836,18075.29956
0.403934253,1.01526802,0.890206327,0.968376216,0.209302805,0.181697604,0.308156215,1.238202681,1.800837017,0.433654345,0.296854492,0.112121864,-8985.363269,17994.72654,18075.52773
0.25464706,1.019092184,0.904468341,0.957892988,0.197966935,0.223615098,0.165413047,1.214183164,1.798628206,0.430420558,0.293597643,0.144627312,-8985.623746,17995.24749,18076.04869
0.313023711,0.963048733,0.900006436,0.969928323,0.26471886,0.099986119,0.318865539,1.277976898,1.799981768,0.429969735,0.316379744,0.064348441,-8986.918081,17997.83616,18078.63736
0.416263345,1.087599783,0.895630918,0.971510161,0.211670207,0.167026947,0.308453695,1.268957689,1.792397621,0.385857439,0.327506944,0.084439052,-8987.335164,17998.67033,18079.47152
