Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.383273301,0.915253764,0.199011765,0.61204518,2.790726276,24.97907263,-9210.392436,18432.78487,18473.18547
Estimate,0.616651146,0.932875447,0.190876968,0.640849467,2.780534739,24.97805347,-9196.00533,18404.01066,18444.41126
Estimate,0.514367071,0.909914089,0.216263571,0.631267612,2.77935416,24.97793542,-9195.90742,18403.81484,18444.21544
Estimate,0.600127319,0.920000416,0.200843373,0.599991674,2.785394636,24.97853946,-9231.995293,18475.99059,18516.39118
Estimate,0.54751951,0.942884176,0.197552416,0.601066241,2.785519491,24.97855195,-9221.148325,18454.29665,18494.69725
Estimate,0.661471118,0.940164374,0.199251316,0.632838264,2.676600488,25.16766005,-9209.820923,18431.64185,18472.04244
Estimate,0.595916158,0.89835672,0.190739722,0.653052193,2.77913638,24.77791364,-9207.500821,18427.00164,18467.40224
Estimate,0.551053336,0.927982084,0.198666383,0.624055276,2.788580644,25.07885806,-9202.255554,18416.51111,18456.91171
Estimate,0.505200774,0.938718374,0.217754369,0.706814143,2.679754446,24.96797544,-9230.491368,18472.98274,18513.38333
Estimate,0.785564302,0.931568312,0.195673406,0.640746536,2.796558803,25.07965588,-9221.357118,18454.71424,18495.11483
Estimate,0.633856197,0.929548092,0.20669547,0.599798611,2.780360845,25.17803608,-9222.897944,18457.79589,18498.19649
Estimate,0.615393157,0.927925188,0.191341495,0.641597218,2.785972971,24.9785973,-9214.182069,18440.36414,18480.76474
Estimate,0.584174018,0.940499015,0.195955862,0.618563261,2.679718829,24.96797188,-9203.030124,18418.06025,18458.46085
Estimate,0.5797638,0.919414101,0.195806383,0.59988109,2.582422143,24.95824221,-9223.367954,18458.73591,18499.1365
Estimate,0.637058291,0.924891799,0.213557285,0.62470584,2.880641152,24.98806412,-9213.841042,18439.68208,18480.08268
Estimate,0.576585629,0.934156396,0.199986441,0.648932922,2.680722442,25.06807224,-9223.959624,18459.91925,18500.31984
Estimate,0.568484478,0.93550987,0.196088778,0.612687641,2.786311491,24.97863115,-9206.627648,18425.2553,18465.65589
Estimate,0.7469352,0.943287307,0.194577187,0.597955488,2.608099867,24.96080999,-9209.547256,18431.09451,18471.49511
Estimate,0.653103307,0.929191529,0.209368785,0.655109675,2.780833956,25.0780834,-9201.518408,18415.03682,18455.43741
Estimate,0.481616559,0.919085514,0.198699983,0.66430897,2.782563335,24.97825633,-9203.980661,18419.96132,18460.36192
Estimate,0.518810499,0.930951858,0.215458937,0.596636972,2.781225874,24.97812259,-9228.634268,18469.26854,18509.66913
Estimate,0.607712704,0.920053568,0.191997557,0.666629118,2.78318852,24.97831885,-9219.349526,18450.69905,18491.09965
Estimate,0.566407011,0.935405736,0.197058417,0.638362511,2.879013006,25.0879013,-9223.001951,18458.0039,18498.4045
Estimate,0.553948957,0.927844872,0.201850721,0.600719803,2.731593249,24.97315932,-9227.543061,18467.08612,18507.48672
Estimate,0.644167453,0.929910809,0.199995426,0.635734551,2.579987193,24.95799872,-9229.991093,18471.98219,18512.38278
Estimate,0.549422978,0.930757922,0.199362397,0.673663869,2.780818368,24.97808184,-9188.875056,18389.75011,18430.15071
Estimate,0.570112057,0.919961288,0.19291863,0.649514695,2.679994442,24.96799944,-9191.937136,18395.87427,18436.27487
Estimate,0.567408928,0.920000588,0.192037016,0.662747276,2.781315287,24.77813153,-9204.860385,18421.72077,18462.12137
Estimate,0.555549766,0.931385099,0.198194086,0.66807522,2.77574304,24.9775743,-9205.20651,18422.41302,18462.81362
Estimate,0.469469016,0.934958071,0.19354719,0.647635323,2.681442442,24.96814424,-9213.506055,18439.01211,18479.41271
Estimate,0.717393886,0.944435276,0.199701977,0.670364103,2.780406533,25.07804065,-9222.887439,18457.77488,18498.17548
Estimate,0.676771129,0.930157715,0.192966765,0.705240048,2.779984057,24.97799841,-9226.832831,18465.66566,18506.06626
Estimate,0.560101371,0.929333351,0.201770337,0.66968551,2.789168219,24.97891682,-9218.009744,18448.01949,18488.42009
Estimate,0.595182254,0.918953337,0.193344844,0.647550236,2.879985796,24.98799858,-9205.746509,18423.49302,18463.89362
Estimate,0.642840532,0.915716733,0.199011156,0.614682335,2.78051634,24.77805163,-9223.723278,18459.44656,18499.84715
Estimate,0.553517363,0.931598751,0.211969438,0.613439273,2.779890763,25.17798908,-9211.825783,18435.65157,18476.05216
Estimate,0.5705802,0.935102389,0.191763012,0.616002845,2.789877369,25.07898774,-9202.695623,18417.39125,18457.79184
Estimate,0.562489504,0.931660131,0.196211012,0.610568308,2.782872464,24.97828725,-9220.978954,18453.95791,18494.35851
Estimate,0.596323467,0.932975818,0.192311855,0.629578429,2.581038447,24.95810384,-9203.902845,18419.80569,18460.20629
