Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.617918056,0.968467371,0.133210511,0.325346081,5.54502921,-9203.898436,18417.79687,18451.46404
Estimate,0.54447709,0.957304924,0.168309478,0.322967554,5.603781397,-9188.754826,18387.50965,18421.17682
Estimate,0.577171095,0.939845633,0.14861763,0.323718009,5.512365773,-9199.198048,18408.3961,18442.06326
Estimate,0.53113897,0.969964904,0.159361988,0.317282278,5.558201107,-9198.833065,18407.66613,18441.3333
Estimate,0.566943006,0.943774588,0.17493158,0.350786394,5.493816275,-9202.865108,18415.73022,18449.39738
Estimate,0.365999341,0.863570325,0.279981805,0.362651446,5.468552929,-9199.061934,18408.12387,18441.79103
Estimate,0.443970144,0.973083349,0.141581896,0.314410659,5.804016979,-9202.573767,18415.14753,18448.8147
Estimate,0.557300202,0.97002027,0.107990807,0.332625428,5.577500401,-9214.037131,18438.07426,18471.74143
Estimate,0.544269656,0.975630743,0.106999832,0.309761909,5.626491716,-9206.623412,18423.24682,18456.91399
Estimate,0.623251686,0.981362654,0.112576914,0.316216525,5.53764623,-9208.023287,18426.04657,18459.71374
Estimate,0.452866318,0.934686093,0.158304059,0.319378934,5.672468383,-9193.35553,18396.71106,18430.37822
Estimate,0.415569714,0.982020712,0.118285687,0.309183384,5.631462763,-9214.871188,18439.74238,18473.40954
Estimate,0.598396184,0.964884194,0.143632196,0.347997364,5.500352321,-9207.249503,18424.49901,18458.16617
Estimate,0.613488617,0.980435798,0.123422699,0.317608455,5.545335035,-9206.007393,18422.01479,18455.68195
Estimate,0.517066421,0.966098701,0.102015479,0.316820362,5.495460478,-9211.795486,18433.59097,18467.25814
Estimate,0.602535152,0.972515923,0.138955865,0.309481383,5.497527975,-9212.059393,18434.11879,18467.78595
Estimate,0.673014155,0.948142413,0.145236699,0.330131652,5.484982782,-9198.273271,18406.54654,18440.21371
Estimate,0.554190858,0.970013807,0.189460898,0.344514667,5.555036202,-9211.687872,18433.37574,18467.04291
Estimate,0.615599168,0.970593103,0.139340651,0.31474705,5.531385335,-9210.290821,18430.58164,18464.24881
Estimate,0.626606567,0.979414585,0.13209713,0.328614883,5.546284577,-9208.44915,18426.8983,18460.56546
