"miu","be","sig","a","LogL","AIC","BIC"
0.435744796,0.846897094,0.362882086,0.494376872,-9265.947575,18539.89515,18566.82888
0.451214755,0.880902173,0.272067455,0.463503336,-9269.574873,18547.14975,18574.08348
0.440436755,0.90522763,0.224793313,0.445225905,-9271.504578,18551.00916,18577.94289
0.486481994,0.886705198,0.27440196,0.486251362,-9272.035172,18552.07034,18579.00407
0.402760106,0.820026691,0.334634775,0.506097695,-9273.369805,18554.73961,18581.67334
0.374276151,0.916960147,0.238881355,0.433894732,-9273.546058,18555.09212,18582.02585
0.421787917,0.914672242,0.233145683,0.459730863,-9273.812292,18555.62458,18582.55832
0.455318699,0.864487292,0.359882267,0.593334045,-9274.339619,18556.67924,18583.61297
0.49543247,0.901225198,0.315588898,0.495178035,-9276.015341,18560.03068,18586.96441
0.315100808,0.864779862,0.330782683,0.551795833,-9276.373849,18560.7477,18587.68143
0.610057809,0.900983269,0.264217822,0.444488288,-9278.558374,18565.11675,18592.05048
0.632443702,0.92369914,0.263197958,0.436457198,-9278.711927,18565.42385,18592.35759
0.601162469,0.897924937,0.279498464,0.494942403,-9279.416589,18566.83318,18593.76691
0.343905554,0.917091072,0.246654523,0.388755184,-9281.311811,18570.62362,18597.55735
0.538065782,0.854965187,0.332740206,0.460758673,-9281.556834,18571.11367,18598.0474
0.413238071,0.845428188,0.410463405,0.576805864,-9281.767563,18571.53513,18598.46886
0.485179616,0.783080818,0.457302239,0.593220663,-9282.235861,18572.47172,18599.40545
0.562382854,0.845675293,0.338013585,0.531382097,-9283.449583,18574.89917,18601.8329
0.630206207,0.889931569,0.273153372,0.443538633,-9283.487171,18574.97434,18601.90807
0.460834326,0.912911545,0.235408855,0.400827546,-9283.770077,18575.54015,18602.47389
0.497872705,0.863560182,0.340507921,0.575336583,-9285.323084,18578.64617,18605.5799
0.544743579,0.940823649,0.236459716,0.500311417,-9285.955333,18579.91067,18606.8444
0.455043149,0.946454823,0.2017158,0.427902317,-9286.291389,18580.58278,18607.51651
0.492437382,0.94680939,0.223269395,0.435710634,-9286.692616,18581.38523,18608.31896
0.526294028,0.930323752,0.261705191,0.485381057,-9286.833828,18581.66766,18608.60139
0.36646732,0.73555915,0.515245099,0.720149442,-9287.891551,18583.7831,18610.71683
0.49289021,0.890530722,0.325442443,0.471840267,-9288.431263,18584.86253,18611.79626
0.547564659,0.952123461,0.224993549,0.450824789,-9288.895283,18585.79057,18612.7243
0.604242815,0.932723568,0.242740444,0.452112674,-9289.165292,18586.33058,18613.26432
0.645895002,0.888706864,0.288212834,0.460003562,-9289.336564,18586.67313,18613.60686
0.445323415,0.803777535,0.394614018,0.466379346,-9289.488522,18586.97704,18613.91078
0.472455333,0.925738581,0.323157426,0.534564628,-9289.667476,18587.33495,18614.26868
0.432751265,0.728323094,0.454041479,0.609503483,-9289.746255,18587.49251,18614.42624
0.559979025,0.85028837,0.320874008,0.447119175,-9289.83797,18587.67594,18614.60967
0.608251953,0.932486975,0.197819807,0.409107565,-9290.259424,18588.51885,18615.45258
0.548437676,0.819102242,0.429003702,0.540056994,-9290.385057,18588.77011,18615.70385
0.527093108,0.874558056,0.310002188,0.567042282,-9290.939791,18589.87958,18616.81331
0.62503474,0.9468532,0.224204811,0.454652737,-9291.046523,18590.09305,18617.02678
0.443975724,0.87228991,0.270313733,0.392398216,-9291.193028,18590.38606,18617.31979
0.554427435,0.922054069,0.23644707,0.381311093,-9291.237209,18590.47442,18617.40815
0.445465677,0.806271474,0.407934452,0.663460254,-9291.50427,18591.00854,18617.94227
0.600590635,0.933189428,0.242598541,0.478135988,-9291.843311,18591.68662,18618.62035
0.387672959,0.778171852,0.500806983,0.663964934,-9291.944528,18591.88906,18618.82279
0.588077008,0.90302625,0.235801722,0.421696588,-9291.96582,18591.93164,18618.86537
0.384248234,0.902332514,0.325487023,0.576366991,-9292.127068,18592.25414,18619.18787
0.568087723,0.803879148,0.448435064,0.576974696,-9292.131078,18592.26216,18619.19589
0.336894138,0.82736758,0.293657992,0.511159348,-9292.207226,18592.41445,18619.34818
0.584400587,0.897549982,0.295718016,0.567633839,-9292.232981,18592.46596,18619.39969
0.485552773,0.914526971,0.212300593,0.496604078,-9292.295093,18592.59019,18619.52392
0.57613327,0.919647649,0.228007252,0.360263064,-9292.580707,18593.16141,18620.09514
0.551511958,0.904740715,0.283923335,0.404940969,-9292.644531,18593.28906,18620.22279
0.630641174,0.927970376,0.238480512,0.490963937,-9292.6725,18593.345,18620.27873
0.446678243,0.7471943,0.470940629,0.663909257,-9292.945041,18593.89008,18620.82381
0.487103814,0.896776476,0.245285499,0.392257646,-9293.211747,18594.42349,18621.35722
0.569889944,0.904654317,0.334406541,0.479577666,-9293.433808,18594.86762,18621.80135
0.402796086,0.84441179,0.334293179,0.413137069,-9294.140906,18596.28181,18623.21554
0.484366714,0.945885963,0.192834424,0.421809561,-9294.196954,18596.39391,18623.32764
