x.use,Wei,GG,Burr,GB2,EGIG,TSCD
1.139351093,1.88768639,1.832768708,1.827879539,1.712015419,1.911359638,2.632668594
1.704283762,2.015462178,1.952869688,1.957254907,1.853940792,1.979412667,2.659632386
0.56756874,1.903709473,1.809876835,1.660150182,1.626013594,1.928410924,2.437691855
0.567043462,1.850352967,1.665007434,1.445442669,1.467071756,1.828896974,1.658967847
0.566518752,1.766101724,1.592845506,1.274277813,1.321586674,1.791657332,1.361138111
0.565994608,1.788270285,1.529281514,1.190496076,1.212232755,1.766959984,1.20279808
0.565471032,1.727424757,1.454955707,1.135346578,1.133600225,1.732468564,1.1012383
1.691711084,1.909832353,1.58980903,1.352858454,1.300218453,1.795325114,1.300634813
0.563382378,1.855036537,1.543441193,1.291277868,1.242934274,1.802571767,1.31599268
0.562861624,1.788567637,1.476161734,1.208778916,1.207473945,1.811275272,1.198566973
3.358493348,2.091497742,1.739807137,1.62532442,1.528072254,2.008720145,1.650589355
2.230739663,2.228782503,1.90191891,1.854516862,1.740480183,2.103327136,1.772316548
0.557170313,2.121813498,1.796866217,1.607478179,1.575728931,2.033942953,1.77123519
0.556656266,2.032899858,1.682429316,1.473306038,1.469323657,2.008802866,1.46959085
0.556142773,1.905271172,1.61835876,1.350951515,1.352762698,1.951980488,1.280480218
1.110234897,1.950852013,1.658174211,1.403394416,1.360928219,1.964984406,1.30530023
2.762818981,2.149222298,1.787795271,1.766253315,1.64236226,2.08180348,1.47355436
0.552054716,2.014688998,1.716536568,1.567939409,1.495651499,2.037726634,1.460417899
1.102076403,2.025740857,1.710961847,1.565924195,1.488823002,2.030203359,1.417414179
0.550530766,1.970086274,1.647049192,1.405091218,1.394759841,2.011704661,1.412425462
0.550023876,1.950100513,1.5763034,1.311430166,1.312307559,1.978484045,1.227029257
0.549517533,1.903168599,1.51840119,1.232415346,1.234571468,1.945548624,1.111462237
3.821918558,2.252100838,1.778627949,1.774446329,1.599668841,2.07840956,1.624675022
0.545486367,2.025549384,1.690897622,1.552077614,1.46428086,2.013119711,1.608003235
1.631950835,2.129693337,1.733732451,1.718316033,1.55382398,2.049492489,1.612123444
1.627457103,2.227930502,1.803201052,1.875451686,1.622447493,2.091893571,1.683844769
1.622977854,2.284661965,1.845369734,1.933319759,1.708951646,2.145909139,1.757242863
0.540495993,2.125472638,1.786976277,1.695741223,1.566396036,2.062193971,1.736525534
2.15405931,2.289906794,1.848666508,1.899025795,1.687617922,2.134083326,1.8247857
1.07505487,2.196567268,1.835926485,1.821390903,1.661379901,2.148199725,1.807639059
0.537034534,2.034323779,1.758545691,1.590330483,1.530877279,2.098165089,1.758983919
0.536542163,1.976066413,1.659767684,1.391161705,1.416033972,2.067712034,1.440653382
0.536050321,1.937633138,1.593030546,1.279332505,1.333217914,1.995050993,1.284195215
0.535559006,1.850036413,1.537820311,1.210394999,1.271241783,1.923502096,1.167678989
1.06915592,1.840168611,1.581798341,1.255419916,1.318740048,1.95767556,1.218069665
