Parameter,miu,be,sig,a,q,LogL,AIC,BIC
Estimate,0.641913231,0.917967035,0.129816806,1.485546372,1.883328619,-10147.98306,20305.96612,20340.04742
Estimate,0.915956567,0.989970486,0.221326376,1.212028421,2.357522271,-10109.83866,20229.67733,20263.75863
Estimate,0.638614988,0.855689779,0.318680804,1.263991879,1.903195033,-10042.73087,20095.46174,20129.54304
Estimate,0.691496553,0.939871502,0.213440241,1.520567884,1.883911092,-10086.30031,20182.60061,20216.68191
Estimate,0.299396337,0.965431963,0.158667151,1.225767641,1.863816327,-10037.20539,20084.41078,20118.49208
Estimate,0.611995334,0.901129386,0.242152877,1.13547048,1.894490611,-10090.22566,20190.45132,20224.53262
Estimate,0.50620373,0.923327894,0.177890094,1.314817172,2.053189864,-9982.653068,19975.30614,20009.38744
Estimate,0.75148228,0.903270355,0.227262778,1.219928975,1.937331327,-10042.62721,20095.25442,20129.33572
Estimate,0.329696719,0.924896202,0.143592015,1.164563545,1.863744293,-10079.09282,20168.18564,20202.26694
Estimate,0.787680467,0.899650436,0.266025517,1.266702572,2.180010602,-10045.51055,20101.0211,20135.1024
Estimate,0.753676821,0.954490171,0.181865312,1.169149571,2.042617746,-10054.94486,20119.88971,20153.97101
Estimate,0.561795909,0.786491161,0.305986194,1.340891782,1.995974342,-10017.09553,20044.19106,20078.27236
Estimate,0.33431193,0.959868193,0.114323351,1.322313617,2.22315387,-10020.18197,20050.36394,20084.44524
Estimate,0.781484086,0.900011555,0.269660156,1.263808579,2.042518225,-10046.96044,20103.92088,20138.00218
Estimate,0.694726514,0.917333662,0.150867843,1.182676784,1.831788447,-10055.56499,20121.12998,20155.21128
Estimate,0.665815834,0.881547655,0.179794171,1.222963199,1.893094863,-10043.06333,20096.12666,20130.20796
Estimate,0.735851152,0.943902972,0.196921235,1.252435423,1.922697667,-10020.22567,20050.45133,20084.53263
Estimate,0.931347967,0.928237041,0.287786611,1.263792796,2.088030881,-10089.72228,20189.44457,20223.52587
Estimate,0.293957805,0.891581146,0.246067548,1.318202724,2.569378731,-9989.472764,19988.94553,20023.02683
Estimate,0.667336861,0.900404179,0.275838824,1.174244129,1.918702674,-10085.0113,20180.02259,20214.10389
Estimate,0.706387992,0.894195437,0.257141329,1.21541385,1.894936483,-10049.14798,20108.29596,20142.37726
Estimate,0.913103706,0.916540573,0.220533806,1.166875079,1.936111214,-10109.90464,20229.80928,20263.89058
Estimate,0.771253844,0.948607703,0.196684103,1.227429405,2.045821011,-10028.69953,20067.39906,20101.48036
Estimate,0.740373265,0.84922993,0.336238567,1.295927715,2.124252517,-10061.02767,20132.05533,20166.13663
Estimate,0.8187335,0.946157674,0.125140712,1.169183405,1.845440825,-10080.45323,20170.90646,20204.98777
Estimate,0.728763235,0.904793108,0.296947316,1.36765274,1.819594931,-10041.47244,20092.94488,20127.02618
