"miu","be","sig","lam","del","w","LogL","AIC","BIC"
0.544777902,0.958747738,0.110259761,1.117283423,0.403715114,0.600806043,-9711.04173,19434.08346,19474.98102
0.330065974,0.906932778,0.216258214,0.577304155,0.870442322,0.596704093,-9734.80925,19481.6185,19522.51606
0.601536946,0.898684692,0.189007091,0.873102025,0.703884211,0.643235609,-9741.15134,19494.30268,19535.20024
0.550916245,0.928590542,0.241580084,0.634408802,0.774821157,0.609712944,-9742.90591,19497.81182,19538.70938
0.311044244,0.879536923,0.219592159,0.579192371,0.86655779,0.60239858,-9745.43342,19502.86684,19543.7644
0.591611169,0.963606665,0.130689188,0.739316231,0.729750934,0.607304549,-9747.32988,19506.65976,19547.55732
0.375308528,0.866170576,0.315128392,0.447466049,0.680459705,0.774963722,-9750.56039,19513.12078,19554.01834
0.270490788,0.960640706,0.146276029,0.743894029,0.711127987,0.652376543,-9751.09613,19514.19226,19555.08982
0.502933585,0.90000879,0.199980468,0.576827759,0.89987304,0.599980468,-9752.64187,19517.28374,19558.1813
0.568065854,0.912107409,0.273456122,0.69063293,1.031420446,0.492792087,-9756.24009,19524.48018,19565.37774
0.41046899,0.884643319,0.229198775,0.290969125,0.705384637,0.788663548,-9756.77188,19525.54376,19566.44132
0.371527303,0.898331814,0.197718014,0.479663379,0.901522529,0.598700092,-9758.66981,19529.33962,19570.23718
0.48117943,0.901516913,0.218091931,0.418163122,0.691968669,0.858094345,-9759.68793,19531.37586,19572.27342
0.148605709,0.935022293,0.224921029,0.555304759,0.700683271,0.697171762,-9759.94723,19531.89446,19572.79202
0.338923331,0.900023943,0.199946794,0.584286991,0.899654158,0.599946794,-9760.15887,19532.31774,19573.2153
0.859104123,0.945665172,0.181034367,1.015868383,0.45180064,0.566443559,-9760.72409,19533.44818,19574.34574
0.570246719,0.883179447,0.244926704,0.416681544,0.742052834,0.772735996,-9761.15401,19534.30802,19575.20558
0.485811581,0.848586118,0.25297708,0.308941674,0.676673368,0.771861386,-9761.30802,19534.61604,19575.5136
0.731761654,0.951598327,0.164511159,0.551720644,0.668486916,0.751282721,-9761.82958,19535.65916,19576.55672
0.409559839,0.90000451,0.291180397,0.544220337,0.899934852,0.599989977,-9761.95817,19535.91634,19576.8139
0.481759136,0.866200119,0.23993708,0.327950754,0.683767952,0.78341433,-9762.0481,19536.0962,19576.99376
0.499127697,0.908443675,0.208508602,0.443359393,0.906510218,0.590211707,-9762.38457,19536.76914,19577.6667
0.32492176,0.86178702,0.289882225,0.379316018,0.910468253,0.622868394,-9763.00372,19538.00744,19578.905
0.456811441,0.87145114,0.224548856,0.263053674,0.624280896,0.915142235,-9763.29748,19538.59496,19579.49252
0.351348555,0.878802417,0.282703241,0.393332653,0.946726378,0.59761553,-9763.32824,19538.65648,19579.55404
0.377209111,0.833750021,0.266511477,0.32922736,0.743474057,0.711054981,-9764.34022,19540.68044,19581.578
0.301169253,0.937608685,0.195546106,0.463191998,0.618935437,0.744951331,-9766.37875,19544.7575,19585.65506
0.400655959,0.900003408,0.249720132,0.282230533,0.736676852,0.722541446,-9773.39312,19558.78624,19599.6838
0.501053581,0.93111726,0.21196211,0.364747628,0.769993213,0.692695203,-9774.1714,19560.3428,19601.24036
0.093678154,0.926307172,0.268633715,0.816371772,0.637023665,0.58160289,-9774.31897,19560.63794,19601.5355
0.606179282,0.937133801,0.169258635,0.375033651,0.734927769,0.703729425,-9774.47689,19560.95378,19601.85134
0.190523473,0.900587218,0.246668796,0.516492248,0.908368051,0.603685611,-9774.53628,19561.07256,19601.97012
0.444931313,0.892899527,0.244086934,0.259029766,0.797132434,0.713498645,-9774.96664,19561.93328,19602.83084
0.526087913,0.866306103,0.327490464,0.417552112,0.851189787,0.637148493,-9775.09128,19562.18256,19603.08012
0.598131052,0.900003651,0.266310168,0.345830007,0.738649791,0.757325014,-9775.27581,19562.55162,19603.44918
0.445648792,0.72838062,0.358848717,0.335740154,0.687532048,0.818783611,-9775.32089,19562.64178,19603.53934
0.469114134,0.908445989,0.273508851,0.394273282,0.792724079,0.729588418,-9776.70343,19565.40686,19606.30442
0.605624875,0.931665339,0.166502353,0.418913607,0.834330529,0.6126703,-9776.75853,19565.51706,19606.41462
0.547162269,0.898329875,0.286874549,0.424705396,0.900512306,0.6004313,-9777.04265,19566.0853,19606.98286
