"miu1","miu2","be1","be2","sig1","sig2","lam1","lam2","del1","del2","w1","w2","LogL","AIC","BIC"
0.173725854,1.171434499,0.792763427,0.97754315,0.233160931,0.224962383,0.220429402,-2.142347417,1.17246725,0.386822907,0.501511884,2.267274982,-9665.06712,19354.13424,19435.92936
0.225203235,1.032539115,0.823954609,0.98970055,0.276258326,0.089039893,-0.028201457,-2.153290261,1.083114069,0.380030022,0.626581446,2.2134064,-9680.13342,19384.26684,19466.06196
0.324453432,1.007922224,0.792857792,0.928346256,0.263804107,0.109609926,0.403875559,-2.190844619,1.15016839,0.300484533,0.376759604,2.244558102,-9681.53189,19387.06378,19468.8589
0.397207848,0.859999429,0.794797496,0.975428971,0.158488704,0.237647669,0.209825006,-2.168712619,1.131616623,0.485274242,0.519051603,2.18432763,-9688.06675,19400.1335,19481.92862
0.244002346,0.851959015,0.800175101,0.98037909,0.201380267,0.166297815,0.145292009,-2.322770282,1.20580009,0.500393647,0.412557633,2.29990756,-9692.11113,19408.22226,19490.01738
0.323310845,1.359478602,0.874551925,0.985008114,0.218995787,0.140723098,0.354913042,-2.371919433,1.243676462,0.553133421,0.296370938,2.218056925,-9697.87098,19419.74196,19501.53708
0.342908074,1.327354465,0.879891729,0.981396161,0.157213076,0.193116938,0.224367963,-2.340194818,1.094361933,0.501259247,0.51518851,2.283403259,-9700.30975,19424.6195,19506.41462
0.128926456,0.920632172,0.795813368,0.970095134,0.358220873,0.16413228,0.225880258,-2.202204028,1.209842593,0.506340945,0.356711391,2.207910694,-9703.44585,19430.8917,19512.68682
0.33348971,1.208807304,0.900441505,0.979053987,0.199627789,0.099010798,0.137046746,-2.228790126,1.17633545,0.498510667,0.474603394,2.200664564,-9704.86983,19433.73966,19515.53478
0.201604936,1.09913411,0.773853652,0.989032535,0.218580392,0.226955508,0.037201204,-2.242265826,1.212033809,0.492028441,0.370866085,2.247655054,-9708.45727,19440.91454,19522.70966
0.26899766,1.044612937,0.911272705,0.969474153,0.163030824,0.187110558,0.059809035,-2.214160753,1.261423561,0.499073485,0.40080262,2.224742355,-9708.69974,19441.39948,19523.1946
0.324825527,1.005917115,0.798666067,0.978186572,0.330747087,0.102118288,0.067735676,-2.24755027,1.304703008,0.500353328,0.299195735,2.24105068,-9708.77262,19441.54524,19523.34036
0.215755211,1.122770394,0.778548007,0.956347878,0.202304899,0.167981781,0.103105692,-2.377163174,1.213629722,0.51639446,0.338517355,2.251533436,-9712.96225,19449.9245,19531.71962
0.344868459,0.909518634,0.852203733,0.978478281,0.243187169,0.136497644,0.087312287,-2.445570993,1.217345901,0.422569175,0.40436588,2.26642154,-9714.73194,19453.46388,19535.259
0.212598702,1.023825498,0.789219815,0.963619587,0.25864936,0.229485572,0.174602135,-2.365842941,1.303385975,0.6525138,0.294397804,2.22420714,-9715.15247,19454.30494,19536.10006
