Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.649764108,0.960001369,0.174662062,0.58157414,3.119311784,23.89885958,-10000.4944,20012.98881,20053.88637
Estimate,0.67811739,0.966696007,0.135856164,0.530449058,3.044866978,23.85838794,-9983.32078,19978.64156,20019.53912
Estimate,0.611997512,0.942524651,0.195215086,0.555171028,2.995760339,23.97346946,-9970.361423,19952.72285,19993.62041
Estimate,0.600165157,0.934143512,0.177383298,0.56748405,2.997210961,23.90552236,-9966.767368,19945.53474,19986.4323
Estimate,0.667276912,0.954965307,0.111343212,0.569575265,2.977461903,23.93962234,-10006.13858,20024.27715,20065.17472
Estimate,0.622676193,0.953703449,0.140555867,0.513536449,3.031948846,23.95347941,-9985.210356,19982.42071,20023.31827
Estimate,0.646378915,0.965822243,0.105751444,0.526657947,3.003367473,23.9202851,-9990.817001,19993.634,20034.53156
Estimate,0.498610014,0.958376711,0.18418103,0.586627562,3.000310627,23.89855946,-9993.898265,19999.79653,20040.69409
Estimate,0.658940525,0.960918484,0.098481864,0.511752687,3.017731544,23.89958287,-10008.989,20029.97801,20070.87557
Estimate,0.665768941,0.958844893,0.103597758,0.536006254,3.000170143,23.91210898,-9996.936742,20005.87348,20046.77105
Estimate,0.658949486,0.959953541,0.153261683,0.500016384,3.097709472,23.8983006,-10001.82141,20015.64283,20056.54039
Estimate,0.601634736,0.930253893,0.151511146,0.549800439,2.995956849,23.86480636,-9968.71157,19949.42314,19990.3207
Estimate,0.64687031,0.96040256,0.100947591,0.555754245,3.065673635,23.89993309,-10006.67817,20025.35634,20066.2539
Estimate,0.665123559,0.951458397,0.203341137,0.565224769,3.088660548,24.11001117,-9992.309638,19996.61928,20037.51684
Estimate,0.669296982,0.949354713,0.145234132,0.512784202,2.992948697,23.94972385,-9995.342191,20002.68438,20043.58194
Estimate,0.733170608,0.932211534,0.166318788,0.510431713,3.049624848,23.93946348,-10000.64026,20013.28052,20054.17808
Estimate,0.650885616,0.958015037,0.14594406,0.553391764,3.025509386,23.9647743,-9975.939625,19963.87925,20004.77681
Estimate,0.753876633,0.959430779,0.125798519,0.523412394,3.081740702,23.87536894,-9999.355494,20010.71099,20051.60855
Estimate,0.337487655,0.960061227,0.147315212,0.520355064,3.131294795,23.95670409,-9984.423504,19980.84701,20021.74457
Estimate,0.597900402,0.949115905,0.14549176,0.496536579,3.034104923,23.89793886,-9999.400084,20010.80017,20051.69773
Estimate,0.652940204,0.959639137,0.136557436,0.500066111,3.024776572,23.8996882,-10008.66964,20029.33929,20070.23685
Estimate,0.679601354,0.925240391,0.223669094,0.555829618,2.94402129,23.92125092,-9979.043449,19970.0869,20010.98446
Estimate,0.550677166,0.950325549,0.184463848,0.528164226,3.056752146,24.13491254,-9981.155459,19974.31092,20015.20848
Estimate,0.62136404,0.967086211,0.13716464,0.560586523,2.983055511,23.8854235,-9988.904029,19989.80806,20030.70562
Estimate,0.765725219,0.954280042,0.121584039,0.555369091,3.021047948,23.89855363,-10008.39811,20028.79622,20069.69378
Estimate,0.642807161,0.960483647,0.125875899,0.566445337,2.999905696,23.89947776,-9984.457029,19980.91406,20021.81162
Estimate,0.645293392,0.955011467,0.132010457,0.553225578,2.980967679,23.89240784,-9983.963901,19979.9278,20020.82536
Estimate,0.64651437,0.96237538,0.101624415,0.54124375,3.023316761,23.89684347,-9993.698086,19999.39617,20040.29373
Estimate,0.637610775,0.953947757,0.157838927,0.5037475,3.038667028,23.90507839,-10002.85064,20017.70128,20058.59885
Estimate,0.626622139,0.960206149,0.122399635,0.50077235,3.010920458,23.89312044,-10006.46283,20024.92565,20065.82321
Estimate,0.634973351,0.962616345,0.109592393,0.558220315,3.005177461,23.90519449,-9999.392826,20010.78565,20051.68321
Estimate,0.649273332,0.960941168,0.115065312,0.504727731,3.006952742,23.89756542,-10005.84328,20023.68655,20064.58411
Estimate,0.534491736,0.955462902,0.135448027,0.51688234,2.984615457,23.93911161,-9985.512955,19983.02591,20023.92347
Estimate,0.637017908,0.969834062,0.107355025,0.568144897,3.002241483,24.00354859,-10006.41894,20024.83788,20065.73545
Estimate,0.692025744,0.961411054,0.1023738,0.540894527,2.99954695,23.90825418,-10004.20953,20020.41906,20061.31662
Estimate,0.666462672,0.9690894,0.128190087,0.536852417,2.996129591,23.90994182,-9992.271561,19996.54312,20037.44068
Estimate,0.708840226,0.944404475,0.19004506,0.576813722,2.996101689,23.80600369,-9989.283046,19990.56609,20031.46365
Estimate,0.483963243,0.939968741,0.164799262,0.498278557,3.243126398,23.91992326,-9970.021216,19952.04243,19992.93999
Estimate,0.65859693,0.959869863,0.119354628,0.559400168,2.991000827,23.91970072,-9991.050995,19994.10199,20034.99955
Estimate,0.645937718,0.957643586,0.104391294,0.548048352,2.998420599,23.90058485,-9996.391411,20004.78282,20045.68038
Estimate,0.709314174,0.945613382,0.143394309,0.54193453,3.028384634,24.01186433,-9985.255079,19982.51016,20023.40772
Estimate,0.642424941,0.960355247,0.119716543,0.498758653,3.00381398,23.90013608,-10008.38951,20028.77901,20069.67657
Estimate,0.627624881,0.943171913,0.199147187,0.517471946,3.099399371,23.94393278,-9987.818194,19987.63639,20028.53395
Estimate,0.595688892,0.976342534,0.110420408,0.515623608,3.009122425,23.89132824,-10006.49871,20024.99741,20065.89497
Estimate,0.742459581,0.960627028,0.1618148,0.529869616,2.999294951,23.8970345,-10002.71711,20017.43423,20058.33179
Estimate,0.64316929,0.957231593,0.125417126,0.497462747,3.015812217,23.96586188,-10007.77516,20027.55031,20068.44787
Estimate,0.480320046,0.959994024,0.118605078,0.49995174,3.174132665,23.89869409,-9989.122737,19990.24547,20031.14304
Estimate,0.627845394,0.959974875,0.144654649,0.499992269,2.999963923,23.89967788,-10008.38157,20028.76313,20069.66069
Estimate,0.424051418,0.961722428,0.106210629,0.511789889,2.997422768,24.31893529,-10003.90563,20019.81126,20060.70882
Estimate,0.453238808,0.959416403,0.176351104,0.599401801,3.053881658,24.19185987,-10004.47513,20020.95026,20061.84782
Estimate,0.647911124,0.959975368,0.099998737,0.523506381,2.999964631,23.89968421,-10003.88322,20019.76644,20060.664
Estimate,0.598348877,0.934179955,0.147491135,0.552133509,3.243570552,24.04289911,-9985.499825,19982.99965,20023.89721
Estimate,0.617577422,0.962432984,0.101225247,0.541808082,2.998739115,23.90320621,-9997.622044,20007.24409,20048.14165
Estimate,0.715160312,0.951578414,0.132506945,0.524437174,3.000585399,23.92705347,-9993.894546,19999.78909,20040.68665
Estimate,0.681967539,0.959988527,0.10001908,0.517283155,2.99997703,23.89926271,-10012.42513,20036.85027,20077.74783
Estimate,0.594927942,0.959344262,0.172903713,0.564940531,2.996983906,23.92256709,-9978.641995,19969.28399,20010.18155
Estimate,0.600162818,0.958278335,0.16807028,0.567474637,3.002193552,23.89979114,-9981.171822,19974.34364,20015.2412
Estimate,0.653446706,0.950817197,0.153632618,0.498113902,3.033324224,23.91976515,-10005.5057,20023.0114,20063.90896
Estimate,0.651341518,0.958846701,0.13544898,0.54537358,3.031827842,23.90325853,-9978.365789,19968.73158,20009.62914
Estimate,0.725900768,0.959955796,0.121631639,0.562578989,3.05593649,23.89943328,-10003.31565,20018.6313,20059.52886
Estimate,0.518961834,0.958923794,0.134445006,0.573608505,3.002295653,23.89885282,-9977.604118,19967.20824,20008.1058
Estimate,0.696865255,0.959533472,0.111754392,0.54321082,2.978168989,23.89612741,-9998.066226,20008.13245,20049.03001
Estimate,0.296471337,0.960004366,0.13756609,0.499924287,3.073192972,23.90354027,-10014.74575,20041.4915,20082.38906
Estimate,0.662354868,0.95508936,0.110795079,0.550704092,3.017138296,23.98488409,-9998.393802,20008.7876,20049.68517
Estimate,0.651512179,0.95967514,0.117293113,0.56757809,3.006820324,23.90021045,-9995.905614,20003.81123,20044.70879
Estimate,0.591910177,0.920149453,0.197780188,0.592848778,3.006285515,24.1711422,-9971.660078,19955.32016,19996.21772
Estimate,0.711133775,0.947611823,0.139032282,0.532124907,3.047931978,23.94047157,-9991.189366,19994.37873,20035.27629
Estimate,0.605699804,0.959953463,0.142181614,0.499985681,2.999933177,23.91379345,-10005.21612,20022.43224,20063.32981
Estimate,0.590973182,0.944605697,0.152232277,0.520441269,3.033856636,23.94692901,-9975.949869,19963.89974,20004.7973
Estimate,0.562346855,0.959913803,0.099986319,0.500031373,3.166366833,23.89813547,-9996.425663,20004.85133,20045.74889
Estimate,0.765084,0.942091629,0.135461135,0.516787835,3.030101486,23.92682444,-10008.99927,20029.99854,20070.8961
Estimate,0.660914623,0.960025305,0.13370495,0.543291616,2.999864148,23.89945684,-9987.620096,19987.24019,20028.13775
Estimate,0.642658242,0.957446818,0.100874437,0.540120112,3.074328454,23.90987073,-10002.58804,20017.17608,20058.07364
Estimate,0.632127599,0.966658962,0.17040916,0.55453803,3.023036803,23.91540967,-9997.850189,20007.70038,20048.59794
Estimate,0.613870071,0.960791185,0.100013723,0.537641562,3.013035727,23.92037983,-10000.7651,20013.53019,20054.42775
Estimate,0.638637293,0.965040874,0.133208371,0.561109368,2.999958951,23.89577343,-9981.823658,19975.64732,20016.54488
Estimate,0.658315376,0.966595388,0.107609669,0.51599,2.981778728,23.89832904,-10006.8119,20025.62381,20066.52137
Estimate,0.590191054,0.934381901,0.175442616,0.550385239,2.974826976,23.89278082,-9958.938404,19929.87681,19970.77437
Estimate,0.447195601,0.944993605,0.132418197,0.51136483,3.04523761,24.07049727,-9985.588612,19983.17722,20024.07479
Estimate,0.501403646,0.901884074,0.218788716,0.534463125,3.082153094,23.82345639,-9962.31029,19936.62058,19977.51814
Estimate,0.604514929,0.946431681,0.122267649,0.544313976,3.048171655,23.93826225,-9981.629296,19975.25859,20016.15615
Estimate,0.54065854,0.967256987,0.122645754,0.511408156,3.007928454,23.89573198,-9994.278197,20000.55639,20041.45395
Estimate,0.668910419,0.959962565,0.139559882,0.507646652,3.05175148,23.89948957,-9995.832378,20003.66476,20044.56232
Estimate,0.60962743,0.970922523,0.119463717,0.514384529,3.037706722,23.88975229,-9996.214345,20004.42869,20045.32625
Estimate,0.622627759,0.963108478,0.160606374,0.543090801,3.038014798,23.92650598,-9990.724007,19993.44801,20034.34558
Estimate,0.602785556,0.956552102,0.100958222,0.526456916,3.001724006,23.90011539,-9997.298165,20006.59633,20047.49389
Estimate,0.654435155,0.960000532,0.165876745,0.519850253,2.999953135,23.89958247,-9998.463319,20008.92664,20049.8242
Estimate,0.690253219,0.932348047,0.224988168,0.577166756,2.99088684,23.92248075,-9991.320743,19994.64149,20035.53905
Estimate,0.661476347,0.960000564,0.099998119,0.536309621,2.999947333,23.89952976,-10000.441,20012.88201,20053.77957
Estimate,0.609339415,0.959969808,0.157737585,0.546438168,2.999957698,23.89962172,-9976.568727,19965.13745,20006.03502
Estimate,0.494553445,0.963168722,0.108586629,0.50779954,3.016839456,23.92881293,-10003.10828,20018.21656,20059.11412
Estimate,0.675617717,0.956015133,0.13634513,0.557674827,3.083224156,23.85445044,-9990.016152,19992.0323,20032.92987
Estimate,0.522701475,0.954280608,0.100327272,0.515671407,3.002518122,24.12900701,-10003.38921,20018.77843,20059.67599
Estimate,0.603767084,0.965228853,0.120774413,0.511180167,3.205044299,23.89885517,-9984.341934,19980.68387,20021.58143
Estimate,0.689179356,0.961422077,0.114685086,0.547098685,3.031390942,23.87819539,-9990.694333,19993.38867,20034.28623
Estimate,0.637026871,0.961942828,0.104925747,0.536089578,3.027870119,23.9003385,-9992.619255,19997.23851,20038.13607
Estimate,0.60176186,0.959933707,0.10323422,0.566762618,2.999954456,23.91705859,-10006.1792,20024.35841,20065.25597
Estimate,0.597992258,0.952091385,0.138156367,0.557912615,3.081679957,23.9044387,-9979.824719,19971.64944,20012.547
Estimate,0.584504318,0.959147158,0.147142273,0.500546226,3.000817615,23.90192859,-10009.99767,20031.99533,20072.89289
