Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.525134239,0.939432488,0.223329072,0.396567068,3.987511024,-9990.885266,19991.77053,20025.85183
Estimate,0.566367599,0.99557343,0.181481488,0.400175439,3.938368799,-9998.551495,20007.10299,20041.18429
Estimate,0.566938848,0.939690827,0.181163125,0.365899099,3.957011072,-9998.181359,20006.36272,20040.44402
Estimate,0.565748643,0.929530904,0.171480559,0.372655586,4.012894182,-9970.637428,19951.27486,19985.35616
Estimate,0.565657627,0.939598709,0.181076884,0.360071368,4.008901091,-9990.018145,19990.03629,20024.11759
Estimate,0.525613117,0.959295486,0.181378503,0.358600564,3.964447363,-9984.211534,19978.42307,20012.50437
Estimate,0.566438456,0.939586341,0.151491345,0.375030215,3.959729824,-9981.984388,19973.96878,20008.05008
Estimate,0.566442534,0.939700006,0.181417306,0.382901709,3.956872994,-9994.028332,19998.05666,20032.13797
Estimate,0.565425709,0.939501309,0.181702958,0.379875368,4.009007238,-9973.179653,19956.35931,19990.44061
Estimate,0.566109603,0.929699564,0.151017462,0.365561578,4.044712306,-9998.34151,20006.68302,20040.76432
Estimate,0.564615269,0.939732669,0.18103577,0.353378816,3.984424666,-9993.390952,19996.7819,20030.8632
Estimate,0.565291386,0.929588025,0.181143944,0.365988717,3.963338736,-9986.5989,19983.1978,20017.2791
Estimate,0.566243864,0.939310431,0.192012019,0.382520739,3.950149608,-9975.411435,19960.82287,19994.90417
Estimate,0.565120255,0.939699661,0.170999983,0.349856125,3.977730056,-10000.02471,20010.04941,20044.13071
Estimate,0.576329942,0.929587081,0.181281369,0.372122487,3.94682977,-9984.845319,19979.69064,20013.77194
Estimate,0.566282677,0.969428931,0.181980522,0.364733207,3.985870781,-9986.470894,19982.94179,20017.02309
Estimate,0.564344067,0.939710022,0.181345434,0.36677264,4.0145282,-9996.504116,20003.00823,20037.08953
Estimate,0.585350675,0.93950449,0.181637972,0.379160977,3.963669988,-9970.551876,19951.10375,19985.18505
Estimate,0.566228264,0.995271397,0.171189153,0.368225398,3.927842699,-9991.834744,19993.66949,20027.75079
Estimate,0.565463384,0.93923965,0.181724836,0.368380225,4.13384592,-9960.692699,19931.3854,19965.4667
Estimate,0.566137921,0.939415587,0.216961671,0.384352186,3.953730771,-9976.02121,19962.04242,19996.12372
Estimate,0.565894349,0.939597064,0.181428578,0.371182599,4.045882279,-9973.309583,19956.61917,19990.70047
Estimate,0.584472207,0.93915025,0.18156129,0.38213824,4.025180986,-9970.232072,19950.46414,19984.54544
Estimate,0.544300349,0.939244073,0.181641335,0.390804045,3.924150418,-9965.15198,19940.30396,19974.38526
Estimate,0.586124735,0.929382335,0.171553914,0.367166901,3.909595327,-9975.484321,19960.96864,19995.04994
Estimate,0.565530748,0.93969278,0.181567674,0.384492528,3.999357898,-9995.516942,20001.03388,20035.11519
Estimate,0.565718152,0.939157807,0.182182981,0.389149058,3.999358567,-9969.102263,19948.20453,19982.28583
Estimate,0.565825394,0.939730626,0.181281408,0.364367506,3.983621393,-9993.798269,19997.59654,20031.67784
Estimate,0.56682245,0.959711161,0.181488902,0.376004401,3.955513032,-9999.964815,20009.92963,20044.01093
Estimate,0.574335832,0.939161667,0.182063879,0.385163634,3.912644675,-9956.256078,19922.51216,19956.59346
Estimate,0.566039951,0.939455125,0.181394579,0.372661716,4.0099356,-9981.371028,19972.74206,20006.82336
Estimate,0.565619842,0.939159193,0.171892956,0.36635746,3.952887191,-9966.289211,19942.57842,19976.65972
Estimate,0.566562806,0.939740125,0.191332437,0.371735088,3.961114639,-9997.499765,20004.99953,20039.08083
Estimate,0.564831638,0.939591433,0.181427745,0.389027782,3.954990868,-9979.514363,19969.02873,20003.11003
Estimate,0.56622018,0.939338912,0.181345255,0.359405522,4.030490189,-9992.419906,19994.83981,20028.92111
Estimate,0.566483241,0.93970078,0.181358934,0.376878012,4.024358626,-9990.894665,19991.78933,20025.87063
Estimate,0.566115803,0.939658282,0.191365081,0.361586442,3.999100063,-9987.48166,19984.96332,20019.04462
Estimate,0.565888653,0.939646043,0.151254868,0.356344559,3.95413559,-9988.050293,19986.10059,20020.18189
Estimate,0.558089422,0.939672502,0.171355087,0.37613164,3.958413205,-9990.360129,19990.72026,20024.80156
Estimate,0.565321169,0.969517586,0.181479923,0.368710159,4.011838345,-9973.72619,19957.45238,19991.53368
Estimate,0.565519202,0.939682543,0.18127491,0.368494592,3.996034435,-9983.086345,19976.17269,20010.25399
Estimate,0.565757169,0.939724188,0.181064599,0.352735926,4.00898777,-9994.859019,19999.71804,20033.79934
Estimate,0.56660718,0.939560626,0.171478708,0.379055503,3.957965231,-9987.456068,19984.91214,20018.99344
