"miu","be","sig","a","LogL","AIC","BIC"
0.383335789,0.855065953,0.276412515,0.867646145,-10015.96008,20039.92017,20067.18521
0.385426283,0.893834985,0.240799011,0.824426583,-10017.71076,20043.42152,20070.68656
0.442639115,0.893920853,0.23516153,0.833964663,-10018.06324,20044.12649,20071.39153
0.355221781,0.88065633,0.273803308,0.831423773,-10020.55733,20049.11466,20076.3797
0.483535575,0.91267162,0.244102581,0.84948532,-10020.99841,20049.99682,20077.26186
0.389630071,0.869410637,0.264858094,0.838249586,-10022.28396,20052.56792,20079.83296
0.477866741,0.903200157,0.233982304,0.810233724,-10022.8329,20053.66581,20080.93085
0.427996347,0.836976893,0.296590836,0.869363878,-10023.59379,20055.18758,20082.45262
0.464136256,0.882671334,0.230139901,0.847915099,-10024.04833,20056.09665,20083.36169
0.479569007,0.91692412,0.211148007,0.819667115,-10024.50348,20057.00696,20084.272
0.436615368,0.879872711,0.278575847,0.893160329,-10024.5783,20057.15659,20084.42163
0.48260928,0.899806688,0.258675574,0.880157914,-10024.7318,20057.4636,20084.72864
0.395434981,0.844547268,0.330857962,0.902154704,-10025.78744,20059.57488,20086.83992
0.48693258,0.900006713,0.223150052,0.870668769,-10026.05455,20060.10909,20087.37413
0.421954288,0.815721373,0.325587567,0.870345116,-10026.4469,20060.8938,20088.15884
0.474403866,0.900075082,0.231076788,0.801355303,-10026.64804,20061.29608,20088.56112
0.467006075,0.811165327,0.351042331,0.915625307,-10026.89473,20061.78946,20089.0545
0.582040426,0.915888583,0.227675248,0.849820231,-10027.47578,20062.95155,20090.21659
0.464390019,0.836146994,0.332993015,0.89348904,-10027.59184,20063.18368,20090.44872
0.4222985,0.904650997,0.230762027,0.89543298,-10028.08315,20064.16629,20091.43133
0.491095541,0.908407289,0.236424692,0.818550504,-10028.2725,20064.54501,20091.81005
0.454445404,0.842918706,0.324418274,0.866234174,-10028.31573,20064.63146,20091.8965
0.489963604,0.88866827,0.235961428,0.831072567,-10028.56417,20065.12833,20092.39337
0.488322568,0.905265536,0.209257291,0.803497709,-10028.56599,20065.13199,20092.39703
0.541426462,0.897260113,0.268780909,0.852045727,-10028.99667,20065.99333,20093.25837
0.477813644,0.89602799,0.229592978,0.831844268,-10029.03425,20066.0685,20093.33354
0.438406372,0.90094266,0.220351872,0.8432659,-10029.20321,20066.40642,20093.67146
0.470616929,0.836239158,0.351934441,0.898432887,-10029.90802,20067.81604,20095.08108
0.530795441,0.86868802,0.271633045,0.904658148,-10029.98877,20067.97754,20095.24258
0.440591055,0.872145007,0.260676597,0.904252251,-10030.22316,20068.44631,20095.71136
0.440249101,0.863390148,0.285787543,0.821923977,-10030.27311,20068.54622,20095.81126
0.550699158,0.917794745,0.212667347,0.842670361,-10030.40919,20068.81837,20096.08341
0.401508639,0.838332581,0.273984397,0.888841628,-10030.49032,20068.98064,20096.24568
0.441300432,0.899968852,0.265357683,0.90303245,-10030.55746,20069.11492,20096.37996
0.382435119,0.899898025,0.222439795,0.798249258,-10030.62811,20069.25621,20096.52125
0.515818803,0.918636132,0.186291215,0.815333333,-10030.9011,20069.8022,20097.06724
0.484398393,0.88113486,0.237613457,0.826297489,-10031.12167,20070.24333,20097.50837
0.365080021,0.909795457,0.241378149,0.841226983,-10031.21956,20070.43911,20097.70416
0.495094462,0.910534781,0.222389262,0.830976976,-10031.3386,20070.6772,20097.94224
0.433022643,0.860583318,0.275248309,0.810338859,-10031.37815,20070.75629,20098.02133
0.529439123,0.901674428,0.239315093,0.800944929,-10031.4163,20070.83261,20098.09765
0.369815802,0.901863111,0.224325945,0.841093397,-10031.44111,20070.88223,20098.14727
0.48345734,0.887309374,0.263427971,0.83575245,-10031.46903,20070.93805,20098.20309
0.476538979,0.851983741,0.330080576,0.886404099,-10031.66258,20071.32517,20098.59021
0.492690653,0.893915374,0.242425548,0.815109569,-10031.73512,20071.47024,20098.73528
0.482393025,0.842662963,0.337723866,0.929665565,-10031.83708,20071.67416,20098.9392
0.447299035,0.877135494,0.247425318,0.806330044,-10031.86895,20071.7379,20099.00294
0.56394378,0.908043474,0.221289887,0.866031378,-10032.48432,20072.96864,20100.23369
0.513943754,0.844060439,0.273577446,0.848357592,-10032.75878,20073.51757,20100.78261
0.361301037,0.889234343,0.265323776,0.87540966,-10032.90863,20073.81727,20101.08231
0.403043003,0.918840637,0.207902854,0.860128125,-10032.95925,20073.91851,20101.18355
0.341069037,0.899595528,0.213578002,0.804113991,-10032.95974,20073.91948,20101.18452
0.393119461,0.892236372,0.302304815,0.89014866,-10033.01551,20074.03101,20101.29605
0.344085925,0.902874215,0.232360236,0.801589059,-10033.02458,20074.04916,20101.3142
0.490862252,0.899933823,0.237843782,0.799961272,-10033.26085,20074.5217,20101.78674
0.529199214,0.917903368,0.224109103,0.853957952,-10033.61402,20075.22804,20102.49308
0.448062733,0.918990942,0.235389809,0.83808743,-10033.69172,20075.38343,20102.64847
0.502254933,0.898124626,0.208782389,0.800407163,-10033.98584,20075.97169,20103.23673
0.470443442,0.855648909,0.287920197,0.82482711,-10033.99135,20075.98271,20103.24775
0.398557485,0.930431407,0.184195533,0.807449896,-10034.01683,20076.03365,20103.29869
0.431847094,0.862163194,0.299634352,0.821832365,-10034.25047,20076.50093,20103.76597
