x.use,Wei,GG,Burr,GB2,EGIG,TSCD
0.440860883,1.53673804,1.39513617,1.485377666,1.603167289,1.423683354,1.179668148
0.880124,1.536406239,1.344885378,1.416229818,1.583979915,1.486119167,1.19482267
0.878529547,1.51526041,1.330196611,1.385065994,1.526788532,1.504615015,1.229208275
0.876938398,1.499428425,1.302491152,1.36586567,1.490583994,1.531890852,1.248904051
0.43807203,1.375725101,1.167246429,1.239842202,1.34673333,1.41237645,1.225864261
0.437675273,1.314798878,1.068560649,1.148575709,1.272874469,1.34819781,1.174923646
2.61182008,1.533296278,1.327319851,1.513320023,1.489712104,1.558621919,1.34737742
0.434909458,1.469581889,1.205097882,1.387774314,1.366303829,1.450794789,1.231601784
0.434515977,1.431950816,1.12107619,1.249120833,1.253092881,1.36938192,1.188811448
0.867460472,1.44761214,1.149353377,1.255583722,1.273550858,1.38137311,1.2250554
0.433337976,1.395450644,1.068005536,1.153119353,1.204505532,1.304084242,1.172340682
1.727091965,1.523314989,1.233597465,1.401907842,1.289242976,1.472504878,1.267500128
0.861985852,1.493853399,1.24919264,1.390018278,1.268326104,1.501316322,1.316521338
0.860428949,1.502996892,1.241664106,1.405096435,1.274512361,1.513866127,1.312733431
0.858875264,1.48680066,1.246378369,1.390972923,1.265721799,1.48547586,1.302958532
0.857324791,1.470261368,1.237657331,1.403169181,1.264611587,1.50116665,1.314220945
0.428275378,1.40329335,1.155646858,1.283390038,1.208194916,1.390027284,1.24631792
1.281350178,1.482168463,1.243973375,1.36978226,1.262288218,1.466708874,1.323833275
2.125968039,1.604145045,1.419508429,1.558056856,1.407376541,1.643228901,1.557402484
1.272133496,1.670375209,1.478207412,1.59092731,1.436298663,1.682912498,1.685987426
0.423662253,1.564353198,1.337105349,1.411895545,1.345595507,1.560485726,1.502603012
0.845797892,1.500555951,1.30414859,1.389627374,1.35571192,1.564926725,1.457329058
0.422517884,1.405392696,1.210800104,1.272703057,1.286249858,1.436686199,1.362928951
1.264131163,1.465481974,1.297515769,1.387277047,1.320008799,1.481326913,1.401745151
2.931101744,1.704872535,1.595457794,1.743916338,1.531916744,1.691712449,1.634274856
0.418352061,1.57327812,1.397005568,1.552170812,1.441886685,1.571982519,1.467546311
0.41797569,1.501407381,1.294686504,1.340252981,1.346903909,1.467677824,1.369377849
1.665896326,1.623392281,1.410710199,1.552412801,1.42203848,1.635656643,1.439766196
0.831451194,1.609670209,1.371214652,1.48298095,1.425937756,1.631849207,1.466637084
0.415351933,1.560162363,1.258257219,1.318691123,1.34353645,1.497553455,1.362774636
1.242699752,1.622014169,1.317533618,1.403030815,1.396130473,1.554345133,1.379691999
0.413861124,1.48574517,1.218039806,1.265034424,1.303295843,1.458884268,1.261053668
3.287183016,1.738992025,1.522241959,1.651651115,1.534501585,1.711211984,1.479874789
0.820321745,1.66524025,1.442773267,1.568396773,1.510333506,1.661897296,1.481629335
0.409792939,1.555403278,1.304344727,1.386140403,1.380329382,1.574424638,1.38174614
1.226074222,1.598391663,1.364453614,1.464460003,1.429374207,1.597480016,1.375607679
4.85182949,1.984593281,1.825650856,1.988896169,1.747267011,1.96855589,1.699023672
0.807191282,1.913262914,1.711497092,1.806882142,1.701842773,1.863718548,1.663041794
4.000004421,2.177628078,2.05586465,2.212086734,1.953517212,2.09159919,1.861106971
0.399642949,1.932711163,1.766960816,1.871510799,1.768823371,1.893357801,1.58006429
6.303562624,2.323484052,2.267091479,2.489443642,2.142748109,2.284632265,1.897543733
0.786540795,2.166707448,2.025960767,2.178970146,1.995778261,2.114512269,1.849333462
1.567480701,2.145058436,1.950296083,2.147745158,1.968676947,2.125179063,1.757951744
0.391521015,1.927030536,1.706676185,1.800330929,1.786040597,1.938879946,1.526554638
1.171427036,1.920045057,1.670608554,1.781744504,1.75856942,1.91629265,1.525334734
0.779561139,1.766503532,1.55164168,1.642241747,1.656564976,1.856936005,1.538971559
1.166221711,1.726005587,1.544605374,1.664307189,1.611305864,1.81673158,1.478336702
0.77609802,1.650129405,1.47751896,1.572628928,1.545328732,1.732321231,1.514185247
0.38770376,1.540736758,1.325594655,1.414667584,1.397647405,1.598710019,1.376500435
1.929913993,1.651941614,1.481682929,1.637485519,1.528981376,1.680955145,1.457919284
0.385639661,1.54818919,1.306748682,1.405882513,1.419616082,1.573893701,1.278618001
0.769908876,1.51230482,1.299726087,1.379015943,1.388546874,1.539044586,1.268321632
1.534352752,1.56401187,1.406987626,1.513455063,1.442535688,1.606064587,1.327806578
0.765814309,1.536146096,1.383999376,1.452316978,1.405602233,1.55536092,1.362342268
1.145664631,1.56909349,1.423392837,1.496900337,1.423844935,1.567008726,1.388497964
0.381549256,1.451593649,1.273157694,1.325405295,1.323260437,1.453671052,1.255287686
0.761744767,1.423058858,1.246536195,1.319200339,1.317329917,1.440557913,1.230517793
0.760393786,1.419010373,1.242769692,1.311463728,1.295396987,1.446488231,1.220052168
3.02006942,1.656945985,1.526935886,1.66282347,1.50719418,1.691108501,1.453343742
4.482207148,1.914143238,1.89686382,2.135308097,1.817809216,2.040464496,1.839756145
2.598479657,2.036073071,2.053338838,2.322965201,1.935970253,2.157515417,2.152184026
0.741111139,1.966901042,1.891362729,2.010972628,1.821958643,1.981645978,2.016481913
2.211576788,2.053291075,1.987361479,2.141226911,1.883390813,2.02602242,1.995580363
0.36827072,1.826984428,1.743685192,1.789249069,1.705117406,1.810906884,1.621152713
0.367945639,1.652911911,1.519876041,1.529403007,1.526467014,1.636939437,1.45790622
0.367620889,1.518529754,1.346144327,1.316445663,1.398643226,1.479329624,1.33698739
1.465300747,1.565071609,1.431790893,1.462572217,1.453542723,1.586429194,1.36766624
2.909996279,1.750214659,1.64058444,1.82784891,1.660610344,1.802974508,1.606919965
2.170988929,1.873923698,1.766303627,1.996260382,1.781227871,1.905102476,1.805958954
0.722389464,1.758488616,1.617311089,1.796859236,1.681985361,1.800773049,1.719766792
1.080726054,1.778089,1.578472484,1.73984222,1.66256037,1.76738719,1.655852023
1.435904945,1.827788071,1.610630254,1.770855206,1.69224066,1.804506443,1.761266754
1.074090795,1.809442106,1.540497402,1.742877654,1.658925427,1.765807088,1.816846242
1.071261502,1.753840563,1.522532609,1.703160323,1.622770415,1.74546427,1.853175977
2.484284094,1.888331233,1.719919526,1.957845321,1.783572417,1.923666747,2.074680527
1.76671661,1.92506226,1.767354591,1.995272557,1.826754985,1.991394493,2.233060878
0.353033384,1.742106103,1.533042637,1.652856495,1.642477795,1.767172252,1.852747241
2.107081998,1.839197112,1.652097768,1.822776894,1.709120549,1.906154732,1.862732434
0.701130291,1.741115424,1.541013916,1.660428482,1.600854994,1.830769041,1.783698793
0.699902403,1.711068225,1.467109207,1.529735508,1.514534968,1.758887014,1.657307392
3.469000384,1.911701842,1.749019358,1.933014954,1.747570931,1.994260265,1.784699267
5.135710621,2.179368435,2.131425627,2.430366689,2.131533201,2.379659839,2.128382467
3.394056053,2.310813299,2.325482545,2.718426479,2.310633779,2.516394751,2.455150239
1.197434106,2.168651942,2.200819439,2.477500711,2.203745902,2.42086858,2.419608284
3.922576594,2.385833653,2.435775894,2.819360683,2.45079605,2.563097555,2.765626391
1.170655259,2.2740057,2.289493555,2.477756489,2.310327464,2.412800855,2.632771651
0.389541401,2.025727523,1.955330191,1.998946691,2.034792544,2.09096594,2.076726488
0.969636983,1.888159518,1.825325175,1.851485657,1.952418176,1.98110119,1.894864886
0.193759243,1.62364461,1.521673772,1.426859228,1.656821062,1.635822046,1.509223916
0.579767386,1.517193157,1.402199165,1.270450412,1.530424751,1.516529884,1.442588339
0.193088316,1.379638211,1.144464271,1.05320593,1.338675701,1.350303686,1.232873985
1.152521766,1.359245949,1.209143792,1.193317459,1.355446703,1.426372788,1.24693248
1.146549686,1.40777336,1.263864507,1.318280718,1.412432268,1.446181016,1.392870008
1.706487959,1.53574464,1.397762835,1.513049837,1.490203017,1.56587627,1.570605639
1.319265009,1.574462191,1.462412067,1.603186893,1.533486393,1.583699149,1.679766988
