PIT.Wei.SCD,PIT.GG.SCD,PIT.Burr.SCD,PIT.GB2.SCD,PIT.EGIG.SCD,PIT.EGIG.TSCD
0.557360624,0.557360624,0.45020252,0.42309918,0.423682566,0.426012996
0.493657935,0.493657935,0.303647787,0.324034209,0.141658665,0.145331004
0.587803421,0.587803421,0.478635031,0.475944127,0.586007289,0.596087222
0.621731417,0.621731417,0.483490919,0.512739869,0.559106367,0.56158862
0.447414492,0.447414492,0.235659672,0.566981106,0.216658076,0.221672587
0.5145043,0.5145043,0.380399708,0.349150031,0.206491259,0.212520525
0.58142466,0.58142466,0.451677916,0.443912975,0.43341279,0.433864169
0.434937211,0.434937211,0.270033461,0.751228035,0.455993361,0.462254458
0.49914944,0.49914944,0.310874496,0.319755436,0.241897765,0.240509681
0.612160424,0.612160424,0.464685149,0.488735538,0.668478522,0.678104467
0.490257074,0.490257074,0.270351781,0.324969752,0.50996591,0.512669733
0.542753556,0.542753556,0.406598298,0.362002083,0.635447379,0.647432634
0.638725481,0.638725481,0.566638618,0.53311453,0.57471838,0.579730212
0.498711002,0.498711002,0.316377269,0.330682514,0.534341782,0.538452375
0.549088107,0.549088107,0.341837454,0.364538657,0.373075683,0.379836587
0.651117405,0.651117405,0.576053957,0.544263917,0.551296081,0.553029934
0.492114646,0.492114646,0.365561171,0.330004083,0.361909639,0.368845454
0.522090795,0.522090795,0.378525529,0.358069147,0.599794532,0.605440983
0.652288185,0.652288185,0.525822942,0.558268898,0.614938111,0.613601877
0.610636241,0.610636241,0.517165399,0.482713128,0.880063117,0.888676291
0.644605281,0.644605281,0.566261533,0.544866979,0.641691152,0.64842586
0.384528591,0.384528591,0.605087692,0.233936415,0.511137358,0.51526767
0.427269667,0.427269667,0.291783204,0.24973655,0.355225521,0.364132961
0.46716716,0.46716716,0.274568721,0.287475261,0.499189085,0.5004222
0.521430318,0.521430318,0.330053908,0.310143748,0.656083149,0.664916859
0.741510807,0.741510807,0.708295017,0.69893645,0.830755614,0.835957351
0.42152007,0.42152007,0.220418973,0.277616666,0.382172228,0.383252891
0.658065827,0.658065827,0.56962545,0.544442179,0.537888666,0.543127
0.43424722,0.43424722,0.260649803,0.226829807,0.340011997,0.347699724
0.448269599,0.448269599,0.289958501,0.765811165,0.263873386,0.266370662
0.725772893,0.725772893,0.692578294,0.663993443,0.810026054,0.8180041
0.416875905,0.416875905,0.261665718,0.225839702,0.386249083,0.391804755
0.64999411,0.64999411,0.569545755,0.58520201,0.74551633,0.756802161
0.534652665,0.534652665,0.384953594,0.375395841,0.346764326,0.351663508
0.547905072,0.547905072,0.415033316,0.403838469,0.555648583,0.562668329
0.388580686,0.388580686,0.179868011,0.211824798,0.244746278,0.248778385
0.423859078,0.423859078,0.270893036,0.23294113,0.425178076,0.432673249
0.676273964,0.676273964,0.622056388,0.584904331,0.80954458,0.711364402
0.631490052,0.631490052,0.561132362,0.528342337,0.82352567,0.828654257
0.390561195,0.390561195,0.243455511,0.223352594,0.408459606,0.412171429
0.411673839,0.411673839,0.247831558,0.236207572,0.460380061,0.465184783
0.6772495,0.6772495,0.588448458,0.587699563,0.589153731,0.595233899
0.560474228,0.560474228,0.459107539,0.433263949,0.558901069,0.560009255
0.713222003,0.713222003,0.672441073,0.642954315,0.802806223,0.806915319
0.501546949,0.501546949,0.375034341,0.330574853,0.400346727,0.406230317
0.50679343,0.50679343,0.379334324,0.338344801,0.417241975,0.428995177
0.387421096,0.387421096,0.185460052,0.199932387,0.263902494,0.264681287
0.399083912,0.399083912,0.231085701,0.2120373,0.417880374,0.426668608
0.423433551,0.423433551,0.275357288,0.234770173,0.439427298,0.448407224
0.794204156,0.794204156,0.790967834,0.773414772,0.738259534,0.743763665
0.391007615,0.391007615,0.242340444,0.205452736,0.337364593,0.349014625
0.416135624,0.416135624,0.274518019,0.235357405,0.495432475,0.509707567
0.598156909,0.598156909,0.461687385,0.479433248,0.686882052,0.693547833
0.679720298,0.679720298,0.612501234,0.600519964,0.849767793,0.852379175
0.657447062,0.657447062,0.574157257,0.56310429,0.578087063,0.582218975
0.770309381,0.770309381,0.75573575,0.741927551,0.640965708,0.645887515
0.347243933,0.347243933,0.193350185,0.153799634,0.192840727,0.191160107
0.739597668,0.739597668,0.710918668,0.685909656,0.828825044,0.835418126
0.327720169,0.327720169,0.132250803,0.147107503,0.324238321,0.321417439
0.663129545,0.663129545,0.593441206,0.553325195,0.779391911,0.784720176
0.340259783,0.340259783,0.135776675,0.15783324,0.149837206,0.150527431
0.520763398,0.520763398,0.329894029,0.355145568,0.262748991,0.263871975
0.525228704,0.525228704,0.406867041,0.360804988,0.587877124,0.599738512
0.682871586,0.682871586,0.60063929,0.599808456,0.744354729,0.742479548
0.591566643,0.591566643,0.464365271,0.459211692,0.419196905,0.42977058
0.571070161,0.571070161,0.472434352,0.436966802,0.636313488,0.649345141
0.47215465,0.47215465,0.276786256,0.308913863,0.342050997,0.341902457
0.486324307,0.486324307,0.356750804,0.34116747,0.242015002,0.245946699
0.384658088,0.384658088,0.151597297,0.171856695,0.466769019,0.475610496
