Index,ObsDur,TSCD,fTaR_0.5,fTaR_0.25,fTaR_0.1,fTaR_0.05,fTaR_0.025,fTaR_0.01
1,1.00100757,0.838741679,0.434808766,0.90111976,1.579395054,2.113299482,2.654742668,3.374589439
2,0.796374049,0.809763475,0.540303085,1.077920958,1.815123599,2.381948556,2.952571802,3.709789837
3,1.120583435,1.160216804,0.56327812,1.06580029,1.734951116,2.236542985,2.731908495,3.376407837
4,1.271842765,1.053993926,0.954253392,1.729382514,2.713199891,3.431914027,4.131938456,5.032819252
5,0.66432464,1.069810672,0.675621405,1.300151923,2.143907259,2.781315525,3.413511688,4.238887646
6,0.854757332,1.205244476,0.740183321,1.460481299,2.454278308,3.215583787,3.977347096,4.980048494
7,1.102888141,1.199594657,0.805657891,1.507509603,2.431360601,3.116933537,3.789058783,4.657030959
8,0.637081451,1.161366182,0.893762051,1.740049971,2.899330632,3.781615709,4.659989077,5.810103614
9,0.80666227,1.163501004,0.886606712,1.830993271,3.19896295,4.274311259,5.364758342,6.815074677
10,1.234851865,1.245286067,0.89850305,1.891199746,3.334303507,4.471893974,5.628433201,7.171177465
11,0.780211841,1.315755975,1.133410398,2.211891553,3.693998901,4.823962117,5.949798702,7.42500188
12,0.889895389,1.219113053,1.053028058,1.954017276,3.137678501,4.01616029,4.877951603,5.991822378
13,1.378610006,1.222654799,0.884311752,1.656120377,2.682752443,3.452913126,4.21423102,5.205855559
14,0.809170834,1.373191996,0.830666694,1.594678109,2.625844953,3.404679399,4.177161039,5.185752754
15,0.892523076,1.481561754,0.83524331,1.644580274,2.771707249,3.637336759,4.502910424,5.640293761
16,1.425704804,1.33481923,0.973387242,1.817463181,2.918430859,3.737580517,4.544765495,5.595028505
17,0.808887353,1.399290439,1.098926614,2.121740158,3.487711643,4.505267739,5.503029771,6.790445399
18,0.878376149,1.334598172,0.936803,1.921232125,3.39104856,4.565175061,5.763841437,7.364087056
19,1.44323353,1.534757356,1.08296266,1.97472042,3.119260808,3.957476476,4.773591539,5.821956572
20,1.22105684,1.309074189,1.043714821,2.126866082,3.72376481,4.988566471,6.273513152,7.981420936
21,1.38159447,1.622401503,1.074051584,2.266162679,4.244967812,5.940266844,7.740216493,10.2164441
22,0.518114364,1.670640274,0.981137978,1.934668359,3.230716857,4.214904534,5.195313947,6.481168172
23,0.627797715,1.388720955,0.910958793,1.899873496,3.468909031,4.771268707,6.128727982,7.970152964
24,0.710721903,1.335187022,0.973877784,1.871440903,3.081281293,3.994342107,4.899424237,6.080738536
25,0.776621781,1.467870227,1.038328068,1.891655076,3.006665918,3.835326342,4.650172887,5.707014933
26,2.065590036,1.3693539,1.041432992,1.989494158,3.273034053,4.240950587,5.198366604,6.443888678
27,0.618336517,1.750348445,1.182540639,2.160297287,3.410856615,4.329334427,5.227267664,6.386616185
28,1.455974196,1.464821827,1.03060854,2.15634679,3.782488576,5.063427458,6.367346821,8.109995119
29,0.583993499,1.501324062,1.21999529,2.537738293,4.425648014,5.898972476,7.386859375,9.359348371
30,0.661533048,1.383019036,1.132006823,2.050202143,3.235956428,4.109946762,4.964980908,6.068742408
31,1.906165457,1.583419139,0.963107598,1.755867643,2.763520912,3.503635064,4.228682194,5.167474393
32,0.571174699,1.45485594,0.973518698,2.036567181,3.588369617,4.810509964,6.049759427,7.695957698
33,1.417720657,1.660119503,0.961372705,1.92137495,3.288836495,4.351773097,5.421593135,6.833727466
34,0.925201038,1.488980747,0.981257648,1.87941,3.088436232,4.000521427,4.904397514,6.083972199
35,0.910573318,1.513474662,1.162297744,2.2624937,3.75466778,4.884996962,6.008088123,7.476975157
36,0.536979958,1.476893,1.108840014,2.202339549,3.760992161,4.973798505,6.195195653,7.808298437
37,0.605714087,1.390828826,1.173545972,2.376298007,4.239931769,5.772113926,7.364776108,9.522739608
38,1.567563337,1.380750056,0.988753006,1.901463072,3.132934127,4.062772349,4.984695909,6.188226349
39,1.362854136,1.328510432,1.094361978,2.142569576,3.632547553,4.791745515,5.959534244,7.503056952
40,0.531833411,1.449853635,0.968953108,1.895307271,3.158141676,4.116228238,5.068557456,6.314151166
41,0.597746437,1.417152673,1.181288153,2.228467797,3.641445063,4.702415497,5.747833189,7.101757987
42,1.574485414,1.544224738,0.978673329,1.844986103,3.020178553,3.912674192,4.801253691,5.965680449
43,1.02486085,1.50390523,1.056474875,1.999666586,3.261588487,4.209063807,5.145026207,6.362479777
44,1.813851718,1.362995431,1.059052801,1.8503497,2.821929677,3.521543967,4.198861059,5.06710644
45,0.813897055,1.411569208,1.040740943,2.057019994,3.462897593,4.538780026,5.613281082,7.024210053
46,0.829584273,1.427577338,1.009867822,2.045198326,3.45119944,4.515456818,5.572648886,6.955358853
47,0.487401351,1.475228355,1.006070382,1.930215194,3.172826216,4.109199446,5.036904406,6.247096026
48,0.550437879,1.450862043,0.902718241,1.791149608,3.021640876,3.958165777,4.887811766,6.099523531
49,0.605834445,1.362491406,0.862375752,1.879559861,3.404228163,4.63423508,5.904948568,7.626425895
50,2.584019307,1.263442891,0.912050526,1.848010988,3.200765947,4.265461654,5.346679275,6.78726177
51,0.538070751,1.481099294,1.234785037,2.419777733,4.026241671,5.234807911,6.427237254,7.974493031
52,0.597357292,1.494667183,1.074154722,2.147635087,3.682697058,4.878837177,6.084009611,7.676425609
53,1.165073309,1.539082938,1.03245513,1.980214078,3.254430189,4.214258787,5.164933426,6.404566582
54,1.591801556,1.428566957,1.044458042,1.994880394,3.265880917,4.221488041,5.167370791,6.400847752
55,1.456718385,1.493419375,1.29484797,2.43510003,4.005491661,5.208288421,6.410704474,7.990568446
56,2.314442917,1.672418502,1.013082711,1.872677379,2.984975798,3.805482422,4.608798549,5.646548527
57,0.435096707,1.700575374,1.567252869,3.090456237,5.327709069,7.102586678,8.908016972,11.31079449
