window,miu,be,sig,a,q,LogL
1,-0.000116647,0.900200144,0.199712643,1.399832128,1.899597035,-9357.64526
2,0.192038237,0.900005745,0.436556254,1.605287807,1.996991792,-9315.562439
3,0.30819417,0.953655367,0.18888629,1.451254179,1.914647413,-9196.820757
4,0.307070673,0.891502007,0.187847607,1.39186164,3.540297596,-9251.017655
5,-0.01677794,0.945190565,0.213027658,1.656819565,1.92339531,-9280.101604
6,-0.053782586,0.929468768,0.281995809,1.435075123,1.915772881,-9281.352644
7,0.012708671,0.967340318,0.121174229,1.532786744,1.925809372,-9263.976997
8,0.105063854,0.933849102,0.2433291,1.468217198,1.957743572,-9227.209801
9,0.066382155,0.943377177,0.239665492,1.577642774,2.070835457,-9246.180425
10,-0.127748816,0.947945406,0.262817964,1.686963951,1.980337159,-9315.387902
11,0.211332558,0.904495388,0.223386795,1.742847797,1.897047052,-9309.729322
12,-0.001057436,0.900352661,0.200111151,1.400357654,1.900136558,-9362.166501
13,0.016131069,0.96108785,0.170948621,1.507072639,1.704979327,-9223.425676
14,0.043530053,0.899915713,0.325839228,1.601192411,1.900059331,-9261.639804
15,0.206157544,0.899341999,0.253553034,1.646381104,1.900235903,-9237.108319
16,-0.051351753,0.957514867,0.211917047,1.440914937,1.923632326,-9240.438438
17,0.062304866,0.944394188,0.24992823,1.411633215,1.946926133,-9250.038665
18,0.060440703,0.895949621,0.30497122,1.456459542,1.991997589,-9257.536487
19,-0.055420018,0.900006406,0.360679335,1.708684907,2.118383337,-9326.622621
20,0.007053736,0.946791545,0.196030055,1.431905511,1.915970437,-9238.204747
21,0.110178128,0.931720954,0.307227695,1.431990325,1.911646097,-9270.298452
22,0.622450464,0.900122283,0.437479265,1.399529566,2.649982441,-9331.517062
23,-0.073880715,0.923638883,0.320010587,1.393845942,1.908793614,-9324.128465
24,0.180316786,0.890013972,0.271854934,1.429492687,2.979274145,-9219.272796
25,0.163469317,0.889910909,0.373152531,1.468876313,2.012190089,-9271.10338
26,-0.119383687,0.900184307,0.377642437,1.492548669,2.00079667,-9322.267016
27,0.249741717,0.900006022,0.199985857,1.636900205,1.899859239,-9253.024374
28,-0.058513301,0.911396675,0.290612966,1.535442187,1.887121237,-9268.665788
29,0.457146373,0.907596426,0.24381625,1.411409682,1.97385776,-9200.306959
30,0.063533696,0.945690627,0.195032808,1.459113592,1.87449062,-9222.240177
31,0.00339411,0.927857443,0.299534804,1.40678358,1.902282722,-9288.337451
32,0.04714819,0.935499685,0.167353336,1.401635331,1.910558833,-9269.522813
33,0.012900185,0.900002098,0.318483339,1.471295516,1.899955705,-9277.590199
34,0.775391489,0.900025593,0.199943128,1.399601893,2.531480701,-9264.522257
35,0.000521179,0.903859788,0.199300378,1.400720905,1.897727242,-9343.828121
36,0.207123266,0.97241984,0.232936838,1.602425763,2.153106788,-9284.202791
37,0.018911235,0.978978955,0.154837183,1.427321606,1.90416079,-9225.727416
38,0.014030595,0.899979145,0.272608817,1.399942775,1.900009495,-9301.370039
39,0.983842743,0.900056263,0.380160003,1.43488941,1.899632658,-9336.328038
40,0.340733349,0.899854708,0.200073624,1.399812848,1.899846918,-9220.119546
41,-0.085551789,0.899876688,0.319657898,1.450226899,2.114184705,-9293.820924
42,-0.034371451,0.929907306,0.261771623,1.44883399,2.472039476,-9245.296217
43,-0.106044173,0.900018926,0.27740907,1.399690361,1.899575694,-9349.986202
44,-0.007771928,0.900001779,0.291355815,1.399972325,1.962321129,-9299.563611
45,-0.001419172,0.900185624,0.200006762,1.399895567,1.899949975,-9358.117846
46,0.166524528,0.899488076,0.330206286,1.402811091,1.918240547,-9276.333392
47,0.754862284,0.948225384,0.19994941,1.421478927,2.644285741,-9214.61431
48,0.270558218,0.932516445,0.197170199,1.477372103,1.874290381,-9197.235488
49,0.229854144,0.858468046,0.318624756,1.412133016,1.908923306,-9255.310143
50,0.028898683,0.911347588,0.227053631,1.406025958,1.904301645,-9283.168117
51,0.435364948,0.90287024,0.295920884,1.410283793,1.914111131,-9225.025146
52,0.039839024,0.90011042,0.243756651,1.404129622,1.898754029,-9297.367882
53,0.728959545,0.89906442,0.225722942,1.414899145,2.749611484,-9243.783885
54,0.106053836,0.901773336,0.378010807,1.416038987,2.119492725,-9300.325106
55,-0.008046771,0.919073071,0.230993856,1.504419392,1.904393844,-9259.309703
56,-0.071105992,0.909742867,0.303804413,1.405758147,1.954735919,-9309.158843
57,0.159198567,0.906685038,0.277638431,1.389706862,1.96800557,-9256.639921
58,-0.002694915,0.915111445,0.303823723,1.430674337,1.904226857,-9286.330373
59,0.160832986,0.888717993,0.314541754,1.540277038,2.349927239,-9227.329895
60,0.021447379,0.897390894,0.305368991,1.404598813,1.898011704,-9303.590455
61,0.181427272,0.858691722,0.342041106,1.625775131,1.932387334,-9234.926581
62,0.349738823,0.906037188,0.26024975,1.41396158,3.950874538,-9214.104062
63,-0.010832949,0.899776286,0.289246073,1.398713955,1.897394328,-9309.082922
64,0.127921343,0.909701536,0.287757666,1.56167467,1.940253562,-9231.965148
65,0.131345931,0.90086978,0.43412704,1.550241521,1.898723601,-9326.112295
66,0.025784324,0.900296284,0.305444916,1.449021284,1.899791645,-9276.358536
67,0.141454002,0.916251874,0.202329145,1.675437912,1.87705506,-9283.182881
68,0.052247653,0.932392113,0.293359343,1.409415263,1.910805516,-9282.495937
69,0.205977414,0.899811532,0.232573174,1.573675319,1.912795012,-9217.058896
70,-0.012653239,0.905217173,0.28915854,1.393236297,1.918559746,-9303.296424
71,-0.022251765,0.91988544,0.281877206,1.41702383,1.90834929,-9287.260092
72,0.04300678,0.893038398,0.370347785,1.681205036,1.894555265,-9289.573497
73,-0.004703566,0.900093391,0.201675045,1.399845054,1.899947494,-9355.283232
74,-0.104311064,0.943077984,0.273903633,1.549323246,1.839604283,-9266.662473
75,-0.138194403,0.90873439,0.254796234,1.440535129,1.958656387,-9326.122155
76,0.146090133,0.89529929,0.312805857,1.400038968,1.913474361,-9275.102617
77,0.424696335,0.888585085,0.19180359,1.414132697,1.869341084,-9217.465236
78,0.08727628,0.937124272,0.234487653,1.509561507,1.846656849,-9224.148202
79,0.039645977,0.933143349,0.192224508,1.381499866,1.824523906,-9277.636085
80,0.229521481,0.899937639,0.325852928,1.399912459,2.011291846,-9261.655642
81,0.073071839,0.900009759,0.429750834,1.537179142,1.89979398,-9330.521116
82,0.120173644,0.895628129,0.2859708,1.687356839,1.993515735,-9272.638414
83,0.112001531,0.947898547,0.177289527,1.646752068,1.891624394,-9260.849331
84,0.338215987,0.900006009,0.311858962,1.471937044,1.899873352,-9217.49699
85,0.535204992,0.90094203,0.231266932,1.454656925,1.954408002,-9189.424527
86,-0.042958914,0.899995419,0.278150052,1.399911796,1.911310291,-9318.643001
87,0.433818901,0.899969178,0.20003367,1.504825234,1.899901259,-9194.409646
88,-0.018846134,0.900015551,0.2000329,1.617251175,1.899783925,-9350.306035
89,0.618330512,0.911255238,0.18556458,1.510533494,2.613405819,-9258.586342
90,-0.212139685,0.900004402,0.347506385,1.540955091,1.899907063,-9325.260063
91,0.027512494,0.900001553,0.259840119,1.39998052,1.899973344,-9294.61997
92,0.031207652,0.910024023,0.268954502,1.410447494,1.879505533,-9276.287924
93,0.029912101,0.97144205,0.144276066,1.401536776,1.930790452,-9218.906255
94,0.042758203,0.891572986,0.307376038,1.449788343,1.886798018,-9275.881471
95,0.194811871,0.972037841,0.190181028,1.574081573,2.021264772,-9233.002385
96,0.006630573,0.911683672,0.256815145,1.402283079,1.897543453,-9285.644147
97,0.337685177,0.963033423,0.189615673,1.432132501,1.928011891,-9201.016849
98,0.174998843,0.900003934,0.406924736,1.538499674,1.899916948,-9297.622005
99,0.064477186,0.965345593,0.160588462,1.381717002,1.933211268,-9221.391254
100,0.37744459,0.876461494,0.321576368,1.390176489,1.918676173,-9238.969969
101,-0.002062667,0.950367602,0.206366458,1.554804268,1.902628755,-9231.859421
102,-0.012411515,0.95099073,0.26859127,1.448120598,1.901834641,-9256.176554
103,0.01546967,0.916642549,0.282429305,1.400383123,1.900927656,-9278.595865
104,0.392881563,0.923621124,0.1867093,1.454715133,2.133925495,-9174.419679
105,0.011285883,0.90007995,0.280313704,1.400077787,1.899988186,-9294.491741
106,0.26098316,0.899908232,0.350420447,1.400776013,1.957816758,-9278.235146
107,0.048209801,0.989980752,0.101596689,1.459568647,1.860234624,-9229.324992
108,0.453008024,0.934399549,0.161570422,1.440284774,2.068828248,-9179.837503
109,0.039326615,0.90000153,0.269387632,1.399976196,1.906240267,-9282.303858
110,0.309458456,0.917046065,0.239878793,1.456186268,2.010039006,-9187.834075
111,0.063643918,0.954935534,0.192994677,1.462041217,1.930693643,-9208.559109
112,0.318352961,0.913560094,0.283268371,1.42700614,1.914099662,-9222.149941
113,0.000530945,0.954198834,0.229566286,1.408319696,1.916633014,-9256.798524
114,0.501165673,0.857708399,0.38531388,1.431936036,2.062772935,-9257.222486
115,-0.051801894,0.900001324,0.392890551,1.592571579,2.126273455,-9317.081421
116,-0.026429884,0.899279942,0.31372163,1.399439623,1.899318372,-9331.674396
117,-0.125261494,0.96993827,0.165864132,1.46879434,1.846674603,-9244.51812
118,-0.006128235,0.900136847,0.200616633,1.400117935,1.899665145,-9373.401076
119,-0.077213745,0.976037731,0.14436874,1.468599021,1.954766426,-9228.808721
120,0.006916627,0.897933892,0.303469644,1.52018684,1.990789041,-9274.459002
121,0.99998985,0.900171081,0.199619819,1.397338735,1.896388283,-9368.676219
122,0.965541644,0.900025783,0.420564988,1.538130822,1.899455702,-9359.875042
123,0.196601028,0.924334096,0.195418777,1.534670736,1.927746597,-9224.65241
124,0.006640209,0.96041848,0.195055598,1.400584348,1.899786261,-9247.331686
