window,miu,be,sig,lam,del,w,LogL
1,1.336312975,0.986303189,0.236733439,0.302341726,1.158184281,0.222989452,-6447.75596
2,0.617806584,0.972183314,0.184148807,0.684020894,1.050587834,0.234251636,-9304.29034
3,0.376076584,0.975369915,0.24415491,0.531746519,1.211357056,0.262501638,-9456.648388
4,0.404662257,0.93710621,0.420093351,0.740475797,1.232586488,0.252217682,-9453.899852
5,0.398788192,0.969862969,0.101193367,0.489993162,1.201839655,0.251341151,-6552.625812
6,0.392860163,0.951521708,0.154344904,0.47707432,1.155186572,0.251849958,-6399.438412
7,0.423245567,0.968889134,0.193513904,0.502217339,1.271856402,0.239494051,-9584.841739
8,0.118277537,0.970001062,0.274951674,0.436243755,1.199936292,0.249978764,-6448.670886
9,0.405655063,0.918845164,0.158909779,0.325289542,1.147644009,0.231475308,-6372.220604
10,0.270110233,0.843624419,0.245838647,0.377599116,1.116184503,0.210590293,-6332.086653
11,0.542173134,0.970000611,0.366001653,0.423227789,1.199963356,0.249987785,-9479.02952
12,0.251903935,0.970058706,0.30956236,0.513346596,1.261304037,0.264738945,-6510.524466
13,0.334978945,0.969651185,0.145911183,0.531384234,1.202330207,0.298228956,-6555.479651
14,0.389282765,0.969231069,0.103881218,0.493610924,1.1997263,0.257550049,-9595.475522
15,0.477690661,0.969692092,0.099730328,0.369807071,1.199840253,0.251676904,-9620.459449
16,0.416562462,0.959724463,0.204614001,0.712313427,1.162685208,0.261282429,-9381.255592
17,0.497157186,0.957196628,0.247776156,0.44334681,1.298959148,0.174347443,-9439.561307
18,-0.545335674,0.954661283,0.267484317,0.132743118,1.19509157,0.249716239,-9524.116777
19,0.350266635,0.970207679,0.335818774,0.60304267,1.281369259,0.250721828,-9531.469006
20,0.322791901,0.850386026,0.289073113,0.163412505,1.207463845,0.242042448,-9371.732602
21,0.368370211,0.863164802,0.26540738,-0.203391299,1.194220776,0.246266349,-9467.274301
22,0.246619822,0.923438578,0.225306259,0.561181837,1.15346376,0.21475037,-9323.52588
23,-0.419373829,0.96978837,0.19574973,-0.074070234,1.199976101,0.250404426,-9580.042301
24,0.399423284,0.969961388,0.100128913,0.502535559,1.200025106,0.251158639,-9618.905155
