window,miu1,miu2,be1,be2,sig1,sig2,lam1,lam2,del1,del2,w1,w2,LogL
1,0.303674762,0.892013494,0.899939301,0.960000988,0.179996709,0.196719708,0.077036364,1.070141264,1.789970899,0.419960683,0.452781269,0.050000519,-9428.607366
2,0.222160062,1.179774969,0.889925714,0.924825912,0.331540322,0.087058573,0.212060797,1.239532538,1.812075076,0.395047152,0.317300042,0.220609515,-9514.594656
3,0.306947467,1.000261338,0.900001304,0.959957399,0.17999674,0.079998696,-0.08507245,1.020580467,1.789977178,0.419971744,0.430771238,0.049997826,-9526.628277
4,0.294048684,1.024302243,0.895929028,0.979630171,0.232231574,0.119488377,0.022996629,1.040519478,1.865183561,0.400526884,0.286353609,0.163919119,-9404.556383
5,0.332278587,1.006982231,0.902422353,0.958376171,0.175559998,0.080443496,-0.015291964,1.117499443,1.797796779,0.439767405,0.324142261,0.056917216,-9477.590677
6,0.324943667,0.959837334,0.940253119,0.955143943,0.196679936,0.2492173,0.035985105,1.121771246,1.792310553,0.505912628,0.286922409,0.072820731,-9461.214548
7,0.126319013,1.02651479,0.898397849,0.960887875,0.357063051,0.082000539,0.006683031,1.084665211,1.790852109,0.423024248,0.335522201,0.068434622,-9499.759251
8,0.089938054,1.013441843,0.899974062,0.959966253,0.180320709,0.080156074,0.170000816,1.095897434,1.852641971,0.53102095,0.270066943,0.049899632,-9441.102121
9,0.270456203,1.211685333,0.899957273,0.959956382,0.179996662,0.254995996,0.005629192,1.247466154,1.789976633,0.41997107,0.290140218,0.172507504,-9438.416327
10,0.330165912,0.9983443,0.899794063,0.958228663,0.18094711,0.147223092,0.019207824,1.061066949,1.789426836,0.493520914,0.302740254,0.09904486,-9430.2478
11,0.206257933,1.028067106,0.830831977,0.955094824,0.198892999,0.148228811,0.015464708,0.981989167,1.827521738,0.423544423,0.259114818,0.159424072,-9417.324196
12,0.289242279,1.068491208,0.900000591,0.959980709,0.230201879,0.079999409,-0.034469915,1.084599425,1.821185229,0.440879983,0.269997047,0.076896275,-9486.940462
13,0.330746608,0.963860402,0.899951613,0.959958675,0.461927132,0.079965221,-0.065670192,1.266912238,1.789993881,0.481125224,0.480081595,0.050205934,-9491.026694
14,0.342461173,0.996771023,0.840834627,0.958909349,0.168050254,0.262512737,0.138088103,1.069948484,1.887642371,0.554314929,0.289808263,0.021427538,-9421.985132
15,0.325325746,1.009735385,0.896322115,0.965738399,0.335402426,0.0768974,0.066255208,1.124889008,1.88031023,0.451427212,0.391482273,0.130091476,-9457.21082
16,0.264289349,0.960411243,0.88872326,0.951781705,0.179055704,0.182008448,-0.004613493,1.191606342,1.780098386,0.483229503,0.265143701,0.052162565,-9458.233026
17,0.205274454,0.991012796,0.900322488,0.959830343,0.376307447,0.120316513,0.155713125,1.166610032,1.845259945,0.493342101,0.400938492,0.18277501,-9485.642954
18,0.331073546,0.940784545,0.899885523,0.960001212,0.180041426,0.079950747,0.374785832,1.172354061,1.89132834,0.449166737,0.270058473,0.190818658,-9495.42774
19,0.438799414,0.893650781,0.840137686,0.976251528,0.243233645,0.180967847,0.14782011,1.150194003,1.973704013,0.475740743,0.247681121,0.14768433,-9364.226758
20,0.345158387,0.847150245,0.886571401,0.96526362,0.161785195,0.058270215,0.191822679,0.933110349,1.804432111,0.419428015,0.304916113,0.104593282,-9475.694015
21,0.239763885,1.000871888,0.900044906,0.960364292,0.230002551,0.126007802,0.023179281,0.970130173,1.789998582,0.420127322,0.26990675,0.072280914,-9488.977688
22,0.331411961,0.891908618,0.881925288,0.963017542,0.188938833,0.052657715,0.20361135,1.008146712,1.752025012,0.402415547,0.287081637,0.061131277,-9508.155591
23,0.266835457,1.001606646,0.905371924,0.954944491,0.210999562,0.228771126,0.034794745,1.215626542,1.792316442,0.438134217,0.335445119,0.11968286,-9387.884241
24,0.261642725,1.016074284,0.899436539,0.959342434,0.180012266,0.080306754,0.029349141,1.037247405,1.832556097,0.42001681,0.317108001,0.092756865,-9447.461456
25,0.284930001,0.998571135,0.885661141,0.968310707,0.172242746,0.107066512,0.061174446,1.129172355,1.839711523,0.425028751,0.263722387,0.074475882,-9427.621364
26,0.306335902,0.70501289,0.899579571,0.954957621,0.181801563,0.211951046,0.298412363,0.962838165,1.930551354,0.415313102,0.270450214,0.159811896,-9341.120643
27,0.543667618,0.889658939,0.900685433,0.960354692,0.217944254,0.080341343,-0.000622856,1.24106428,1.9183997,0.419899849,0.269463141,0.151927111,-9481.258899
28,0.305141317,1.029958503,0.889811584,0.964004064,0.186730395,0.18056221,-0.070560811,1.23575273,1.784326561,0.449018558,0.276043284,0.11308063,-9447.160601
29,0.283671355,0.909489591,0.898660884,0.961022905,0.178398569,0.143009126,-0.029787993,1.159622425,1.883165952,0.422148625,0.364736697,0.050173993,-9463.900277
30,0.556991874,0.996372361,0.8931172,0.962307764,0.249919428,0.309167279,0.08570058,0.971976881,1.949812004,0.60481041,0.270565088,0.050328033,-9435.094205
31,0.287538698,1.068247302,0.899959116,0.959958264,0.179996806,0.087574898,0.127226567,1.10387545,1.826904966,0.419972318,0.275882878,0.210614403,-9489.503459
32,0.165570222,0.822661378,0.900211177,0.95997524,0.315781263,0.165449263,0.120534262,1.143815728,1.790251966,0.419625899,0.415067634,0.190006976,-9385.106753
33,0.271045308,1.002987763,0.84759568,0.96525832,0.177605452,0.061828964,0.021135768,1.088391138,1.800826683,0.408874491,0.285387408,0.071329814,-9492.664082
34,0.216124055,0.923527672,0.895709054,0.95885305,0.18218257,0.078220239,-0.052268275,1.170321309,1.827020891,0.421976921,0.327262254,0.048947857,-9481.221466
35,0.239553781,1.172793393,0.899997297,0.959975852,0.356096318,0.079983862,0.125318744,0.952513282,1.844121562,0.419971593,0.270007823,0.199275267,-9490.27842
36,0.21997729,1.116201172,0.900196273,0.960048529,0.29506399,0.267252368,0.092592357,1.067246395,1.789797608,0.611564503,0.387896457,0.050306353,-9413.884033
37,0.106971467,0.841693852,0.902317498,0.960300143,0.362853827,0.1076366,-0.08530318,1.075397053,1.788859085,0.711286326,0.456197583,0.04901508,-9504.742722
38,0.072448765,1.096703722,0.899984248,0.960001903,0.283694401,0.079974341,0.222764332,0.958131384,1.811181254,0.419948829,0.489340539,0.071843838,-9456.813471
39,0.188737058,1.155602961,0.900689903,0.960450382,0.305890441,0.081112005,0.037307249,1.213972647,1.867801962,0.420490779,0.271993364,0.124560682,-9439.881657
40,-0.117217454,1.128374883,0.903916694,0.962543255,0.180974368,0.081722809,0.159179229,0.816337632,1.811551277,0.430258073,0.294274107,0.140215318,-9455.4963
41,0.372471893,1.033376994,0.930746721,0.968400119,0.189913059,0.059848439,0.266299951,0.583248458,1.051026714,1.365600183,0.426277634,0.22528101,-9515.182396
42,0.31684758,0.98800075,0.901594882,0.959959625,0.199269784,0.131356805,0.06645848,1.035600843,1.789687187,0.420142838,0.278704981,0.049811216,-9488.067785
43,0.167493602,1.027285585,0.899859978,0.960058048,0.323553124,0.220924299,-0.032211465,1.278715602,1.789842225,0.419884539,0.481543676,0.049958231,-9417.146092
44,0.35114453,1.069255602,0.910800165,0.936009009,0.168063569,0.320160096,-0.052419318,1.176284714,1.802954554,0.443022984,0.399728766,0.056213143,-9435.755885
45,0.248192171,0.96337077,0.904125565,0.960737217,0.198078788,0.068871136,0.04035136,1.063913779,1.833087421,0.484805209,0.265671086,0.051587178,-9478.704316
46,0.33034025,1.10371837,0.898444968,0.964676895,0.182681928,0.118293667,-0.02604426,1.077996142,1.785762955,0.433080205,0.26842207,0.052653146,-9503.282768
47,0.254041236,0.981054165,0.900053187,0.959924346,0.179969255,0.082329166,0.084704489,0.958139386,1.790001308,0.436634221,0.358686159,0.050030323,-9505.149424
48,0.216225471,1.20607203,0.872004559,0.97221681,0.269179643,0.314497536,-0.095338088,1.14868064,1.786142677,0.485482153,0.399650392,0.051268026,-9459.18492
49,0.238399225,1.010939396,0.871558403,0.940804979,0.174360886,0.085718312,-0.024424605,1.166648111,1.857770014,0.452413561,0.258759014,0.108578402,-9487.759675
50,0.266633752,0.779521624,0.820080353,0.95701293,0.28423719,0.133357309,0.019122376,1.218686702,1.695591452,0.436627762,0.525996973,0.056473775,-9349.768743
51,0.291974107,0.988602637,0.899997516,0.959997547,0.179999459,0.080000723,0.008719792,1.061200697,1.789999083,0.419998644,0.280662348,0.049999199,-9523.842776
52,0.201854795,0.979568365,0.902044281,0.95473994,0.179147866,0.090257772,0.065610572,1.047818355,1.845342845,0.426110437,0.330855192,0.065675283,-9471.179387
53,0.236602838,1.449348651,0.959631995,0.969695878,0.177858358,0.126460514,0.428696676,0.466140705,1.118795738,1.259059782,0.367129696,0.226735238,-9403.600977
54,0.323451759,1.003728206,0.899991665,0.959991492,0.179999349,0.082179596,0.039979937,1.049717576,1.791254518,0.419994357,0.269998698,0.049999566,-9514.214748
55,0.285788014,1.019564676,0.903494577,0.948744718,0.252357506,0.154896179,-0.044691306,0.98256136,1.926876565,0.52335231,0.268568832,0.113113351,-9457.438243
56,0.041726012,1.010967093,0.895343949,0.960344298,0.380800453,0.125292187,0.120288363,1.143679229,1.856111539,0.418726976,0.372547206,0.097141378,-9415.403072
57,0.389889364,0.799412692,0.918373186,0.952463079,0.200890962,0.074645465,0.120716485,0.978858563,1.81059442,0.386446065,0.312284632,0.141252398,-9437.291699
58,0.278014162,1.034586594,0.924498531,0.961907245,0.247423584,0.13214962,0.013463887,1.028117396,1.803183926,0.507511678,0.292693319,0.07027776,-9477.637822
59,0.198560164,0.782788564,0.905933641,0.963980702,0.295571828,0.170897764,0.123757503,1.252735089,1.957820041,0.632772158,0.366723437,0.038500495,-9451.714338
60,0.259013023,1.000320273,0.932803835,0.965278981,0.150075154,0.212769865,0.32637804,0.689415654,1.047089896,1.302937928,0.299505075,0.101261041,-9438.953908
61,0.221262791,1.31112755,0.929566625,0.969187258,0.207976333,0.060186962,0.27843153,0.48862632,1.049709907,1.301754986,0.301059187,0.204848121,-9482.350935
62,0.539130311,0.928155375,0.899975235,0.959974719,0.282567573,0.142901625,0.031882055,1.187430038,1.797603172,0.478561452,0.360319973,0.064732867,-9427.126632
63,0.252085482,1.382402621,0.930172467,0.969485911,0.149173457,0.059699032,0.344935125,0.552239813,1.116614302,1.438947181,0.358563151,0.099689861,-9490.557005
64,0.295842628,0.998215161,0.899716077,0.960528682,0.179817263,0.080346381,0.021727165,1.063371681,1.790661938,0.422465298,0.270460634,0.050296011,-9525.517842
65,0.224987544,0.95971791,0.899963695,0.959959056,0.179994509,0.079996423,0.081846377,1.116552993,1.815196711,0.41997725,0.333751143,0.055365383,-9462.656436
66,0.324996043,1.064505196,0.863322299,0.959003251,0.171783425,0.189022744,-0.044202057,1.110289469,1.861803239,0.414679668,0.365764253,0.080910796,-9413.529726
67,0.286340666,0.977076457,0.903438155,0.965379099,0.212413139,0.168055119,-0.06439389,1.061634918,1.812552341,0.417531499,0.272330089,0.049039857,-9510.720716
68,0.090204149,0.897492839,0.881256523,0.947693557,0.246329696,0.09273132,-0.129709355,1.196269135,1.829023481,0.423890136,0.374770785,0.134903853,-9481.774114
69,0.446330321,0.898737219,0.898562526,0.956808428,0.182570219,0.085235631,0.101002751,1.094080239,1.841242264,0.569438648,0.335991543,0.052246185,-9501.935553
70,-0.021499922,0.339637081,0.929886144,0.969881073,0.35961909,0.059981735,0.401891352,0.296983458,1.049925684,1.2999355,0.483561645,0.267631286,-9471.836182
71,0.337086055,1.031394007,0.899110893,0.958034609,0.263229641,0.195715457,-0.105265736,0.928831969,1.982330444,0.419095227,0.269988934,0.111349183,-9458.842249
72,0.302026981,0.925979339,0.900342521,0.960297574,0.180240126,0.080083954,0.036201921,1.166511524,1.790350066,0.419903802,0.376130439,0.050114554,-9465.334175
73,0.321902595,1.182046951,0.928371928,0.968179674,0.142112502,0.071651892,0.293471217,0.486083064,1.05251953,1.321299126,0.324624894,0.101787386,-9498.822377
74,0.326462789,1.27563959,0.904622659,0.962175974,0.188603189,0.125867228,0.275096705,0.400600386,1.073427569,1.355720574,0.323338739,0.145800169,-9433.39882
75,0.20633289,1.3271231,0.912875354,0.972229265,0.203173929,0.10813596,0.441185807,0.442398864,0.991181569,1.304673083,0.41694838,0.261614225,-9416.111445
76,0.330112847,1.185656614,0.932366918,0.968360104,0.283511191,0.098188428,0.258504334,0.481120322,1.063406599,1.35191896,0.305872519,0.148403132,-9490.738303
77,0.176999322,1.186406252,0.930443776,0.969586799,0.171457205,0.152796422,-0.085417993,0.708305378,1.050264375,1.424758619,0.427778902,0.160240228,-9500.657627
