window,miu,be,sig,a,p,q,LogL
1,0.567915718,0.932073581,0.168086539,0.668390739,2.785925382,25.00473563,-9194.299539
2,0.596173582,0.971100004,0.100125424,0.699677116,2.813823887,24.99603096,-9259.440033
3,0.647835397,0.902173319,0.230936221,0.639344275,2.852769353,25.04775229,-7313.598542
4,0.85737876,0.965510502,0.208145921,0.669870001,2.793327942,24.99233311,-7346.126603
5,0.943348046,0.968840134,0.153026633,0.699492647,2.799028406,25.07621595,-9253.826776
6,0.555778759,0.970001647,0.251984402,0.699936526,2.799745816,24.99772815,-7375.347729
7,0.666057494,0.96851865,0.196362818,0.700108351,2.799049408,25.11737578,-7356.651241
8,0.577503484,0.969669522,0.130015438,0.705406432,2.802725312,24.99153398,-7365.177293
9,0.600787412,0.969979606,0.131442261,0.717846743,2.799970866,24.99973987,-7383.469428
10,0.681803453,0.969957994,0.148234086,0.699984998,2.799939992,24.99946421,-7359.329032
11,0.608525585,0.962163678,0.179630456,0.686878125,2.798842821,24.99218172,-9204.110826
12,0.608157962,0.970044026,0.100025178,0.702495696,2.802468271,25.00498573,-9266.64498
13,0.60864506,0.969996822,0.100795993,0.699998865,2.800264601,25.00722784,-7376.691014
14,0.595638876,0.965809687,0.175692187,0.698496795,2.803399802,25.01428226,-7340.587323
15,0.680519324,0.969832774,0.244548862,0.699858319,2.800207273,24.99914485,-9253.312286
16,0.633254128,0.969947324,0.167082449,0.705749011,2.819017691,25.01922026,-9230.27006
17,0.562295349,0.969920225,0.22209867,0.699971509,2.799886035,24.99898246,-7357.022311
18,0.60296106,0.970018561,0.099990638,0.701256884,2.800620291,25.00667102,-9260.461412
19,0.806135035,0.965008197,0.236411277,0.706732763,2.535590602,24.90419261,-9235.939397
20,0.477474575,0.970000878,0.09999561,0.699969268,2.837713761,24.99890243,-9265.955374
21,0.631977533,0.91076106,0.203136364,0.66420693,2.856066288,25.00792898,-7303.857325
22,0.636046094,0.896742279,0.226644945,0.637242093,2.813634232,25.12152026,-7297.574838
23,0.599806042,0.969880352,0.100054446,0.700507829,2.800835899,24.99994812,-7373.436819
24,0.479524664,0.969776378,0.099781115,0.69999893,2.800018454,25.0183159,-9251.209838
25,0.572655052,0.93405908,0.22642786,0.708856827,2.823051303,25.02796267,-9204.990342
26,0.350922672,0.955195551,0.112847074,0.663100783,2.795081802,24.98633356,-7321.825502
27,0.569502842,0.897100135,0.255054255,0.64694961,2.782194077,25.0492664,-7290.190678
28,0.257227347,0.845200216,0.318918705,0.736095625,2.792551087,25.01081471,-7320.289241
