window,miu,be,sig,a,p,LogL
1,0.437892139,0.959953365,0.151370443,0.299988042,5.499892381,-9200.975684
2,0.375291115,0.958633775,0.148854668,0.301467367,5.498874982,-9196.87193
3,0.379339515,0.959973657,0.149997174,0.300003431,5.499865613,-9203.340513
4,0.480444774,0.959912707,0.150057113,0.299985354,5.500011979,-9208.069189
5,0.40023822,0.95999897,0.150606521,0.300209461,5.499997624,-9198.578697
6,0.400993519,0.960754393,0.16307657,0.299988478,5.506021447,-9195.149274
7,0.37686883,0.95993531,0.149995024,0.29999606,5.573541837,-9209.626122
8,0.399934101,0.960003791,0.151047103,0.301204896,5.500680249,-9205.755234
9,0.388827936,0.959991315,0.149999332,0.299997773,5.499979958,-9195.140637
10,0.449871786,0.96000075,0.149996248,0.299987492,5.566506834,-9206.959335
11,0.38682647,0.95993631,0.149995101,0.299983669,5.499853024,-9208.803411
12,0.591915891,0.953402245,0.19916376,0.287079683,5.517127615,-9193.621646
13,0.417903898,0.959424725,0.170138555,0.304382792,5.509353156,-9197.600987
14,0.333989584,0.959972439,0.168549879,0.299992933,5.535578574,-9207.527668
15,0.396130419,0.951040782,0.163805486,0.283617897,5.497045075,-9182.991736
16,0.400629083,0.95999935,0.15016778,0.300795678,5.500383059,-9200.018245
17,0.401781855,0.960029721,0.153622831,0.305503071,5.501157691,-9204.116862
18,0.283696789,0.96000185,0.149990749,0.299969163,5.499722467,-9208.123921
19,0.410549295,0.96021468,0.154131672,0.303064661,5.500643798,-9197.365087
20,0.40066662,0.959992594,0.14999943,0.299998101,5.508225204,-9196.626805
21,0.415197693,0.960506892,0.167524627,0.29837734,5.523757363,-9193.49148
22,0.38965802,0.959983683,0.178994339,0.299997984,5.500105682,-9201.616706
23,0.436760652,0.959723426,0.170214352,0.300741244,5.614388532,-9211.273339
24,0.392410097,0.960022288,0.147604908,0.298879316,5.499533784,-9198.662571
25,0.384620833,0.961679894,0.150506679,0.278640717,5.491944493,-9188.530949
26,0.410728166,0.95974993,0.17022309,0.305170006,5.508046123,-9201.065765
27,0.391907823,0.950668961,0.181004066,0.304463738,5.514904463,-9190.646095
28,0.427494785,0.958108837,0.155311116,0.299590707,5.482648496,-9198.593212
29,0.387963957,0.95731858,0.15649932,0.287261206,5.531920285,-9193.20313
30,0.4050916,0.960159134,0.157487538,0.298790861,5.506172059,-9201.184019
