window,miu,be,sig,a,LogL
1,0.295285443,0.899499649,0.347764658,0.500491951,-9296.006789
2,0.167636664,0.899930268,0.299988931,0.499952036,-9336.864845
3,0.376657343,0.887437222,0.339656637,0.48448978,-9289.889233
4,0.435715089,0.899986453,0.32891731,0.499990682,-9298.793573
5,0.398644401,0.899644631,0.300862235,0.500010973,-9305.428289
6,0.360656284,0.900279861,0.30069903,0.501834822,-9307.117105
7,0.345853939,0.899984652,0.299997564,0.499989443,-9309.177892
8,0.400061222,0.898919004,0.326022707,0.511407662,-9311.74092
9,0.402319559,0.900118497,0.30039615,0.503635965,-9301.639733
10,0.504846573,0.847421065,0.271067611,1.044270105,-9341.689397
11,0.349912969,0.900001071,0.29999643,0.499984532,-9296.981001
12,0.398553448,0.899872923,0.308194246,0.502481377,-9290.523192
13,0.325238708,0.897321707,0.309469583,0.49642896,-9309.328897
14,0.397201354,0.900212199,0.303993847,0.507294211,-9297.900041
15,0.420301777,0.899995924,0.3083326,0.499997196,-9310.276451
16,0.525105656,0.90004207,0.300008451,0.50004572,-9303.748929
17,0.160949736,0.899968822,0.299995051,0.499978555,-9319.970785
18,0.399389119,0.900156341,0.300079654,0.499855396,-9309.443702
19,0.391117121,0.899224046,0.337601087,0.499947408,-9296.896988
20,0.496210683,0.899844045,0.362912838,0.50163175,-9312.948569
21,0.476208742,0.900000866,0.351482524,0.499987487,-9292.629716
22,0.368357276,0.899422011,0.306201002,0.499757361,-9297.017271
23,0.41217238,0.899995361,0.331249421,0.502057369,-9289.544699
24,0.399629499,0.900004243,0.300108654,0.500270659,-9308.04164
25,0.384092139,0.90000051,0.328140958,0.499992638,-9290.776448
26,0.435407099,0.899992803,0.299998858,0.512708682,-9295.086655
27,0.409069912,0.899996637,0.323915821,0.514105831,-9288.581847
28,0.3073765,0.899963449,0.299993808,0.499975162,-9313.427532
29,0.40930473,0.899913016,0.335243573,0.499508241,-9291.299269
30,0.318852243,0.848859605,0.299073107,0.476496168,-9291.573963
31,0.352016921,0.899957272,0.362516952,0.49997061,-9306.303475
32,0.434921548,0.899990292,0.299998459,0.499993323,-9294.242427
33,0.400539768,0.899992443,0.300095645,0.500783128,-9307.72833
34,0.401026969,0.899998928,0.303565289,0.505749666,-9303.566341
35,0.392813864,0.892907887,0.31221846,0.491623235,-9285.091848
36,0.399916862,0.899999351,0.301113538,0.503563154,-9305.18133
37,0.405626893,0.898261719,0.299035517,0.500472131,-9296.864509
38,0.390939124,0.899995231,0.325568264,0.49999672,-9295.416932
39,0.330409789,0.900000815,0.299997284,0.506399154,-9313.897198
40,0.367253654,0.867850185,0.309135855,0.487925876,-9283.852435
41,0.452422749,0.891082898,0.311144627,0.483681005,-9295.33839
42,0.401536635,0.899999494,0.300872594,0.501668082,-9308.900366
