forc.use,Wei,GG,Burr,GB2,EGIG,TSCD,r
1.00100757,1.389830838,1.040945868,0.788960837,0.815860547,0.855140717,0.838741679,1.003065586
0.796374049,1.267262058,1.05330092,0.786195193,0.829992045,0.828592996,0.809763475,1.003031118
1.120583435,1.62595763,1.178096002,0.800449407,1.189655466,1.156807503,1.160216804,1.002455997
1.271842765,1.721094267,1.30318635,1.160235294,1.02811921,1.019967269,1.053993926,1.003184364
0.66432464,1.755093837,1.277952162,0.974911137,1.043773001,1.10396935,1.069810672,1.003031118
0.854757332,1.690482253,1.374363176,1.113127013,1.248080656,1.181088972,1.205244476,1.002516576
1.102888141,1.86674617,1.370689388,1.141600214,1.154956985,1.195277467,1.199594657,1.003031118
0.637081451,1.902753198,1.598295707,1.415718396,1.139895406,1.108432773,1.161366182,1.003184364
0.80666227,1.870281642,1.581596763,1.398355945,1.213584842,1.159096695,1.163501004,1.003031118
1.234851865,1.563857771,1.592810204,1.402254737,1.293761999,1.2803705,1.245286067,1.003031118
0.780211841,1.843264689,1.534563598,1.771218246,1.351577907,1.276212128,1.315755975,1.002455997
0.889895389,2.037996888,2.045495844,1.489341156,1.247602327,1.219332541,1.219113053,1.003031118
1.378610006,1.935744357,1.707834891,1.225358077,1.19374738,1.226468003,1.222654799,1.002455997
0.809170834,2.06368826,1.682815261,1.174800585,1.445371899,1.424160363,1.373191996,1.003031118
0.892523076,1.940199926,1.72757201,1.31872896,1.433596717,1.390112392,1.481561754,1.003031118
1.425704804,2.1064985,1.591583523,1.301325392,1.364716158,1.397551755,1.33481923,1.002271268
0.808887353,1.880403905,1.707435565,1.520314118,1.400818079,1.398662722,1.399290439,1.002455997
0.878376149,2.167935635,1.679606702,1.390071183,1.33536884,1.31940395,1.334598172,1.002455997
1.44323353,2.07495672,1.700625787,1.513294976,1.455745558,1.565402189,1.534757356,1.002455997
1.22105684,2.413966655,1.782290103,1.594695054,1.288124559,1.337957445,1.309074189,1.002455997
1.38159447,2.524096769,1.826930187,2.002064165,1.629732151,1.580376321,1.622401503,1.002223119
0.518114364,2.160730839,1.913390038,1.35807197,1.668617022,1.653474187,1.670640274,1.001908911
0.627797715,2.316850726,1.755952958,1.725228068,1.359548468,1.352506901,1.388720955,1.002201282
0.710721903,2.030787748,1.751486087,1.315436469,1.270253309,1.305270242,1.335187022,1.002223119
0.776621781,2.247607811,2.044966429,1.548829344,1.452988374,1.521485298,1.467870227,1.001908911
2.065590036,2.151769375,1.922633971,1.652275618,1.347428004,1.303045823,1.3693539,1.001908911
0.618336517,2.183066179,1.914073981,1.594334418,1.754814358,1.671477788,1.750348445,1.002223119
1.455974196,2.049387745,1.962760213,1.582149247,1.402539989,1.461391284,1.464821827,1.002223119
0.583993499,2.48932825,1.893980081,2.061605835,1.476282365,1.458445981,1.501324062,1.002201282
0.661533048,1.773273078,1.894831236,1.5222912,1.39291005,1.362441493,1.383019036,1.002223119
1.906165457,2.168698546,1.901096653,1.290975038,1.547078484,1.637107101,1.583419139,1.002201282
0.571174699,2.138043634,2.121326973,1.643726087,1.533524807,1.456343295,1.45485594,1.002201282
1.417720657,2.140244443,1.984335417,1.428194441,1.645472829,1.666506599,1.660119503,1.000798434
0.925201038,2.013172304,1.920023546,1.436221746,1.457847198,1.448670868,1.488980747,1.001402466
0.910573318,2.07611465,1.911155985,1.684253286,1.439923519,1.496122759,1.513474662,1.000798434
0.536979958,1.974736264,1.788997614,1.774526541,1.477381066,1.461461489,1.476893,1.000782721
0.605714087,2.090477997,1.873545615,2.231316628,1.380064536,1.431229619,1.390828826,1.001402466
1.567563337,1.981543611,1.847142501,1.3675402,1.372857411,1.42230943,1.380750056,1.000798434
1.362854136,2.038192281,1.779442213,1.764842895,1.358358189,1.363008054,1.328510432,1.001402466
0.531833411,2.039681023,1.876631529,1.456985336,1.452326267,1.49843717,1.449853635,1.002201282
0.597746437,2.204614727,1.709926081,1.719213907,1.455101758,1.40562409,1.417152673,1.001908911
1.574485414,1.953483952,1.931793885,1.436200452,1.488994423,1.471376715,1.544224738,1.001908911
1.02486085,1.867028226,2.051829651,1.51814777,1.439637724,1.496441743,1.50390523,1.001908911
1.813851718,2.295458152,1.927718091,1.335548073,1.368730692,1.334242948,1.362995431,1.002223119
0.813897055,2.211462703,1.820673283,1.526574134,1.424635307,1.468006037,1.411569208,1.002201282
0.829584273,1.931942391,2.011908956,1.472531979,1.428351653,1.413027806,1.427577338,1.001908911
0.487401351,2.108746575,1.92560793,1.373655092,1.48360185,1.435721876,1.475228355,1.001402466
0.550437879,2.090372947,1.920488771,1.345290425,1.383615863,1.436073814,1.450862043,1.001402466
0.605834445,2.06388391,1.821127817,1.482005941,1.438872405,1.399410081,1.362491406,1.001908911
2.584019307,2.204980936,1.9307485,1.62022651,1.3112172,1.318171397,1.263442891,1.001908911
0.538070751,2.161230016,1.846682401,1.781097094,1.425636953,1.422935959,1.481099294,1.001908911
0.597357292,2.181968077,2.026299495,1.861030587,1.4817006,1.496859841,1.494667183,1.001402466
1.165073309,2.136526581,1.893873366,1.484273851,1.595903006,1.560905143,1.539082938,1.001451702
1.591801556,2.247641414,1.865246209,1.434480797,1.512186207,1.474363616,1.428566957,1.001402466
1.456718385,2.066213847,1.85386625,1.976445152,1.504252825,1.483590308,1.493419375,1.001908911
2.314442917,2.016058276,1.93157934,1.497684206,1.590997065,1.67431094,1.672418502,1.001908911
0.435096707,2.081799242,1.939950416,2.356353523,1.712672894,1.734005099,1.700575374,1.001908911
2.024163955,2.18266067,2.00874812,1.501928282,1.493436063,1.479176186,1.507168964,1.001908911
0.412953616,2.250499287,2.022033801,1.394240553,1.451983132,1.448237064,1.389137139,1.001908911
1.456895429,2.34283434,1.966495174,1.458508073,1.567586074,1.584365468,1.515215534,1.001908911
0.431615365,2.09112493,1.966706036,1.850135959,1.570556797,1.518702325,1.544044395,1.002201282
0.87701435,2.273775716,1.865966108,1.502275467,1.505153745,1.45135071,1.490236738,1.002201282
0.888767146,2.231478505,1.867362559,2.004122427,1.450152671,1.457708639,1.487556441,1.001908911
1.595360261,1.729512251,1.933092212,1.714123502,1.578283042,1.557119331,1.62986759,1.001402466
