Index,ObsDur,fphi,fTaR_0.5,fTaR_0.25,fTaR_0.1,fTaR_0.05,fTaR_0.025,fTaR_0.01
1,1.795216513,1.095794034,0.770384839,1.435636122,2.386545215,3.168505095,4.005508187,5.196032658
2,0.454893783,1.274433591,0.896751584,1.669885933,2.774277656,3.68204213,4.653411226,6.034649228
3,1.279082024,1.168740627,0.821664659,1.531201815,2.545419844,3.379445153,4.272182428,5.541986951
4,0.899204401,1.30030719,0.913904196,1.703509715,2.832410662,3.760872402,4.754785692,6.168624898
5,1.04607848,1.183923455,0.836230544,1.55156747,2.570967569,3.407667834,4.302209742,5.573212813
6,1.13301431,1.290860013,0.91576526,1.69327486,2.79707004,3.700522987,4.664546018,6.031604184
7,0.971366133,1.2721607,0.888923457,1.665088978,2.77977053,3.699397629,4.685936075,6.092170192
8,0.962812862,1.329992656,0.939834877,1.743614126,2.888181304,3.826979668,4.830145407,6.254678057
9,0.949412891,1.345207718,0.947030231,1.762540183,2.927209984,3.884438887,4.908710669,6.365167954
10,1.103921055,1.328197795,0.937136399,1.741058737,2.887004468,3.827545487,4.832988464,6.261298728
11,0.69082739,1.549796281,1.029038222,2.009850438,3.472346621,4.710541253,6.062265107,8.021992608
12,0.974635515,1.328096693,0.933767945,1.739997894,2.892363445,3.839954915,4.854226186,6.296860501
13,0.628489521,1.355141511,0.939770113,1.771518233,2.972903339,3.968002677,5.038376261,6.568093662
14,1.042963197,1.432808609,1.003322696,1.875481172,3.126447436,4.157764078,5.263652036,6.839442654
15,0.841563097,1.36338393,0.961799771,1.786616986,2.962981065,3.928997773,4.962118865,6.430438534
16,0.438413338,1.383749122,0.977648042,1.81418413,3.005428421,3.982489491,5.026504188,6.508971505
17,0.384813313,1.432879853,1.007988229,1.877409601,3.119599047,4.140777485,5.233618118,6.787738081
18,0.965910013,1.475378506,1.037270462,1.932947613,3.213206185,4.265988132,5.392868709,6.995693969
19,0.463533844,1.487705867,1.045772197,1.949072983,3.240365076,4.302291355,5.439008291,7.055887892
20,0.578447238,1.481545934,1.032505233,1.938403692,3.241943464,4.31881091,5.475058357,7.12461079
21,1.6235115,1.44163008,1.015142959,1.889167481,3.136976566,4.162227966,5.259029861,6.818233075
22,1.219539539,1.422584835,1.010953658,1.866228958,3.079062982,4.071076109,5.129141706,6.628975962
23,0.403326588,1.561990476,1.064366492,2.035107495,3.456298538,4.644656493,5.931219204,7.781598895
24,0.795654214,1.45839541,1.026294085,1.910492789,3.1738731,4.212646506,5.324508969,6.906012433
25,0.675150712,1.453872696,1.025410854,1.905650758,3.160793952,4.191203586,5.292898752,6.858199574
26,0.347038445,1.53126022,1.139430325,2.023779987,3.228358498,4.185478356,5.186008722,6.576384564
27,0.452835471,1.419854012,0.999072786,1.860426269,3.090841181,4.102195477,5.184415896,6.723283758
28,0.544705929,1.436301326,1.012798236,1.882229547,3.122471783,4.141033454,5.230387462,6.778653092
29,1.910932567,1.439248146,1.01200349,1.885511723,3.134083126,4.160848628,5.259931314,6.823307519
30,1.650754926,1.480773492,1.042019869,1.940198823,3.22320799,4.277808376,5.406327136,7.011070378
31,1.839578773,1.46845812,1.033216423,1.923981893,3.196569973,4.242712536,5.362265033,6.954381066
32,1.668435627,1.507754321,1.059997238,1.975356396,3.283779426,4.359738871,5.511440501,7.149586716
33,0.316218424,1.522278835,1.070172312,1.994377242,3.315476831,4.401878399,5.56476979,7.218849018
34,0.714930406,1.547387331,1.0679417,2.021224468,3.403120182,4.550574652,5.786895636,7.556642554
35,1.302618434,1.748442913,1.223554426,2.294897491,3.826232673,5.083759082,6.427692369,8.335473294
36,0.42201399,1.449005891,1.020404655,1.898850014,3.152908144,4.18325918,5.285491688,6.852380953
37,1.810562075,1.46611689,1.030763448,1.920814626,3.193027631,4.239191384,5.358986422,6.951731449
38,0.451832866,1.567116417,1.101754064,2.05313386,3.413024119,4.531295217,5.728278864,7.430821811
39,0.939800824,1.530328641,1.028509205,1.989779339,3.410311387,4.605432843,5.904522587,7.780016302
40,0.97129429,1.480782941,1.028514107,1.93649075,3.246215374,4.329975143,5.494898414,7.158572714
41,2.129776649,1.491703144,1.018189821,1.945034062,3.299401975,4.430124863,5.652854468,7.40927385
42,2.119098031,1.555731542,1.043416004,2.021839473,3.470041291,4.68983911,6.016807019,7.934054159
43,1.754077928,1.642488203,1.154529061,2.151825295,3.577546885,4.750064247,6.005192454,7.790547612
44,1.63606393,1.515886791,1.06575982,1.986021983,3.30141224,4.383078208,5.540871787,7.187660818
45,0.325970702,1.612660233,1.133843205,2.112815863,3.512086698,4.662708982,5.894298384,7.64603304
46,0.713406783,1.529690217,1.066491848,2.001641934,3.346747655,4.457618583,5.650115351,7.351003723
47,0.430725955,1.483333482,1.041712221,1.943034388,3.23246175,4.293410983,5.429489567,7.046028105
48,0.49658493,1.488408341,1.024807262,1.943352394,3.277295474,4.386325478,5.582269869,7.295649142
49,2.96110643,1.406605881,0.997240669,1.845016672,3.049088802,4.034890903,5.086969285,6.579139628
50,1.238427219,1.566891175,1.101775047,2.05288829,3.412228679,4.529952051,5.726280408,7.427796278
51,0.86264751,1.532265408,1.077217005,2.00745839,3.337172596,4.430653037,5.601119219,7.265970701
52,1.614317605,1.589705348,1.096592295,2.076056749,3.496695089,4.676853273,5.948841732,7.77028699
53,1.516686795,1.500900129,1.055419538,1.966440416,3.268437798,4.338986972,5.484806696,7.114462071
54,1.125922112,1.495302985,1.051293284,1.959054198,3.256572234,4.32354014,5.465600389,7.090010212
55,0.43607593,1.501074567,1.027260667,1.958375365,3.316162716,4.448054199,5.670781716,7.425401762
56,0.901321741,1.53003902,1.080056163,2.005732021,3.324796977,4.407194595,5.564122282,7.207414173
57,1.325348886,1.470707855,1.034001126,1.926748392,3.202883363,4.252335403,5.375708249,6.973634995
58,2.029856205,1.565254448,1.031052024,2.027055794,3.520149056,4.788721835,6.176834364,8.193766903
59,0.844462981,1.542156935,1.084518359,2.020518135,3.358132136,4.457920007,5.635000571,7.309070726
60,2.581517902,1.512153493,1.063103852,1.981123029,3.293335902,4.372405038,5.527430441,7.170297755
61,0.427283358,1.559063651,1.096038421,2.04257138,3.395582151,4.508222747,5.699198432,7.393221444
62,0.883006385,1.542920223,1.057293808,2.01298133,3.405672557,4.566270895,5.819797505,7.618396385
63,2.378660599,1.513455774,1.064497747,1.982958224,3.295354339,4.374321798,5.529056576,7.171260673
64,0.450886702,1.65640809,1.165007642,2.170183823,3.606581573,4.787566197,6.051542653,7.84919779
65,2.773342021,1.556673958,1.094336296,2.039435561,3.390416789,4.501399301,5.690607873,7.382127821
66,0.825060297,1.678425392,1.18152695,2.199389815,3.652874599,4.847296388,6.125201653,7.942032115
67,0.464111066,1.558416457,1.100467417,2.04303475,3.385812959,4.487467387,5.664832152,7.336952225
68,0.94905955,1.484311882,1.043542888,1.94464973,3.232676694,4.291850761,5.425576193,7.03814111
69,5.436833254,1.600217369,1.084198732,2.090154708,3.561903806,4.789580667,6.115339864,8.016152303
70,1.124127321,1.79196118,1.26558217,2.34918358,3.892760774,5.159111436,6.512469331,8.434520059
71,0.786280099,1.783276993,1.253596221,2.336304247,3.884028545,5.156823457,6.519252246,8.457178563
72,2.948210658,1.572552573,1.105523833,2.060243673,3.424955252,4.54721708,5.748490845,7.457161032
73,0.987177412,1.690068724,1.195877912,2.216254236,3.667611943,4.857075,6.127368619,7.930214942
74,2.251840696,1.674196728,1.176691982,2.193361587,3.646869793,4.842281585,6.12194366,7.942228778
75,3.098387837,1.63475356,1.154686659,2.143167617,3.551084398,4.706035674,5.940259584,7.692998112
76,1.262516931,1.762575113,1.24558899,2.310925671,3.827714274,5.071634082,6.400683774,8.287740091
77,0.24272054,1.659267542,1.165652829,2.173539375,3.615109361,4.801085957,6.07094138,7.877698271
78,0.301026483,1.692167184,1.153753957,2.206147432,3.745064725,5.0304369,6.420793156,8.418524422
79,1.173827646,1.611708887,1.132930883,2.11150718,3.510436131,4.660902964,5.892416006,7.644165268
80,0.896276536,1.606804721,1.129673726,2.105134736,3.49943117,4.645986954,5.87324027,7.618829608
81,0.638009477,1.569100759,1.103837735,2.055861768,3.416082001,4.534308194,5.731024569,7.432894981
82,0.363921991,1.493520081,1.050018803,1.956714162,3.252727404,4.318467761,5.459220951,7.081780912
83,0.405768472,1.407337078,0.989406281,1.843797834,3.065068335,4.069356709,5.144340093,6.673361994
84,0.444762633,1.411121244,0.99337435,1.849109252,3.071075592,4.075245539,5.149604525,6.677054261
85,0.908594594,1.415987074,1.001726708,1.856855771,3.073303297,4.070299887,5.135076817,6.646275522
86,0.926335286,1.294412757,0.910738855,1.696045498,2.817891269,3.740039696,4.726827562,6.130027345
87,1.792725142,1.390129817,0.930353086,1.805776109,3.103612911,4.198002953,5.389475359,7.112274404
88,0.48202165,1.477890347,1.005994802,1.932964943,3.283607072,4.4067952,5.617048653,7.348405391
89,0.513916835,1.381302909,0.971816465,1.809781389,3.006997642,3.991211399,5.044510252,6.542433816
90,2.457999907,1.375760808,0.922983269,1.793616762,3.076572281,4.152062933,5.317356332,6.993501413
91,1.454651412,1.403422983,0.986460367,1.838625838,3.056888286,4.058798641,5.131304218,6.656893384
92,1,1.590629093,1.063612991,2.071830067,3.561650451,4.813124208,6.171075815,8.12720046
93,0.448670156,1.529818721,1.036239732,1.991904418,3.396298463,4.573369089,5.849586328,7.687548844
94,0.938534783,1.638356684,1.087070908,2.131172709,3.682160529,4.989570239,6.411481132,8.464214766
95,1.311963612,1.522825239,1.070841707,1.995166808,3.316174287,4.402352269,5.564898325,7.218341165
96,0.518913941,1.548060913,1.063427456,2.026726416,3.422055163,4.578113595,5.820876053,7.594926304
97,2.664223024,1.613290512,1.123204223,2.115748048,3.540038824,4.712844531,5.968544077,7.754257668
98,1.301193494,1.536265271,1.079958249,2.012690673,3.346021594,4.442504504,5.616203258,7.28567671
99,0.485211582,1.47521923,1.037279407,1.932763075,3.212639807,4.265050896,5.391494821,6.993645772
100,0.986457007,1.658924382,1.158897731,2.178409456,3.636085573,4.832894863,6.111539786,7.92585413
101,1.001093115,1.466888064,1.031384351,1.921845972,3.19457221,4.241116662,5.361289445,6.954530912
102,2.372344515,1.604764517,1.111241422,2.103594443,3.532609859,4.711881609,5.976235439,7.776506702
103,3.117297861,1.790143825,1.216399336,2.339200158,3.978672715,5.344501125,6.818214599,8.929491262
104,0.480429623,1.89291298,1.42586743,2.502475469,3.955258246,5.102515203,6.297026344,7.9507386
105,1.42840756,1.8831298,1.313656993,2.472293104,4.130658584,5.493237407,6.949701549,9.017308307
106,5.308412331,1.629569392,1.149002927,2.135829647,3.543286114,4.698931408,5.934670124,7.690623374
107,1.317707897,1.941397745,1.27290601,2.511600165,4.374698698,5.961301705,7.700150839,10.23058805
108,0.898358017,1.790778253,1.259620988,2.346304016,3.899035689,5.17557696,6.541752877,8.48465232
109,4.90083924,1.944322213,1.300355996,2.534527867,4.356121659,5.88443962,7.541113812,9.924880748
110,0.839818593,2.123124685,1.47389257,2.783580487,4.666604753,6.219056112,7.882539295,10.24987553
111,0.455400723,1.983850072,1.334693698,2.580270239,4.419276715,5.965409541,7.645218099,10.06914393
112,1.765833541,1.728557048,1.215272575,2.264647007,3.764593093,4.998026488,6.318272051,8.196129293
113,3.982545387,1.781827491,1.254423807,2.3345042,3.877114622,5.145055553,6.501880871,8.431337893
114,1.185421849,2.239019349,1.584471022,2.943620742,4.869781564,6.442266844,8.116161384,10.48326403
115,0.813439228,2.082706681,1.416207081,2.722503228,4.628275038,6.214813132,7.925734537,10.37543743
116,2.619343996,1.780926335,1.200640749,2.315942043,3.961408786,5.344560801,6.847325254,9.016051086
117,1.772101929,2.017314229,1.381501822,2.6394004,4.465890988,5.981787131,7.613311615,9.945041005
118,0.392690845,2.007067096,1.4224328,2.640390312,4.363402406,5.767998779,7.261550993,9.371239018
119,0.807724482,1.943423702,1.32972551,2.541968878,4.303666417,5.766755792,7.342205881,9.594905652
120,0.43839491,1.780442436,1.18812907,2.31897106,3.991615884,5.3973263,6.922980967,9.121014626
121,0.47098035,1.692917096,1.142265136,2.20895458,3.774846245,5.084275598,6.500765639,8.535161144
122,5.796685554,1.473651003,1.020083496,1.926109884,3.236349264,4.322429936,5.491223206,7.162326607
123,1.9438842,1.794218086,1.261627331,2.350719771,3.907262155,5.187137901,6.557024642,8.505393761
124,1.497075296,2.04463939,1.366212563,2.664858083,4.582829247,6.192697107,7.938268685,10.45063701
125,1.76564521,2.07936889,1.442717682,2.727369237,4.573841726,6.095422497,7.725084934,10.04305369
126,0.391141943,1.825398582,1.275951066,2.389307105,3.987837683,5.306425866,6.720797811,8.736664889
127,0.42672592,1.728137872,1.215317339,2.264183465,3.763090872,4.995495892,6.314516063,8.190459985
128,1.645581243,1.630562771,1.146329113,2.136248871,3.551256324,4.714867805,5.960394884,7.732000126
129,0.444646732,1.716077084,1.170912966,2.244644639,3.807156759,5.105666162,6.50432826,8.504653164
130,2.874850017,1.617295883,1.112526658,2.111551579,3.563128054,4.7703146,6.07232894,7.937936019
131,0.443828345,1.622165466,1.140369538,2.125229958,3.533060018,4.690800666,5.93006657,7.69279797
132,4.685155509,1.64565218,1.147934445,2.161291831,3.611029042,4.801567166,6.073570878,7.878421637
133,0.426369431,2.100156407,1.465225482,2.75657707,4.605386991,6.124923107,7.749608151,10.05674308
134,2.012112006,1.865834671,1.294698142,2.447210593,4.103739407,5.468825244,6.930914802,9.010605695
135,3.556449462,1.923147269,1.332700187,2.521074764,4.231577304,5.642747612,7.155472951,9.30906407
136,0.392315501,1.959617027,1.348086695,2.558476449,4.317122941,5.779668507,7.357098133,9.617339562
137,1.854935154,1.872557517,1.268065575,2.446417132,4.170287416,5.607969543,7.160164789,9.385020717
138,0.763523121,1.774173517,1.252107895,2.325672877,3.855759749,5.111483602,6.453794783,8.36057571
139,0.78316944,1.842226918,1.298868992,2.422354383,4.017511477,5.320961404,6.709084925,8.672668015
140,1.164373974,1.612276655,1.133599697,2.112332557,3.511224864,4.661512119,5.89272397,7.643893697
141,0.418268321,1.688424171,1.183547847,2.216856278,3.691774388,4.901765987,6.194006606,8.027159167
142,1.240958359,1.536317329,1.080711226,2.012941743,3.344894594,4.439874813,5.611700509,7.278147751
143,1.228274437,1.437439035,1.010965306,1.88328865,3.129869832,4.154806698,5.251781074,6.811937975
144,5.048400373,1.543231919,1.069677836,2.017679036,3.387075147,4.521256043,5.74110477,7.48419659
145,1.401476432,2.181766081,1.53950289,2.870277182,4.757528961,6.298090448,7.937445371,10.25449538
146,1.975945741,2.078561418,1.352972747,2.693757785,4.711798047,6.428004676,8.305526377,11.03131218
147,3.206129572,1.684317046,1.147451504,2.195152607,3.728554962,5.010233491,6.397332993,8.391487544
148,0.882620283,2.035636966,1.409863813,2.660853796,4.469248587,5.967862832,7.580323314,9.885379653
149,2.63153731,2.029449533,1.396386977,2.658340699,4.483440266,5.993769392,7.615968356,9.929627974
150,2.554353631,2.24446458,1.622475675,2.959189524,4.822012368,6.325259539,7.912973414,10.14124335
151,0.716447914,1.82889086,1.288670165,2.396870679,3.978225909,5.277094536,6.666293546,8.640732517
152,1.162453477,1.754234938,1.21256251,2.291300303,3.853922866,5.151010447,6.54834804,8.548414038
153,0.928072431,1.759930499,1.237210267,2.305717817,3.833124568,5.08920285,6.433732896,8.34619429
154,2.09795383,1.874084896,1.285957108,2.452488591,4.144168415,5.547068339,7.056228418,9.212100211
155,1.390541477,1.735796197,1.221311278,2.274364139,3.778701462,5.015264002,6.338515299,8.22017904
156,0.22811964,1.828166723,1.284648379,2.402735702,3.994261765,5.296998652,6.685974026,8.652960105
157,0.484773582,1.72013937,1.167586021,2.247184142,3.824907993,5.140090847,6.55975516,8.594444393
