window,miu,be,sig,a,q,LogL
1,0.978281517,0.931688366,0.250786368,1.391657739,1.896406015,-10089.69909
2,0.262010222,0.901552598,0.222070621,1.527587558,2.098655704,-10013.32772
3,-0.011856145,0.97194025,0.210894446,1.416881778,1.853837648,-10081.91346
4,0.068052476,0.911555212,0.280939931,1.410518285,2.06544254,-10070.8028
5,0.02465961,0.931798381,0.229941494,1.424440676,1.895386144,-10070.75747
6,-0.026446036,0.966025008,0.204800531,1.42593705,1.922988707,-10060.27013
7,0.01846754,0.948662925,0.217104067,1.396452326,1.892303082,-10069.72454
8,-0.002285019,0.900000575,0.199998723,1.399991061,1.899987868,-10163.0089
9,0.061140903,0.864865451,0.354410545,1.522514623,1.882522139,-10088.58609
10,0.044571107,0.908905809,0.277741397,1.396210178,1.894761397,-10100.32349
11,0.051481443,0.931508479,0.25697642,1.393997685,1.949094332,-10075.1523
12,0.384828137,0.846453239,0.313477619,1.413322715,1.854241209,-10026.77319
13,0.87283727,0.920178192,0.227381244,1.389776542,2.218371071,-10047.90216
14,0.194310813,0.899869581,0.314587539,1.516833113,1.899268441,-10048.90711
15,-0.054403895,0.907020811,0.254721152,1.400984813,1.922981817,-10127.64318
16,0.108046847,0.884796924,0.298493439,1.393532821,1.909432648,-10096.15974
17,0.009070184,0.906740041,0.27173605,1.622445287,1.962607584,-10090.82339
18,-0.080623206,0.933197104,0.28900618,1.419050675,1.974049826,-10112.80629
19,0.024874199,0.923226011,0.22099684,1.397837205,1.888050604,-10088.45506
20,0.492714303,0.950901647,0.121770127,1.41814667,1.780248749,-10010.59648
21,-0.078913992,0.903547031,0.291860605,1.505019739,1.884268308,-10108.15936
22,-0.061959119,0.897001241,0.27343666,1.421715868,1.901961527,-10138.3309
23,0.283365155,0.918322324,0.203240887,1.607336045,1.88317778,-10035.79314
24,-0.055747724,0.901318635,0.262751126,1.475326717,1.921942701,-10108.20711
25,0.044656579,0.966674185,0.216163611,1.413738815,1.895292869,-10073.81311
26,0.05368259,0.945695707,0.206970172,1.468610907,2.10453194,-10039.0986
27,0.078956408,0.906164383,0.2505698,1.445167035,1.996606031,-10058.45234
28,0.193068174,0.899670082,0.407977869,1.503182366,1.899723394,-10137.58312
29,-0.00481116,0.921414273,0.293025653,1.398940963,1.877221733,-10119.33394
30,0.038989809,0.902807538,0.287526839,1.398857333,1.913657983,-10105.47635
31,-0.071993731,0.899938451,0.237853684,1.399954408,1.899938125,-10168.52815
32,-0.009917284,0.903614277,0.286719627,1.504364545,1.931644535,-10082.7932
33,0.5022193,0.900236956,0.256316122,1.399786372,2.762452665,-9986.179261
34,-0.01701708,0.900390515,0.301201344,1.444143645,1.903913578,-10106.07393
35,-0.039907447,0.900035943,0.297152872,1.416077209,1.899947049,-10129.62824
36,0.02982329,0.957299476,0.220184047,1.456641143,1.931050971,-10052.18667
37,0.224362697,0.900004929,0.296023892,1.399926921,1.938412051,-10060.02959
38,-0.037241065,0.893064201,0.323319567,1.503344154,1.778970027,-10118.22868
39,0.044675187,0.932000743,0.211627909,1.428296251,1.942324015,-10058.3979
40,-0.036843837,0.899968679,0.211007157,1.418704725,1.899968513,-10163.98065
41,0.003855788,0.9166967,0.294802954,1.499760142,1.892535069,-10086.75691
42,-0.001618056,0.900003616,0.199991964,1.399943746,1.899923656,-10163.39542
43,0.190722507,0.825115162,0.411202305,1.478460797,1.932985286,-10082.63985
44,0.344987702,0.910354744,0.206182296,1.426128348,1.889274631,-9996.375088
45,0.215512338,0.886350856,0.310276318,1.490433256,2.06882449,-10024.93918
46,-0.156130245,0.903239959,0.346477446,1.57816835,2.030151928,-10142.33952
47,0.10393652,0.881273317,0.271759017,1.478471258,1.97131897,-10056.226
48,0.416660266,0.894157897,0.421871908,1.588791037,2.733425765,-10131.15333
49,0.475638962,0.898074417,0.202566062,1.446017417,1.907855,-9984.372895
50,0.223990459,0.953685567,0.207391179,1.665992598,1.900428455,-10095.60544
51,0.42378625,0.903556912,0.271733707,1.403888567,1.897427558,-10020.06421
52,0.500933933,0.929131927,0.175358767,1.456397128,1.928887251,-9987.693151
53,0.05696629,0.900003055,0.319706284,1.51496776,1.899935511,-10080.33646
54,0.679506285,0.934747722,0.137321854,1.449665774,1.89522278,-10024.35799
55,-0.022347974,0.900002081,0.290625479,1.426671021,1.899956063,-10112.92325
56,0.492291302,0.900071624,0.200138846,1.537373646,1.899872848,-10000.15253
57,0.430463653,0.899347024,0.196605347,1.497725286,1.924673037,-9986.997855
58,-0.011864383,0.962214387,0.195602749,1.417194017,1.913245869,-10058.16196
59,-0.02639398,0.900164736,0.199625077,1.496845799,1.970758235,-10140.30633
60,2.70E-05,0.901033274,0.199754016,1.40048187,1.900131504,-10157.20751
61,-0.0741963,0.969291513,0.215412323,1.48636585,2.113092008,-10062.54389
62,0.399291444,0.906546706,0.220386257,1.4100811,1.959299897,-9988.397245
63,0.077269246,0.90377593,0.26611493,1.408541796,1.914891662,-10079.45624
64,0.04354612,0.900469556,0.306833784,1.528496791,1.984160488,-10068.10953
65,0.022200288,0.921456066,0.228936026,1.409219496,1.892281041,-10082.60753
66,0.090628596,0.910428148,0.277717996,1.53396911,1.899652976,-10051.19241
67,0.208276862,0.954556058,0.159008251,1.302796985,2.616945387,-10011.70569
68,0.031469985,0.897434148,0.299291986,1.454613849,1.901855599,-10082.79258
69,0.291042262,0.86653933,0.439667465,1.510595318,2.069566563,-10106.57814
70,0.036105572,0.903462926,0.308129218,1.412844515,1.896528089,-10105.61608
71,0.260320209,0.777349256,0.420280979,1.709549542,2.066906774,-10069.12128
72,0.026126909,0.899962275,0.300910139,1.399972056,1.899962076,-10113.99168
73,-0.057557958,0.896626102,0.278555348,1.424455892,1.914577362,-10130.66892
74,-0.046499465,0.937921965,0.284656675,1.394229813,1.893782176,-10124.36907
75,0.098776114,0.92618626,0.215141109,1.651622886,1.950255795,-10091.62166
76,0.575951225,0.90005276,0.199882756,1.399179289,2.717483637,-9991.312719
77,-0.027886462,0.900004558,0.319861219,1.467682901,2.083836925,-10094.96036
78,-0.033381513,0.900007395,0.317706288,1.429723624,1.899843883,-10121.80099
79,0.738980756,0.875374932,0.313390221,1.262356682,6.735002851,-10061.15636
80,0.045682556,0.94881789,0.226375554,1.385473685,1.917486569,-10073.02392
81,-0.057977827,0.947659147,0.246368026,1.381725593,1.995835276,-10093.00929
82,0.0449206,0.899949903,0.396928865,1.466555587,1.927040069,-10145.33288
83,-0.00849639,0.950754096,0.220926319,1.456609888,1.875178885,-10058.52482
84,0.002768019,0.902091717,0.282512584,1.512798593,1.88460681,-10105.43628
85,-0.040295126,0.921588447,0.228657597,1.411498334,1.895489896,-10132.44144
