window,miu,be,sig,lam,del,w,LogL,
1,0.339634106,0.919905206,0.283751534,0.415395403,0.869764571,0.871704815,-10100.55192,
2,0.448269936,0.926315427,0.179342512,0.378537914,0.860678042,0.79906234,-10074.28895,
3,0.335501478,0.897850136,0.190860951,0.486241267,0.862240123,0.823509852,-10057.72776,
4,0.458445661,0.909328679,0.232142246,0.802038012,0.857897974,0.737309672,-10009.63519,
5,0.35655179,0.892704579,0.192503118,0.431651806,0.850060634,0.801595073,-10071.74458,
6,0.525075104,0.927137092,0.170409669,0.272765811,0.855152574,0.720042612,-10111.41942,
7,0.458438527,0.920007486,0.199978611,0.599267194,0.867415067,0.983870817,-10084.01429,
8,0.457146746,0.867042146,0.216042206,0.527220924,0.901977347,0.716018209,-10043.9781,
9,0.399565181,0.920124033,0.201063802,0.300357293,0.780034447,0.69799672,-10268.4912,
10,0.373182339,0.844395933,0.271669195,0.25810552,0.859583704,0.926937466,-10089.08644,
11,0.106867574,0.977122681,0.115442597,1.122759494,0.610773829,1.146849365,-10051.5557,
12,0.423259286,0.921808349,0.146692831,0.287206603,0.917985537,0.767721207,-10128.12951,
13,0.966466197,0.92002318,0.199938482,0.22559528,0.779747053,1.250111554,-10241.79224,
14,0.313435032,0.920308114,0.288447643,0.367453486,0.850734454,0.872951217,-10115.72096,
15,0.535948964,0.904070729,0.244247219,0.378353006,0.904142336,0.79134353,-10080.215,
16,0.308599806,0.938855826,0.199389254,0.230800899,0.849060806,0.768082674,-10138.92361,
17,0.497993752,0.856899655,0.290507017,0.405440164,0.85220019,0.864543067,-10069.13433,
18,0.422979648,0.919823146,0.231729013,0.376296183,0.850821083,0.74239747,-10096.26447,
19,0.484701108,0.933202045,0.173458502,0.43444257,0.847406603,0.789656188,-10065.57135,
20,0.560917189,0.920514329,0.200872699,0.562484868,0.908399065,0.808067041,-10074.09252,
21,0.463080347,0.911573934,0.246966984,0.270633463,0.942815282,0.697474102,-10111.90315,
22,0.631819809,0.933014571,0.154891007,0.500689193,0.831863267,0.837229696,-10060.96523,
23,0.319153602,0.891006351,0.201112444,0.340029406,0.904511576,0.750661933,-10093.37057,
24,0.2991943,0.938035836,0.156753484,0.344361212,0.828039183,0.698209549,-10154.89951,
25,0.364443934,0.919964166,0.303260148,0.269678472,0.858328645,0.864641837,-10148.5097,
26,0.64082744,0.801722143,0.452939464,0.331505327,0.909747271,0.755740124,-10177.82503,
27,0.447838895,0.881739987,0.169872059,0.320684531,0.909291724,0.676115281,-10105.91407,
28,0.436409687,0.925107876,0.194927364,0.289302017,0.898691215,0.800153092,-10093.45589,
29,0.793845197,0.918709114,0.200601382,0.10144393,0.930960364,0.835059769,-10253.02269,
30,0.344238617,0.928055341,0.212380892,0.27618163,0.878936791,0.711334355,-10120.25386,
31,0.412205642,0.920188291,0.285749976,0.266067278,0.818796223,0.772401326,-10198.37309,
32,0.388828828,0.865755861,0.272496297,0.521293533,0.911342782,0.700530531,-10053.02306,
33,0.56935667,0.919671691,0.201171472,0.311112428,0.867696637,0.698332304,-10104.5572,
34,0.505641533,0.91958286,0.34938234,0.369586045,0.912781428,0.700248143,-10175.49157,
35,0.377484683,0.920848717,0.265243501,0.271613651,0.899073708,0.705543265,-10129.48557,
36,0.502177838,0.917749866,0.241675824,0.244935699,0.880586812,0.779678681,-10110.60093,
37,0.417342416,0.931470913,0.218778104,0.307850291,0.866826959,0.720994422,-10114.89746,
38,0.504761828,0.9406648,0.130170841,0.410396147,0.877218768,0.794843594,-10090.89275,
39,0.436411929,0.920352245,0.221980985,0.418434495,0.863379266,0.708425589,-10082.42033,
40,0.64127061,0.91981758,0.200013911,0.523170843,0.887118665,0.842381924,-10086.08084,
41,0.417697781,0.896375971,0.221509584,0.228812319,0.831837591,0.730999692,-10164.41174,
42,0.16345779,0.918753388,0.200031939,0.535256744,0.984327514,0.700798808,-10130.28573,
43,0.330228307,0.923726044,0.197141949,0.352186831,0.856595596,0.810113647,-10080.52526,
44,0.388684844,0.921449122,0.19519038,0.664258951,0.99236909,0.793241913,-10206.46567,
45,0.260481442,0.919782669,0.199977243,0.631466527,0.994967403,0.823811152,-10254.68141,
46,0.414162332,0.854722333,0.213431204,0.228905952,0.824621448,0.865666029,-10113.40872,
47,0.245054077,0.783248458,0.415707785,0.28108686,0.924568591,0.891296837,-10130.85537,
48,0.70097335,0.920886152,0.200653979,0.029146278,0.784771173,0.9831093,-10152.88685,
49,0.421573516,0.916762641,0.262243429,0.401993617,0.922602197,0.757480815,-10089.83771,
50,0.364882947,0.923608659,0.181430127,0.345752028,0.926834532,0.672347112,-10079.72946,
51,0.09126329,0.9180178,0.200817755,0.421994211,0.814839533,1.082366346,-10129.94206,
52,0.440717288,0.916127008,0.24439041,0.357072469,0.858298313,0.845932481,-10083.64953,
53,0.436765373,0.919957936,0.236862239,0.348196293,0.845441209,0.709402208,-10131.0998,
54,0.437637903,0.862935234,0.224443871,0.351295263,0.877212838,0.691932339,-10092.79505,
55,0.380529839,0.916525284,0.213520759,0.448609396,0.837184397,0.864717259,-10054.59673,
56,0.291496525,0.911452962,0.205391876,0.323214957,0.889013485,0.700201327,-10104.76485,
57,0.760293345,0.89729314,0.299615435,0.640809667,0.686199415,1.557869617,-10092.67558,
58,0.34835719,0.936005481,0.154596102,0.294709916,0.845115381,0.778979435,-10114.36144,
59,0.323304778,0.920005959,0.31872939,0.362612016,0.955426043,0.724326578,-10145.85553,
60,0.466057494,0.861691518,0.208302694,0.450084838,0.872559724,0.814162581,-10065.9372,
61,0.325818754,0.924047958,0.230848708,0.408518655,0.835245273,0.83654947,-10082.99108,
62,0.34532972,0.919849219,0.199984211,0.658747118,0.856750009,0.721466071,-10027.80846,
63,0.407366132,0.919957509,0.244737808,0.305982376,0.824886001,0.730413312,-10167.73974,
64,0.342777244,0.920001437,0.244047124,0.313846728,0.840230469,0.7229727,-10154.25633,
65,0.526258725,0.919431782,0.190526035,0.492222951,0.874241847,0.73476377,-10049.35426,
66,0.481717953,0.844272757,0.269836433,0.371890709,0.92400008,0.707700454,-10075.6383,
67,0.272149825,0.920010902,0.261133584,0.513468022,1.002977766,0.699890982,-10138.01993,
68,0.290803185,0.903638192,0.220039579,0.281748673,0.834322058,0.902006996,-10095.1014,
69,0.306741664,0.922960646,0.203105775,0.359969292,0.830086085,0.914433796,-10080.26513,
70,0.242596836,0.920509988,0.244678568,0.176130321,0.935084043,0.756587256,-10144.23041,
71,0.227790763,0.929568051,0.231634164,0.054286852,0.864107692,0.778313269,-10179.79217,
72,0.423276844,0.925326519,0.200573835,-0.085212543,0.834607115,0.939080022,-10162.32907,
73,0.426478275,0.918779336,0.30544183,0.31795918,0.873047714,0.764451315,-10146.33104,
74,0.578058275,0.897581224,0.323408315,0.565865895,0.958247459,0.84802407,-10164.99995,
75,0.433828635,0.895571712,0.233790559,0.256389359,0.894303247,0.76402229,-10090.83293,
76,0.281151686,0.814661519,0.365439376,0.350825634,0.951052612,0.587988222,-10144.10273,
77,0.39036553,0.96787061,0.096874295,0.369569926,0.85209366,0.730348436,-10123.86576,
78,0.420758791,0.888528537,0.182272796,0.434921522,0.833349039,0.822723417,-10068.12483,
79,0.320268791,0.913081079,0.187052115,0.283057031,0.885623944,0.758964243,-10103.07832,
80,0.570671853,0.912876683,0.187336868,0.339715998,0.813708022,0.704720711,-10154.97809,
81,0.512762384,0.907006892,0.195843186,0.625863296,0.711028653,1.156654549,-10029.05496,
82,0.446908095,0.827819223,0.325221142,0.313532307,0.934535658,0.786984804,-10096.44913,
83,0.416383688,0.897033564,0.195644366,0.358170593,0.871166363,0.789402023,-10070.62493,
84,0.125024433,0.918161879,0.211325503,0.199487938,1.018925356,0.710040714,-10246.69715,
85,0.358166561,0.921070926,0.286574672,0.292118089,0.929097722,0.848695837,-10167.75765,
86,0.235278533,0.863289901,0.280450199,0.012569846,0.9228292,0.79729109,-10178.04669,
87,0.099657394,0.934979387,0.202892674,0.474427431,0.862914855,0.787877806,-10112.33949,
88,0.532991783,0.820408018,0.433751663,0.745121818,0.831638916,0.867606263,-10115.27726,
89,0.523388204,0.919391515,0.199621614,0.168825266,0.93385853,0.699426762,-10128.7268,
90,0.401388945,0.914445966,0.236222676,0.351158797,0.882666866,0.791964766,-10090.99247,
91,-0.15058603,0.953564556,0.207875679,0.611527676,0.792536781,1.22221703,-10174.41404,
92,0.376164069,0.920288402,0.216475804,0.441369959,0.921521159,0.698714053,-10078.87551,
93,0.402744408,0.903215422,0.211051218,0.496953559,0.888673897,0.869872504,-10077.76354,
94,0.630538002,0.905086419,0.181754444,0.522460387,0.832127439,0.692995079,-10095.12238,
95,0.371163702,0.91903887,0.18728122,0.421290134,0.835265304,0.893232742,-10069.05347,
96,0.46413132,0.920477848,0.202072448,0.374194156,0.851197348,0.782344168,-10089.5394,
97,0.377118569,0.941124444,0.220041492,0.647918578,0.88691383,0.676073219,-10063.48051,
98,0.612014813,0.898699988,0.320055095,0.337203542,0.845421239,0.69696393,-10217.09437,
99,0.498463182,0.942346138,0.214454217,0.398236537,0.905540945,0.682856813,-10107.60397,
100,0.330407669,0.919594857,0.199957577,0.004973178,0.912581214,0.699851518,-10184.43195,
101,0.403245901,0.919950025,0.223263972,0.213607571,0.800678042,0.995393461,-10114.91743,
102,0.400353349,0.926519934,0.196139095,0.297782182,0.821344609,0.802019791,-10126.91934,
103,0.486700359,0.917202465,0.26233072,0.229069616,0.915766761,0.704349542,-10134.99001,
104,0.340152623,0.920150441,0.200280772,0.399007791,0.852954594,0.916468449,-10080.11578,
105,0.308817167,0.918960822,0.32123622,0.593940995,0.793310637,0.881529371,-10150.21459,
106,0.387017493,0.921728341,0.320732927,0.373160453,0.893529948,0.70009683,-10179.57106,
107,0.390614061,0.929642337,0.205885302,0.260038118,0.865308915,0.801638008,-10115.30087,
108,0.335673344,0.905795952,0.190748312,0.392020861,0.857578399,0.876021931,-10083.9124,
109,0.388310935,0.921247555,0.230146654,0.309825287,0.836508688,0.730488905,-10160.90784,
110,0.350661311,0.926430081,0.222886853,0.334349787,0.866067479,0.800987285,-10104.08228,
111,0.515726567,0.92160073,0.174413874,0.260751524,0.864738141,0.891142627,-10115.57323,
112,0.408073373,0.927693589,0.210081559,0.336873774,0.871456388,0.86085782,-10102.97394,
113,0.5385424,0.902303219,0.203039378,0.315616099,0.885458348,0.728780496,-10096.63617,
114,0.347883028,0.874219797,0.337644282,0.164460954,0.880646763,0.857397538,-10153.34732,
115,0.534529539,0.928381435,0.201666881,0.329253235,0.900809893,0.690191759,-10103.75695,
116,0.406450804,0.921602627,0.282638964,0.403147909,0.880653196,0.771220482,-10123.44857,
117,0.500079512,0.907997455,0.305434825,0.39660188,0.930691718,0.700933967,-10126.22663,
118,0.261160999,0.944394319,0.190427838,0.527111867,0.944724732,0.884785866,-10220.92802,
119,0.65754139,0.92192951,0.198365671,0.029123667,0.977466283,0.711917018,-10222.01224,
120,0.295466228,0.9200028,0.199992,0.279428442,0.886500781,0.769957093,-10113.20611,
121,0.471399925,0.922844872,0.210309671,0.465975763,0.863984472,0.792515527,-10070.60013,
122,0.549981361,0.894213363,0.207790297,0.622439638,0.911661425,0.705630183,-10053.45256,
123,0.660515563,0.913833305,0.207089967,0.280770118,0.869915857,0.909097983,-10132.83486,
124,0.387511213,0.90748967,0.235634857,0.425651189,0.913782181,0.767559836,-10079.92899,
125,0.271708872,0.93416907,0.181183306,0.285174656,0.873270746,0.928600776,-10138.07919,
126,0.473284633,0.921797766,0.200731369,0.392120427,0.870073214,0.730479426,-10089.3259,
127,0.243573424,0.791726534,0.382723754,0.68669207,1.118071699,0.287240722,-10121.12817,
128,0.456437323,0.920025884,0.19998371,0.483254687,0.893104831,0.729573122,-10059.52985,
129,0.788404755,0.919933119,0.199966638,0.593752065,0.891317618,0.699877288,-10094.04215,
130,0.530228574,0.916854872,0.192499352,0.415959611,0.887499222,0.808194401,-10086.38224,
131,0.230621656,0.876667631,0.290903207,0.330456023,0.867693548,0.897307312,-10116.50442,
132,0.214738605,0.858444342,0.22896659,0.969240325,0.811513683,0.777060668,-10055.32276,
133,0.55774595,0.84913344,0.226125126,0.337458467,0.885673543,0.747643715,-10102.87935,
134,0.693207744,0.916667994,0.197950788,0.31744166,0.817511674,0.796274313,-10136.30938,
135,0.490632905,0.912759073,0.173979507,0.227596313,0.816986309,0.961456173,-10106.79086,
136,0.114774091,0.919651851,0.202068479,0.621194952,0.876354451,0.827638111,-10101.03197,
137,0.691933819,0.919838803,0.199937373,0.286596794,0.881888831,0.750706085,-10122.76619,
138,0.333853838,0.880144967,0.249365981,0.248780553,0.896494315,0.777798671,-10113.55912,
139,0.329983367,0.94569141,0.215538618,0.347352994,0.86309879,0.845720608,-10122.37478,
140,0.453599504,0.921843853,0.20139384,0.424623027,0.933732623,0.700341998,-10082.49389,
141,0.527535815,0.91985481,0.200283579,0.37984589,0.91617055,0.700076071,-10084.52909,
142,0.437172475,0.912904813,0.291354309,0.284217885,0.863225627,0.769554554,-10156.49981,
143,0.464884617,0.870756573,0.289050513,0.346595599,0.955580019,0.658880222,-10099.40033,
144,0.445911584,0.950471271,0.240907179,0.29722786,0.899902747,0.776827966,-10149.63468,
145,0.320789136,0.829657657,0.295584492,0.45000594,0.914569347,0.817352624,-10085.94968,
146,0.460465201,0.912676076,0.20346756,0.227218016,0.898552436,0.758358907,-10106.32015,
147,0.36014484,0.91871994,0.217449873,0.360645508,0.86769705,0.760528028,-10099.98156,
148,0.339212949,0.912549308,0.234222748,0.520433816,0.944560943,0.736404087,-10086.6873,
149,0.48479925,0.91689087,0.202787063,0.42898452,0.8580206,0.92531959,-10077.87807,
150,0.506666774,0.920917429,0.167076956,0.203655478,0.886324076,0.707086683,-10128.23274,
151,0.511193872,0.894957581,0.191367086,0.585664567,0.776434516,1.118539814,-10053.27963,
152,0.439200912,0.920375737,0.194672496,0.38263104,0.867840481,0.75079322,-10089.32873,
153,-0.04489903,0.963502667,0.183804347,1.349554744,0.778260861,0.631983386,-10067.78355,
154,0.518027899,0.964118644,0.227471668,0.809409661,0.740776929,1.373769526,-10127.14574,
155,0.339744717,0.916999347,0.201024597,0.244053811,0.871880108,0.792415065,-10109.5173,
156,0.303503212,0.874707002,0.246832673,0.270299487,0.913492389,0.731126292,-10115.41737,
157,0.234384805,0.934625678,0.199166529,0.574990427,0.928578748,0.690856405,-10082.31088,
158,0.376829433,0.925512039,0.144436151,0.310430127,0.913630664,0.704762486,-10116.84886,
159,0.43025516,0.928426285,0.213754246,0.111988966,0.881305577,0.808021062,-10141.45945,
160,0.366460895,0.929329904,0.215882779,0.318425474,0.827864245,0.885657597,-10104.69876,
161,0.536828265,0.942613761,0.381271861,0.366472231,0.885333989,0.864950558,-10261.46966,
162,0.39045187,0.891162007,0.298482255,0.359962098,0.946052279,0.723547465,-10108.87029,
163,0.45988988,0.912920961,0.222398646,0.429280939,0.921166801,0.73831551,-10077.60509,
164,0.393140377,0.906359366,0.170795066,0.392253773,0.897698138,0.845215894,-10110.42362,
165,0.457200346,0.925806277,0.248560034,0.287678648,0.852615938,0.725168953,-10153.02641,
166,0.307153926,0.911164519,0.209185288,0.378063623,0.936319699,0.697536226,-10091.35271,
167,1.507331538,0.974894972,0.267853567,0.725849708,0.715831682,1.04501727,-10220.12341,
168,0.412293136,0.883587324,0.229436366,0.595284825,0.96957166,0.596065219,-10039.38216,
169,0.465745169,0.872687445,0.205256121,0.548749231,0.855633073,0.762609851,-10057.60306,
170,0.511085792,0.919933331,0.197618113,0.360002049,0.82877858,0.913545241,-10077.36084,
171,0.278522002,0.923029652,0.192785382,0.40826554,0.905811922,0.692366522,-10095.39998,
172,0.423912014,0.927880945,0.216751316,0.482362557,0.839339327,0.797040856,-10072.17963,
173,0.399410541,0.919995439,0.200282619,0.299539749,0.780009981,0.699996384,-10279.78629,
174,0.488028598,0.911993379,0.208379201,0.339862104,0.851283287,0.829532619,-10083.47966,
175,0.377319629,0.911399188,0.214856279,0.412712233,0.882770115,0.814599176,-10080.1205,
176,0.408029686,0.924848442,0.237424547,0.343761334,0.838951224,0.767975172,-10132.57197,
177,0.353731521,0.920078873,0.199938402,0.417415038,0.830746866,1.034728947,-10087.53122,
178,0.504525809,0.920627852,0.278274956,0.247916072,0.935415037,0.699299579,-10145.46332,
179,0.377849834,0.963958527,0.225039671,0.388495243,0.843003305,0.859633799,-10143.66844,
180,0.585130211,0.918870108,0.201323972,0.383862839,0.873904094,0.728222674,-10085.52009,
181,0.544608656,0.912258276,0.233588719,0.45034796,0.892350352,0.73919935,-10075.90606,
182,0.26015956,0.889372338,0.241421932,0.502753923,0.907553204,0.735490198,-10074.32828,
183,0.472100965,0.919855111,0.221063121,0.32090796,0.826461979,0.759576877,-10140.69071,
184,0.430883274,0.956863916,0.161672861,0.399235518,0.802063446,0.824594449,-10117.30585,
185,0.456548754,0.889071199,0.171423254,0.411907237,0.859659659,0.752477683,-10086.38068,
186,0.392877133,0.891071853,0.180317229,0.391487455,0.863497471,0.751551561,-10094.16365,
187,0.480248189,0.922050725,0.203063606,0.335538771,0.853332374,0.808344762,-10091.12612,
188,0.459834302,0.880412665,0.230893952,0.323637102,0.942174118,0.742680905,-10094.28904,
189,0.422124762,0.924492308,0.212430466,0.242106588,0.864602503,0.731638771,-10123.45594,
190,0.369390464,0.92000673,0.232179436,0.112715903,0.895161706,0.769904808,-10142.47049,
191,0.369055974,0.904991392,0.248033604,0.492063209,0.891294582,0.712773649,-10060.49414,
192,0.505102409,0.920004922,0.199985937,0.452467889,0.897320576,0.737693444,-10070.13384,
193,0.409966367,0.91386737,0.199352733,0.322841182,0.813819611,0.704906353,-10182.77222,
194,0.302330984,0.875602727,0.208137944,0.246751613,0.833143392,0.876984273,-10128.6185,
195,0.532060048,0.919472743,0.20554558,-0.201771167,0.844409168,0.914600867,-10190.0866,
196,0.288552012,0.886256616,0.298468279,0.260953486,0.885930967,0.884215002,-10115.26146,
197,0.448133933,0.930203557,0.204090647,0.388768606,0.85907472,0.783789848,-10081.96513,
198,0.323058624,0.942305499,0.157903152,0.294061887,0.834687293,0.733793524,-10144.58527,
199,0.363100703,0.918672986,0.212121568,0.363165014,0.860457324,0.770407933,-10091.3757,
200,0.475971534,0.882827965,0.182594598,0.284582741,0.826918685,0.842351034,-10105.52718,
201,0.449272127,0.894427428,0.245385935,0.110169702,0.836240153,0.821552934,-10148.32521,
202,0.433406905,0.920925655,0.191938288,0.275686434,0.810259055,0.728511421,-10183.07654,
203,0.719606223,0.919428454,0.19994014,1.247550642,0.779766616,0.699790535,-10025.15144,
204,0.397562169,0.917783799,0.19665762,0.331458246,0.838453051,0.739236435,-10123.78901,
205,0.396403234,0.892016619,0.233622208,0.333076929,0.850479075,0.896690964,-10080.80356,
206,0.44439826,0.927967479,0.195347958,0.249980151,0.822255595,0.739266682,-10167.41329,
207,0.556468143,0.939125263,0.169548232,0.570540743,0.870114723,0.700886248,-10055.20856,
208,0.528377116,0.918503592,0.204301028,0.387377355,0.813839163,0.915913142,-10077.85424,
209,0.584934947,0.89875436,0.27400306,0.306765609,0.833786374,0.918694257,-10106.01236,
210,0.279282994,0.920005569,0.199988251,0.263463048,0.848682433,0.773168154,-10134.81684,
211,0.397530322,0.889170946,0.249907802,0.289534493,0.902305657,0.750376087,-10091.18616,
212,0.095090276,0.919813832,0.199980506,0.483817311,1.035304689,0.699931771,-10255.6697,
213,-0.062695442,0.915583777,0.249569693,0.296467366,0.862158729,0.906883744,-10192.84268,
214,0.410863257,0.843788933,0.192740688,0.295245495,0.841369751,0.873389209,-10121.64363,
215,0.317901674,0.85730095,0.228983886,0.365477382,0.981920642,0.643301847,-10103.36869,
216,0.316979242,0.903288129,0.254784276,0.429660239,0.821813279,1.058320442,-10081.44775,
217,0.263865042,0.851421393,0.354748316,0.676636724,0.919382493,0.899708692,-10103.83024,
218,0.419135622,0.910702188,0.236734038,0.317569572,0.859599866,0.693496561,-10135.68055,
219,0.362166335,0.921750759,0.186811513,0.338082161,0.858163095,0.783894073,-10090.15114,
