window,miu1,miu2,be1,be2,sig1,sig2,lam1,lam2,del1,del2,w1,w2,LogL
1,0.38845295,1.144166695,0.929553168,0.969532339,0.218234286,0.06006016,0.328142102,0.556464951,1.065498146,1.299833126,0.300223698,0.159198648,-10215.19182
2,0.293603592,1.225514679,0.935325828,0.976910238,0.23045891,0.111926082,0.440168673,0.532487644,1.058021612,1.318473976,0.417225548,0.133765169,-10142.12245
3,0.208144207,1.196787554,0.926931579,0.971357741,0.179722396,0.120721528,0.272690699,0.484294041,1.06374571,1.300684429,0.298643031,0.105353348,-10249.82938
4,0.074447639,1.324330801,0.927975207,0.967197323,0.151807126,0.060192229,0.165565283,0.53469644,1.159167948,1.322356611,0.299017771,0.186816627,-10250.20898
5,0.350849429,1.118922453,0.914759778,0.967645789,0.159239645,0.073824618,0.255840611,0.572715589,1.069097764,1.301308457,0.317876774,0.144771899,-10185.32723
6,0.291551311,1.423119102,0.930056383,0.969957012,0.196691957,0.231347235,0.552111617,0.399111514,1.17883721,1.415437754,0.313559198,0.181632458,-10186.49135
7,0.355790548,1.214652515,0.933295643,0.960737084,0.21829847,0.132679425,0.403026516,0.515074959,1.054492383,1.307691367,0.302458635,0.1004474,-10237.28026
8,0.258174113,1.201336566,0.929958646,0.969957784,0.149996766,0.059998704,0.440086569,0.434460745,1.122750053,1.360456735,0.299993539,0.099997844,-10197.04075
9,0.367156346,1.101585558,0.924155766,0.970693532,0.242784074,0.184097852,0.35582894,0.728235233,1.048539653,1.438352516,0.301044613,0.102753767,-10203.45968
10,0.305514403,1.177201635,0.931835927,0.963647345,0.198963552,0.139976005,0.328859787,0.514081566,1.132934255,1.322214128,0.333287408,0.098974323,-10173.26852
11,0.187334613,1.184035198,0.930003002,0.969995801,0.149991416,0.312917888,0.117398338,0.647508724,1.123354004,1.299942716,0.29998511,0.145441627,-10245.03667
12,0.191977818,1.318289149,0.929968969,0.969968322,0.149997576,0.067375658,0.305913723,0.4689199,1.103215227,1.332443212,0.299995151,0.099998384,-10228.31686
13,0.139763154,1.225581556,0.933575829,0.967552239,0.205196053,0.058038851,0.432187316,0.711837407,1.139375536,1.376535818,0.302692204,0.132982729,-10158.48432
14,0.241133141,1.186907561,0.929299054,0.965932053,0.148866263,0.09440826,0.36332714,0.483946529,1.062767249,1.277414164,0.319308087,0.16739943,-10175.27854
