window,miu,be,sig,a,p,q,LogL
1,0.56551543,0.966726534,0.096711011,0.620042664,2.989412449,22.99693355,-9998.367466
2,0.618487272,0.969842471,0.110081418,0.651346221,3.035245252,22.99815145,-10007.12045
3,0.582510694,0.97291722,0.101371053,0.62855615,3.034058776,23.05915015,-10002.33817
4,0.648599755,0.957359139,0.10658612,0.599801379,3.04933469,23.01799457,-10007.66551
5,0.58711444,0.95554927,0.112615328,0.601388355,3.085454601,23.16543304,-9996.06343
6,0.618115763,0.966482617,0.118392711,0.646111918,3.013387719,23.01248496,-9997.18545
7,0.626996112,0.969881613,0.09999396,0.720643317,3.041786492,23.13574153,-10155.18005
8,0.649052776,0.974363756,0.095344496,0.623270293,3.079204005,23.01513453,-10007.73509
9,0.556149121,0.975994544,0.11830538,0.612218441,3.062741245,22.99967041,-9996.730567
10,0.639495147,0.96886024,0.096228382,0.598018916,3.007867011,23.02274745,-10010.49412
11,0.509607148,0.956019662,0.141751921,0.620628743,3.325423629,22.97037273,-9977.012414
12,0.495481652,0.970028153,0.194867157,0.598473185,3.00211589,22.99663516,-10036.38082
13,0.816253577,0.94221611,0.154381964,0.660055122,3.003699577,23.00025347,-10035.89144
14,0.602731099,0.962580608,0.113715009,0.596791598,3.000905366,23.03524352,-9997.096863
15,0.648120958,0.970001713,0.24939093,0.699254723,2.999743098,23.03375615,-10085.04265
16,0.576256878,0.960352715,0.2869951,0.70462142,3.139743107,22.87035192,-10112.31432
17,0.584962984,0.972988664,0.108616515,0.604472151,3.025899687,23.01276913,-9998.323728
18,0.584977537,0.968553194,0.137946456,0.640187926,3.018173743,23.03460442,-9989.324974
19,0.577173489,0.962562238,0.101219381,0.608329529,2.994776238,23.03327126,-9998.27544
20,0.578945557,0.951169047,0.134176029,0.624255084,3.121479027,22.99016245,-9978.492038
21,0.650194785,0.971006017,0.099888494,0.627422764,3.012449723,22.99759363,-10005.67108
22,0.622176111,0.953745771,0.101331867,0.593598731,3.187962371,23.00006739,-10005.68761
23,0.349430195,0.963911212,0.113511981,0.626422173,3.043703281,22.89369926,-9983.409219
24,0.562327667,0.956912981,0.110979825,0.621867129,2.970511412,23.17352508,-9985.162997
25,0.565222855,0.967724261,0.125778626,0.64190601,3.161060987,23.01886845,-10000.24378
26,0.655214088,0.957860123,0.148423184,0.61883048,3.099072095,23.01644215,-9983.605661
27,0.593043489,0.970216192,0.099354274,0.641364107,3.026606072,23.00475408,-10008.08931
28,0.590135765,0.948195529,0.098320934,0.561377713,3.031266083,23.00501917,-10048.58441
29,0.561531315,0.969936072,0.099996738,0.613820512,3.029229806,23.00831594,-9994.047709
30,0.635211812,0.9575878,0.120905635,0.619837634,3.001491277,23.00753837,-9985.612793
31,0.642848246,0.969123962,0.100369173,0.612317346,3.02292989,22.99673499,-10002.71898
32,0.564063135,0.97263855,0.087282085,0.610877518,2.995977839,22.98793285,-10008.70272
33,0.519334955,0.963259509,0.10208816,0.607971212,2.966131882,23.04708339,-9995.40782
34,0.545856804,0.965199182,0.100424975,0.597069157,3.049161976,23.00931465,-10000.61345
35,0.581823019,0.922425269,0.163362113,0.593085752,3.115731096,23.0755698,-9980.678556
36,0.601081387,0.974198696,0.18904207,0.634638828,3.113182278,22.99802128,-10012.71768
37,0.621348159,0.95000089,0.127833357,0.609336943,2.998081046,23.02032072,-9982.015211
38,0.335359271,0.969820152,0.100014564,0.725896155,2.99969507,22.99777971,-10140.85545
39,0.556295635,0.970014923,0.110960203,0.615449636,2.999890678,22.99945692,-9989.830422
40,0.550356986,0.921563713,0.15804071,0.618926886,3.072026945,22.97059834,-9968.261453
41,0.574157531,0.969947653,0.099997329,0.601748102,2.999919878,23.05217245,-9997.639206
42,0.68665365,0.968872501,0.109565001,0.599247594,2.998070796,22.99088121,-10002.81262
43,0.595622034,0.96984554,0.099700334,0.601164937,3.040955122,23.02372021,-9998.430393
44,0.729807555,0.96992895,0.313819423,0.6900832,3.036704985,23.09560141,-10143.83327
45,0.773609839,0.968358735,0.118909392,0.607664805,2.998943502,23.00798852,-10006.59389
46,0.558672075,0.943068101,0.20631482,0.641990259,3.026078899,22.91821539,-9972.788585
47,0.649643107,0.980674518,0.127441498,0.714442034,3.047824903,22.99533976,-10115.26699
48,0.620709914,0.953856873,0.128324951,0.629743938,2.997010969,23.01863439,-9982.828078
49,0.579625367,0.970533669,0.100821965,0.631489981,3.004558189,23.06018019,-9994.360103
50,0.527362701,0.967479371,0.101923142,0.598639757,3.054281349,23.0542686,-9992.967134
51,0.632541793,0.969859024,0.099992807,0.632595081,3.117863478,23.21998361,-10011.78465
52,0.487813092,0.969983432,0.173639646,0.658678499,3.049504895,23.04400207,-10011.15864
53,0.615607038,0.97086291,0.10039819,0.606373418,2.997765064,23.00550121,-9998.542129
54,0.57413694,0.938548069,0.142319219,0.61146177,2.897525822,23.21245126,-9975.887343
55,0.517194517,0.956827691,0.100479625,0.584217022,3.013985509,23.00320677,-10008.25895
56,0.695236782,0.97881843,0.102869941,0.636882407,2.987582909,22.9559672,-10007.79393
57,0.50447028,0.967750603,0.098020208,0.576644698,3.000977091,22.99916714,-10019.09236
58,0.494507382,0.906109757,0.19273326,0.626944742,2.99283719,23.02516162,-9960.615049
59,0.539849311,0.914100075,0.156491471,0.576714032,3.131400623,23.14946273,-9994.058272
60,0.673082652,0.945589124,0.166503545,0.61995516,3.08406587,23.02833963,-9977.236393
61,0.640992469,0.969192331,0.105813364,0.603208566,2.943233369,22.93737089,-10007.81918
62,0.665977315,0.968738136,0.101008517,0.627811756,3.026387502,23.01577649,-9999.881578
63,0.579390909,0.92553407,0.179208509,0.642610443,3.069419189,23.0291428,-9970.095285
64,0.706487041,0.969973194,0.099970522,0.713612239,3.131724367,23.02962391,-10178.33121
