window,miu,be,sig,a,p,LogL
1,0.393266891,0.95994493,0.191844937,0.499985879,4.499872915,-9997.03225
2,0.452959106,0.962731993,0.14817867,0.500564605,4.500184776,-9991.688447
3,0.407440718,0.960001815,0.166011361,0.499966071,4.500187223,-7271.60404
4,0.420804178,0.960044745,0.167773695,0.499818195,4.499325889,-9983.764187
5,0.35410005,0.959979592,0.14999843,0.499994767,4.562764649,-9995.308093
6,0.445392293,0.948176553,0.140313155,0.505823048,4.509016003,-9989.370478
7,0.409490709,0.94465448,0.148078363,0.495409691,4.508402638,-9976.136537
8,0.434456121,0.958520577,0.164164082,0.502846215,4.51316914,-9989.628868
9,0.33110653,0.959901458,0.150748772,0.499877602,4.520382537,-9986.789601
10,0.409799721,0.959467287,0.154069089,0.502656911,4.496212891,-9986.531737
11,0.547868164,0.940412674,0.14489387,0.463233051,4.532212779,-9972.86863
12,0.401416692,0.959759974,0.150568,0.500016398,4.500215452,-9987.197462
13,0.569247434,0.967221454,0.145190603,0.490060301,4.515685493,-9999.380736
14,0.384152804,0.953200649,0.149608719,0.494630447,4.552249604,-9979.200992
15,0.370416424,0.96000771,0.150009148,0.499994682,4.545900344,-9991.111833
16,0.395199355,0.959997925,0.154019449,0.503401276,4.499995211,-9992.056557
17,0.397836562,0.959708569,0.150777614,0.500303685,4.501897667,-9991.500997
18,0.390990083,0.959986038,0.171047255,0.49999642,4.499967779,-9992.713366
19,0.38435669,0.960858322,0.178077822,0.499976719,4.498244413,-9989.468374
20,0.388442444,0.956251751,0.182168941,0.493860657,4.504357373,-9980.90495
21,0.398781951,0.959300875,0.168627811,0.501085282,4.499881661,-9986.639567
22,0.352621064,0.935535777,0.184470958,0.505765095,4.533885395,-9975.856883
23,0.388420505,0.898003645,0.19636968,0.476053865,4.577187877,-9960.967848
24,0.378014303,0.951824476,0.176854107,0.498524747,4.541436405,-9984.627806
25,0.396958059,0.960109585,0.15371675,0.502193597,4.49996589,-9991.098271
