window,miu,be,sig,a,LogL
1,0.418913673,0.845476518,0.261034562,1.273299265,-10066.25183
2,0.43679594,0.901740709,0.295613638,1.311986067,-10082.02527
3,0.394714981,0.899708613,0.31030726,1.300257319,-8629.918715
4,0.347278365,0.900150519,0.301253535,1.299035415,-8624.693137
5,0.431811702,0.899982729,0.299997259,1.29998812,-8618.11359
6,0.391441697,0.900099766,0.300495492,1.300319037,-8622.11271
7,0.406296317,0.900000551,0.314361361,1.299992041,-8627.943463
8,0.363411357,0.848794878,0.331145185,1.210449202,-8579.585835
9,0.393942616,0.900035083,0.299984956,1.301268702,-10087.09189
10,0.418573173,0.854105944,0.294494648,1.190656564,-8573.004052
11,0.292234292,0.782951914,0.358061563,1.2132562,-10033.65063
12,0.39431595,0.899998735,0.300919614,1.29999913,-10086.92173
13,0.3087295,0.906690667,0.282862813,1.286832071,-10070.54796
14,0.400768431,0.899998708,0.304503796,1.299999111,-10089.05012
15,0.399258244,0.899774866,0.301618223,1.302341961,-10077.08783
16,0.425745886,0.829891512,0.303236998,1.197790197,-8576.769552
17,0.430438595,0.899982518,0.299997225,1.299987976,-8624.273291
18,0.414825877,0.90029119,0.299860114,1.306568873,-10082.61482
19,0.389879174,0.900028801,0.302664067,1.304901424,-10088.46367
20,0.388103207,0.899982715,0.31598946,1.299988111,-8625.127131
21,0.436798468,0.90035866,0.300219389,1.300054103,-8623.836593
22,0.315555413,0.823200324,0.387327789,1.335425434,-8615.161027
23,0.400979205,0.90013891,0.302381511,1.299935696,-8624.48673
24,0.44790115,0.903905933,0.318244295,1.2962029,-10077.85712
25,0.400175816,0.900213652,0.300877749,1.300913011,-10092.32539
26,0.400497057,0.894168698,0.29905017,1.298412608,-8621.315857
27,0.370805051,0.899971593,0.299995491,1.299980461,-8621.209789
28,0.40504433,0.899983133,0.299982396,1.301951701,-10080.89349
29,0.39360979,0.887631866,0.307061879,1.300019709,-10071.33201
30,0.401045127,0.899532866,0.301052183,1.306713714,-8626.225559
31,0.403407567,0.900741353,0.302366518,1.305292579,-10078.03138
32,0.414813418,0.900003185,0.315653385,1.299954435,-8626.828558
33,0.385356007,0.884285261,0.287970507,1.284695109,-8602.927637
34,0.392334442,0.899986989,0.312617203,1.299991051,-8617.573714
35,0.390436529,0.899995639,0.299985756,1.310312281,-8630.206059
36,0.403526488,0.900354164,0.305504745,1.30261018,-10080.13571
37,0.331297941,0.90231182,0.298401067,1.309658228,-10100.63455
38,0.392489984,0.89999635,0.299999421,1.302214546,-8629.474768
39,0.529873413,0.929544762,0.157682288,1.109748516,-10057.11924
40,0.502464038,0.900000814,0.323986426,1.299988236,-10093.50828
41,0.399606351,0.899933526,0.305013495,1.299874461,-8623.894808
42,0.475191048,0.900001818,0.299993939,1.299973734,-10076.66208
43,0.406189784,0.89998615,0.300001458,1.303552575,-8620.542787
44,0.399362303,0.900015281,0.301086863,1.300267389,-8625.527554
45,0.405284746,0.900001674,0.29999442,1.299975821,-8623.315313
46,0.402853472,0.899995341,0.300085061,1.302040208,-8623.930665
47,0.428830145,0.901337081,0.300680291,1.299687187,-8620.174225
48,0.407827489,0.900146245,0.303985513,1.300079063,-8625.267869
49,0.405433524,0.897928698,0.308128497,1.297013158,-10073.73765
50,0.448911214,0.899747001,0.299959841,1.299825979,-8619.177302
51,0.405067525,0.897740393,0.298497742,1.297673001,-10070.51964
52,0.36527759,0.79970414,0.343141455,1.279340039,-8588.769691
53,0.398835014,0.899997464,0.31566856,1.308976512,-10076.69047
54,0.504687649,0.884616099,0.312984479,1.317107629,-8622.081229
55,0.50140011,0.845048249,0.297722234,1.188908573,-10026.5266
56,0.399961884,0.900009318,0.29967691,1.299919944,-8620.787665
57,0.397039363,0.901172836,0.300099499,1.307021853,-8623.076003
58,0.471226473,0.899956819,0.299993146,1.299970299,-8623.774866
59,0.397845058,0.899552585,0.299956497,1.300938611,-8615.634117
60,0.393483158,0.899999245,0.312524838,1.299996868,-10077.48878
61,0.380975351,0.899996606,0.308258185,1.301077395,-10082.36598
62,0.628062111,0.880918312,0.274557726,1.256846227,-8612.230468
63,0.297190617,0.841012135,0.318226127,1.315996363,-8613.063851
64,0.399896362,0.899923329,0.299908206,1.29993528,-10076.84406
65,0.547876871,0.900412231,0.29157071,1.308859485,-10084.85581
66,0.399573544,0.899826976,0.299931528,1.300403594,-8615.898358
67,0.400782234,0.899732222,0.299855806,1.299959201,-8618.064692
68,0.442793368,0.899930871,0.301334559,1.30168816,-8620.388593
69,0.504264703,0.899794255,0.297780582,1.290264767,-8615.231352
70,0.401895272,0.900630357,0.300340582,1.301313897,-8619.307577
71,0.439414395,0.834333196,0.329857507,1.322919492,-10066.18472
72,0.409356796,0.899997631,0.30000082,1.304101564,-10087.42704
73,0.510879101,0.899935268,0.299989725,1.306851227,-10083.34609
74,0.440835947,0.899957549,0.299993262,1.299970801,-10066.4733
75,0.401596817,0.89992491,0.300625639,1.300011056,-10087.84894
76,0.397719838,0.899716976,0.300145925,1.299741361,-8617.671323
77,0.421893454,0.85536973,0.260397594,1.25181251,-8589.941058
78,0.425902518,0.900010943,0.299963524,1.299841935,-8616.085548
79,0.408184196,0.899998284,0.306569587,1.306182221,-10097.27769
80,0.350611329,0.895901344,0.289745235,1.288381124,-8608.435048
81,0.397931038,0.900002096,0.303599893,1.299986157,-8618.138378
82,0.367182178,0.899979967,0.322726751,1.299960143,-10078.28466
83,0.43573768,0.903840383,0.293656075,1.300709401,-8618.939659
84,0.403425896,0.899995822,0.3051097,1.299997126,-8641.411959
85,0.390852866,0.887634393,0.311326156,1.284950569,-10093.41968
86,0.397203986,0.899631394,0.303364715,1.299476245,-10099.35053
87,0.407800534,0.8999959,0.307536662,1.314832786,-10126.20673
88,0.403048372,0.899669738,0.299703286,1.300153843,-8640.727434
89,0.408265637,0.895060361,0.306918562,1.298205071,-10097.32945
90,0.411297935,0.866910761,0.342502597,1.303252879,-8640.618821
91,0.417957623,0.900030096,0.299971923,1.314894295,-10112.58839
92,0.31532288,0.848154335,0.309078083,1.266393356,-10064.8671
93,0.39643151,0.899996084,0.299999378,1.301413893,-8646.863591
94,0.400023364,0.899989006,0.300414572,1.300374062,-8643.760606
95,0.564509717,0.900005739,0.299980871,1.299917106,-10111.92793
96,0.393924824,0.89954053,0.299274923,1.298067748,-10106.15315
97,0.348183004,0.894395326,0.32237294,1.292558134,-10098.55302
98,0.450046225,0.896194461,0.30409381,1.306439007,-10109.62129
99,0.61318947,0.857899439,0.268596073,1.245168804,-10096.67913
100,0.437092228,0.900003388,0.324102248,1.299951064,-10109.67825
101,0.517541633,0.841530743,0.37185564,1.207527355,-10073.56725
102,0.444991425,0.899986123,0.299997797,1.299990455,-10101.92896
103,0.401123486,0.900240229,0.303021821,1.300008805,-10101.6962
104,0.4204922,0.900000668,0.299997772,1.299990344,-10109.01111
105,0.40673358,0.900005512,0.308392798,1.299920389,-10116.45665
106,0.392825713,0.899490538,0.317604407,1.299762633,-10105.59943
107,0.269088436,0.900002041,0.299993197,1.309886559,-10120.79831
108,0.371761783,0.899984899,0.299997603,1.299989613,-10117.37767
109,0.348155325,0.897196219,0.322569183,1.301775185,-10110.73593
110,0.402619138,0.900437467,0.301921482,1.302328808,-10123.9881
111,0.398842027,0.89998445,0.299998527,1.300071999,-10109.2229
112,0.400447055,0.899993543,0.319880965,1.299995559,-10110.82149
113,0.387504288,0.827089425,0.376126721,1.251244288,-10065.73374
114,0.526460542,0.900016266,0.299945779,1.299765043,-10117.01231
115,0.313714197,0.899927687,0.249903663,1.1500749,-10061.41957
116,0.390239682,0.899996044,0.321250563,1.299997279,-10119.73187
117,0.38627693,0.900302233,0.299428403,1.300192672,-10102.96415
118,0.315559746,0.885575699,0.300647806,1.30716944,-10096.43783
119,0.26914636,0.899930534,0.299988974,1.299952219,-10110.39141
120,0.400151472,0.878331272,0.27503361,1.303975899,-10102.86677
121,0.373396931,0.90000051,0.299998302,1.299992644,-10119.35673
122,0.406521886,0.899995893,0.315517992,1.300003887,-10114.36391
123,0.543687625,0.899897525,0.299983734,1.299929515,-10106.27937
124,0.420080845,0.900235026,0.317167285,1.296626704,-10119.91942
125,0.452940949,0.873067131,0.280387112,1.275541152,-10078.43762
126,0.319111858,0.899945307,0.299991319,1.29996238,-10113.38126
127,0.364226903,0.901544698,0.34119532,1.267248507,-10118.02045
128,0.494893493,0.900312029,0.299343566,1.302383878,-10109.40372
129,0.792085402,0.900009364,0.249964815,1.271952075,-10158.72232
130,0.485345369,0.900001019,0.299996602,1.299985277,-10106.89762
