forc.use,Wei,GG,Burr,GB2,EGIG,TSCD,r
1.795216513,1.265335969,1.558866627,1.564281223,1.330360569,1.345206137,1.437697745,1.044266603
0.454893783,1.252652358,1.432605176,1.435091572,1.220476369,1.351010271,1.532707633,1.044639554
1.279082024,1.261981551,1.202484327,1.181024769,1.279797465,1.272047262,1.332331646,1.044639554
0.899204401,1.246334862,1.379331522,1.416293475,1.218454601,1.47002088,1.362735737,1.045279658
1.04607848,1.358145058,1.313356283,1.287543353,1.340788446,1.433903985,1.394258797,1.045279658
1.13301431,1.392801693,1.317667952,1.359844639,1.412296895,1.320383256,1.357519201,1.044639554
0.971366133,1.444871042,1.371296376,1.420503084,1.451727784,1.33704527,1.340534336,1.043871073
0.962812862,1.328207665,1.253886604,1.262155425,1.365556719,1.32527576,1.324249036,1.044525702
0.949412891,1.546156496,1.380570615,1.372487101,1.527726927,1.42904791,1.300305841,1.042502277
1.103921055,1.422963693,1.410292655,1.474540901,1.383555256,1.444086629,1.375189849,1.042502277
0.69082739,1.513103527,1.466374443,1.434013964,1.482710314,1.410062833,1.323696486,1.042502277
0.974635515,1.364544292,1.61605925,1.624279417,1.381683709,1.500901504,1.355731421,1.042293893
0.628489521,1.351968877,1.736741446,1.80195127,1.338011591,1.63848448,1.292861223,1.042290266
1.042963197,1.399371532,1.51583688,1.485685899,1.543034615,1.529348343,1.31836686,1.042293893
0.841563097,1.661409158,1.329966076,1.377480608,1.602263193,1.427681026,1.332466647,1.042502277
0.438413338,1.522381546,1.483264088,1.464400345,1.534802731,1.582441734,1.429328391,1.042502277
0.384813313,1.510490469,1.437476525,1.300734681,1.528210694,1.489876671,1.437662055,1.043871073
0.965910013,1.681871891,1.572289091,1.39329039,1.752237803,1.544357514,1.497508925,1.043871073
0.463533844,1.643094826,1.378016059,1.426072224,1.623680473,1.535203997,1.412145456,1.042502277
0.578447238,1.695695004,1.552256063,1.562356859,1.655465883,1.548540171,1.384856156,1.043871073
1.6235115,1.696129976,1.235297407,1.284337301,1.684017921,1.559961056,1.339072478,1.042502277
1.219539539,1.617775188,1.334962499,1.305871636,1.563359293,1.669985928,1.391068273,1.043871073
0.403326588,1.832502608,1.403940732,1.405408355,1.64539,1.417705241,1.349258635,1.044266603
0.795654214,1.619735619,1.348444787,1.287114967,1.739120029,1.605739153,1.600300859,1.043871073
0.675150712,1.737903728,1.509939316,1.55291033,1.828911489,1.494898472,1.487374159,1.042502277
0.347038445,1.580652447,1.35419055,1.354690303,1.514987006,1.553054712,1.342105419,1.042293893
0.452835471,1.729318391,1.367469814,1.291094455,1.682494644,1.548577774,1.350965232,1.042502277
0.544705929,1.77074307,1.298802707,1.266327423,1.854943717,1.655977351,1.22437614,1.042290266
1.910932567,1.742107096,1.229521559,1.241319915,1.717603869,1.577754231,1.145888292,1.042290266
1.650754926,1.756198115,1.407612962,1.442747934,1.794258363,1.612152442,1.460306022,1.042290266
1.839578773,1.585279012,1.310870482,1.393420009,1.661445102,1.594140177,1.490935774,1.042293893
1.668435627,1.722154463,1.447068231,1.519734466,1.784473933,1.569454254,1.513484388,1.042502277
0.316218424,1.767528941,1.616238223,1.66093315,1.716276593,1.524595588,1.435653316,1.042502277
0.714930406,1.743233685,1.520540313,1.503045827,1.771462432,1.607708879,1.605148474,1.042502277
1.302618434,1.759946983,1.412451234,1.416960909,1.870949492,1.72809435,1.441292961,1.042293893
0.42201399,1.638948481,1.457706888,1.455204298,1.687829982,1.508760835,1.416792058,1.042293893
1.810562075,1.801324234,1.527936527,1.509041398,1.793252561,1.746227483,1.356808619,1.042293893
0.451832866,1.795893879,1.473077861,1.506196567,1.788558167,1.416722406,1.549732585,1.042293893
0.939800824,1.727494518,1.369062125,1.429839431,1.726924087,1.540536694,1.54042619,1.042293893
0.97129429,1.55753188,1.322131236,1.27569864,1.559639229,1.661696667,1.399914094,1.042293893
2.129776649,1.648482449,1.394818925,1.35930137,1.71428309,1.534769909,1.349417067,1.042290266
2.119098031,1.789061847,1.371364635,1.357269705,1.86011462,1.68783001,1.565733923,1.042502277
1.754077928,1.799149906,1.810834773,1.86042725,1.789675993,1.651075764,1.686598911,1.043871073
1.63606393,1.496559991,1.686241157,1.692920384,1.482739046,1.872922954,1.599821598,1.044266603
